날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,0.322037,0.282723,0.349748,0.239707,29.11B,14.23%
2021년 04월 17일,0.281909,0.365389,0.378924,0.23201,39.28B,-22.88%
2021년 04월 16일,0.365551,0.182628,0.449889,0.180132,83.39B,99.99%
2021년 04월 15일,0.182784,0.121275,0.189446,0.120291,37.96B,50.63%
2021년 04월 14일,0.121349,0.09425,0.144229,0.092535,57.29B,29.42%
2021년 04월 13일,0.093763,0.070709,0.095671,0.070705,23.19B,32.59%
2021년 04월 12일,0.070719,0.074205,0.075337,0.068792,8.90B,-4.63%
2021년 04월 11일,0.07415,0.06368,0.079712,0.063402,24.47B,16.43%
2021년 04월 10일,0.063688,0.061605,0.065016,0.060969,5.30B,3.42%
2021년 04월 09일,0.061582,0.061754,0.063832,0.060536,4.13B,-0.28%
2021년 04월 08일,0.061757,0.05873,0.062168,0.058705,3.86B,5.16%
2021년 04월 07일,0.058728,0.064281,0.067151,0.057211,9.59B,-8.64%
2021년 04월 06일,0.064283,0.059921,0.064989,0.058068,9.45B,7.23%
2021년 04월 05일,0.059948,0.057393,0.060593,0.056318,5.22B,4.44%
2021년 04월 04일,0.057401,0.055542,0.058122,0.055121,3.28B,3.32%
2021년 04월 03일,0.055554,0.057567,0.05944,0.055553,4.08B,-3.50%
2021년 04월 02일,0.05757,0.062093,0.062794,0.057285,8.10B,-7.31%
2021년 04월 01일,0.062113,0.053742,0.070722,0.053723,26.14B,15.57%
2021년 03월 31일,0.053744,0.054026,0.054484,0.051896,2.26B,-0.52%
2021년 03월 30일,0.054027,0.054122,0.055567,0.053738,2.81B,-0.14%
2021년 03월 29일,0.054102,0.053641,0.054673,0.05323,1.92B,0.87%
2021년 03월 28일,0.053637,0.054436,0.054859,0.053046,1.42B,-1.45%
2021년 03월 27일,0.054426,0.053976,0.055388,0.053456,2.39B,0.84%
2021년 03월 26일,0.053973,0.051249,0.053988,0.051241,2.11B,5.29%
2021년 03월 25일,0.051263,0.051501,0.05241,0.04965,3.47B,-0.48%
2021년 03월 24일,0.05151,0.053431,0.056659,0.050887,3.00B,-3.61%
2021년 03월 23일,0.053437,0.054913,0.056043,0.052797,2.81B,-2.72%
2021년 03월 22일,0.054929,0.057475,0.057923,0.054801,2.42B,-4.42%
2021년 03월 21일,0.057471,0.058829,0.059509,0.056763,2.57B,-2.31%
2021년 03월 20일,0.058827,0.058263,0.060603,0.058042,3.43B,0.95%
2021년 03월 19일,0.05827,0.05729,0.059825,0.056462,3.12B,1.70%
2021년 03월 18일,0.057294,0.057878,0.05915,0.056997,2.56B,-1.01%
2021년 03월 17일,0.05788,0.058606,0.058881,0.056567,2.39B,-1.25%
2021년 03월 16일,0.058611,0.056968,0.05905,0.055365,3.91B,2.89%
2021년 03월 15일,0.056965,0.058429,0.059736,0.055064,4.77B,-2.51%
2021년 03월 14일,0.058431,0.062676,0.06351,0.058431,9.16B,-6.80%
2021년 03월 13일,0.062694,0.055238,0.062739,0.054694,6.37B,13.45%
2021년 03월 12일,0.055261,0.055896,0.056965,0.054298,3.66B,-1.13%
2021년 03월 11일,0.055893,0.055877,0.056895,0.054398,3.39B,-0.01%
2021년 03월 10일,0.0559,0.0579,0.058642,0.054554,4.71B,-3.58%
2021년 03월 09일,0.057978,0.062851,0.062851,0.056009,8.67B,-7.75%
2021년 03월 08일,0.062848,0.051888,0.062848,0.051622,13.64B,21.14%
2021년 03월 07일,0.051881,0.050924,0.052248,0.050548,3.03B,1.86%
2021년 03월 06일,0.050935,0.049523,0.052453,0.049256,5.28B,2.73%
2021년 03월 05일,0.049584,0.049925,0.050877,0.048026,3.76B,-0.69%
2021년 03월 04일,0.049927,0.050469,0.051118,0.047762,3.65B,-1.08%
2021년 03월 03일,0.050474,0.050343,0.052153,0.050011,3.64B,0.39%
2021년 03월 02일,0.050279,0.050582,0.052423,0.049198,4.67B,-0.59%
2021년 03월 01일,0.050576,0.048134,0.05229,0.047929,5.22B,5.08%
2021년 02월 28일,0.048129,0.050076,0.050176,0.044811,4.85B,-3.89%
2021년 02월 27일,0.050076,0.050466,0.051993,0.049173,4.45B,-0.77%
2021년 02월 26일,0.050463,0.049909,0.052537,0.048537,6.16B,0.84%
2021년 02월 25일,0.050045,0.056663,0.05803,0.049862,9.27B,-11.67%
2021년 02월 24일,0.056653,0.047663,0.0604,0.046065,19.49B,18.84%
2021년 02월 23일,0.047673,0.053537,0.053774,0.041782,11.25B,-10.94%
2021년 02월 22일,0.05353,0.056136,0.060737,0.046516,15.50B,-4.21%
2021년 02월 21일,0.055881,0.054196,0.059292,0.05335,10.29B,3.23%
2021년 02월 20일,0.054135,0.055044,0.060455,0.051115,14.03B,-1.64%
2021년 02월 19일,0.055036,0.059117,0.059628,0.054075,11.88B,-6.93%
2021년 02월 18일,0.059134,0.049469,0.063482,0.04897,21.38B,19.54%
2021년 02월 17일,0.049467,0.053513,0.055054,0.04796,10.52B,-7.56%
2021년 02월 16일,0.053513,0.056427,0.05981,0.050815,11.60B,-5.19%
2021년 02월 15일,0.056442,0.062639,0.064003,0.047653,19.30B,-9.89%
2021년 02월 14일,0.062639,0.066244,0.066392,0.055785,13.80B,-5.45%
2021년 02월 13일,0.066249,0.069815,0.071703,0.065915,7.32B,-5.07%
2021년 02월 12일,0.069791,0.06978,0.07272,0.061285,13.24B,0.26%
2021년 02월 11일,0.069611,0.07258,0.074843,0.068152,11.23B,-4.10%
2021년 02월 10일,0.072584,0.070015,0.081396,0.067081,22.67B,3.67%
2021년 02월 09일,0.070012,0.078782,0.083567,0.064053,22.36B,-11.14%
2021년 02월 08일,0.078793,0.077936,0.085037,0.063839,38.11B,0.36%
