날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,0.253708,0.226727,0.254148,0.170231,6.22B,11.90%
2021년 04월 17일,0.226726,0.235809,0.278216,0.214754,7.99B,-3.91%
2021년 04월 16일,0.235951,0.175926,0.245302,0.158487,7.02B,34.12%
2021년 04월 15일,0.175929,0.168103,0.18888,0.168103,3.48B,4.66%
2021년 04월 14일,0.168103,0.153175,0.175127,0.153175,5.33B,9.74%
2021년 04월 13일,0.153176,0.128681,0.158674,0.128681,3.16B,19.04%
2021년 04월 12일,0.128681,0.13942,0.140153,0.127224,2.05B,-7.70%
2021년 04월 11일,0.13942,0.142235,0.145205,0.13076,2.42B,-1.98%
2021년 04월 10일,0.142241,0.126025,0.147547,0.124812,4.10B,12.87%
2021년 04월 09일,0.126024,0.116728,0.134187,0.115993,3.12B,7.97%
2021년 04월 08일,0.116727,0.105879,0.117932,0.104919,1.62B,10.25%
2021년 04월 07일,0.105879,0.111878,0.120774,0.099098,3.61B,-5.38%
2021년 04월 06일,0.111899,0.102355,0.115041,0.100052,2.98B,9.32%
2021년 04월 05일,0.102355,0.092466,0.106245,0.090392,3.01B,10.75%
2021년 04월 04일,0.092423,0.087417,0.093021,0.086884,993.76M,5.72%
2021년 04월 03일,0.087419,0.094042,0.097055,0.087266,1.64B,-7.05%
2021년 04월 02일,0.094049,0.087963,0.095192,0.086441,1.66B,6.92%
2021년 04월 01일,0.087964,0.087691,0.091411,0.086825,1.35B,0.31%
2021년 03월 31일,0.087692,0.08936,0.0899,0.082721,1.60B,-1.87%
2021년 03월 30일,0.08936,0.091993,0.092147,0.088085,1.25B,-2.86%
2021년 03월 29일,0.091987,0.090739,0.093356,0.088411,1.21B,1.38%
2021년 03월 28일,0.090738,0.088533,0.093849,0.088214,1.34B,2.49%
2021년 03월 27일,0.088533,0.08987,0.096382,0.088532,2.12B,-1.58%
2021년 03월 26일,0.089953,0.080829,0.090624,0.080682,1.82B,11.28%
