날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,37.139,37.7159,39.1133,31.2875,425.48M,-1.98%
2021년 04월 17일,37.891,38.3103,49.6314,37.3025,482.59M,-1.11%
2021년 04월 16일,38.3147,28.5805,45.4272,28.5805,326.10M,34.06%
2021년 04월 15일,28.5804,21.9017,29.7795,21.459,198.47M,30.50%
2021년 04월 14일,21.9005,21.2169,22.6945,20.1505,167.60M,3.18%
2021년 04월 13일,21.2249,19.5325,22.0162,19.4223,161.39M,8.60%
2021년 04월 12일,19.5433,20.3683,20.5641,18.9901,153.87M,-4.13%
2021년 04월 11일,20.3856,20.4444,21.5128,19.8413,160.58M,-0.29%
2021년 04월 10일,20.445,18.7756,21.2129,18.3207,156.16M,8.96%
2021년 04월 09일,18.7646,19.6048,20.0969,18.5705,150.50M,-4.28%
2021년 04월 08일,19.6044,19.1577,19.8366,18.0078,149.75M,2.48%
2021년 04월 07일,19.1301,17.7649,20.7839,16.9903,156.88M,7.92%
2021년 04월 06일,17.726,16.0881,18.5929,15.973,143.52M,10.18%
2021년 04월 05일,16.088,14.5478,16.1007,14.3202,126.16M,10.59%
2021년 04월 04일,14.5478,13.5698,14.5727,13.3588,114.16M,7.21%
2021년 04월 03일,13.5699,15.2506,15.3411,13.5134,118.73M,-11.05%
2021년 04월 02일,15.2565,14.317,15.6205,14.1048,117.84M,6.49%
2021년 04월 01일,14.327,14.1109,14.4873,13.5713,113.54M,1.65%
2021년 03월 31일,14.0939,13.0222,14.3485,12.6143,107.08M,8.18%
2021년 03월 30일,13.0279,12.6398,13.0548,12.3487,94.11M,3.04%
2021년 03월 29일,12.6437,11.8668,12.7532,11.7319,94.11M,6.55%
2021년 03월 28일,11.8668,11.7887,12.0548,11.7127,89.11M,0.67%
2021년 03월 27일,11.7884,11.7547,11.9733,11.4362,88.73M,0.28%
2021년 03월 26일,11.7553,11.0835,11.7582,11.0762,88.23M,6.10%
2021년 03월 25일,11.0794,11.2983,11.4618,10.7661,91.35M,-1.95%
2021년 03월 24일,11.2992,12.2359,12.6239,11.0964,97.40M,-7.62%
2021년 03월 23일,12.2312,11.6571,12.6649,11.6136,105.65M,4.93%
2021년 03월 22일,11.6568,11.981,12.3902,11.58,96.07M,-2.73%
2021년 03월 21일,11.9835,12.3113,12.4588,11.9319,89.77M,-2.67%
2021년 03월 20일,12.3122,12.2613,12.8669,12.2192,90.44M,0.40%
2021년 03월 19일,12.2628,12.1638,12.4299,11.9214,92.02M,0.83%
2021년 03월 18일,12.1625,12.5765,12.6642,12.1064,97.13M,-3.32%
