날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,119.535,93.769,120.5907,73.6074,238.06M,27.79%
2021년 04월 17일,93.543,86.96,105.4049,86.024,177.27M,7.60%
2021년 04월 16일,86.9329,74.7701,88.1404,74.7701,146.20M,16.27%
2021년 04월 15일,74.7701,69.0649,74.9983,66.5255,80.61M,8.43%
2021년 04월 14일,68.9556,66.6064,70.9099,63.4965,93.19M,3.47%
2021년 04월 13일,66.6451,64.6558,68.3901,62.2555,76.10M,2.98%
2021년 04월 12일,64.7197,63.9232,64.9699,60.7084,74.12M,1.32%
2021년 04월 11일,63.8796,61.6801,66.746,61.0001,80.13M,3.57%
2021년 04월 10일,61.6798,60.7544,63.3734,59.4975,70.63M,1.52%
2021년 04월 09일,60.7544,63.3056,63.4184,60.1462,66.92M,-4.10%
2021년 04월 08일,63.3527,59.8014,63.3527,58.2696,76.39M,6.06%
2021년 04월 07일,59.7338,62.9295,68.4324,56.442,115.92M,-5.03%
2021년 04월 06일,62.8991,59.1222,64.7782,57.8656,95.54M,6.46%
2021년 04월 05일,59.0837,54.5547,59.6861,51.6358,73.48M,8.30%
2021년 04월 04일,54.5548,50.7148,54.6092,49.8433,61.66M,7.57%
2021년 04월 03일,50.7134,52.9544,56.6074,50.5839,70.91M,-4.23%
2021년 04월 02일,52.9548,52.3385,55.2686,51.0544,57.39M,1.18%
2021년 04월 01일,52.3385,50.7647,53.8341,50.4097,65.01M,3.06%
2021년 03월 31일,50.7836,44.9701,52.1374,42.6323,60.01M,12.90%
2021년 03월 30일,44.9797,45.5102,46.083,44.2388,41.45M,-1.18%
2021년 03월 29일,45.515,44.756,46.4269,43.4406,47.69M,1.64%
2021년 03월 28일,44.7801,41.0905,44.9837,40.8956,56.74M,8.95%
2021년 03월 27일,41.1002,41.6746,42.6699,40.3601,42.98M,-1.38%
2021년 03월 26일,41.6746,38.6491,41.9688,38.6491,42.64M,7.82%
2021년 03월 25일,38.6505,39.5366,40.8981,37.7519,43.36M,-2.29%
2021년 03월 24일,39.5573,41.067,45.3602,37.981,47.15M,-3.80%
2021년 03월 23일,41.1201,40.6773,42.3296,40.1514,42.58M,1.07%
2021년 03월 22일,40.684,42.4551,44.1771,40.2556,41.88M,-4.17%
2021년 03월 21일,42.4554,43.054,43.5541,41.1055,40.01M,-1.28%
2021년 03월 20일,43.0057,44.0102,45.4095,42.8551,43.06M,-2.25%
2021년 03월 19일,43.9957,43.6207,45.5858,42.5064,41.70M,0.84%
2021년 03월 18일,43.6302,46.4388,47.9056,43.2684,50.27M,-6.05%
2021년 03월 17일,46.4388,40.795,46.4812,40.1808,56.68M,13.83%
2021년 03월 16일,40.7953,38.5669,40.9142,37.4927,41.80M,5.78%
2021년 03월 15일,38.5671,39.5768,40.9649,37.322,43.26M,-2.61%
2021년 03월 14일,39.601,42.0734,42.8772,39.601,44.11M,-5.80%
2021년 03월 13일,42.04,39.8995,42.4976,38.4452,38.26M,5.42%
2021년 03월 12일,39.8802,41.989,41.9936,38.5191,43.83M,-5.02%
2021년 03월 11일,41.9889,40.8648,42.6397,39.1609,38.48M,2.75%
2021년 03월 10일,40.8648,42.5764,43.089,39.8705,48.29M,-4.05%
2021년 03월 09일,42.5907,40.0943,43.0252,39.6508,44.50M,6.29%
2021년 03월 08일,40.0703,39.2703,40.0863,37.8369,38.00M,2.05%
