날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,0.047581,0.053037,0.056101,0.038553,6.55B,-10.29%
2021년 04월 17일,0.053037,0.042766,0.063536,0.042766,15.82B,24.02%
2021년 04월 16일,0.042766,0.033167,0.044856,0.030472,7.89B,28.86%
2021년 04월 15일,0.033188,0.033345,0.034307,0.030331,2.25B,-0.47%
2021년 04월 14일,0.033345,0.028081,0.036721,0.0269,7.00B,18.74%
2021년 04월 13일,0.028081,0.026327,0.028381,0.02492,1.66B,6.70%
2021년 04월 12일,0.026317,0.027623,0.027694,0.026085,1.01B,-4.73%
2021년 04월 11일,0.027623,0.028001,0.028234,0.02618,1.39B,-1.35%
2021년 04월 10일,0.028001,0.029928,0.029969,0.027066,1.25B,-6.44%
2021년 04월 09일,0.029928,0.029582,0.030435,0.028966,1.16B,1.15%
2021년 04월 08일,0.029586,0.026035,0.029675,0.025761,1.61B,13.64%
2021년 04월 07일,0.026035,0.029862,0.030185,0.024051,2.36B,-12.82%
2021년 04월 06일,0.029862,0.032255,0.032375,0.027683,2.23B,-7.42%
2021년 04월 05일,0.032255,0.029246,0.03715,0.029246,5.16B,10.29%
2021년 04월 04일,0.029246,0.026256,0.029789,0.025897,1.42B,11.39%
2021년 04월 03일,0.026256,0.030498,0.031759,0.025828,1.52B,-13.95%
2021년 04월 02일,0.030511,0.028479,0.032331,0.028037,2.31B,7.14%
2021년 04월 01일,0.028479,0.02586,0.029557,0.025735,2.23B,10.13%
2021년 03월 31일,0.02586,0.025366,0.026495,0.022998,1.27B,1.95%
2021년 03월 30일,0.025366,0.024981,0.026322,0.024651,1.25B,1.54%
2021년 03월 29일,0.024981,0.024812,0.026323,0.023682,1.29B,0.68%
2021년 03월 28일,0.024812,0.023429,0.027257,0.022265,2.70B,5.90%
2021년 03월 27일,0.023429,0.021287,0.023545,0.020506,1.45B,10.06%
2021년 03월 26일,0.021287,0.018672,0.021748,0.018535,1.32B,14.00%
2021년 03월 25일,0.018672,0.019352,0.019864,0.017596,1.15B,-3.51%
2021년 03월 24일,0.019352,0.021962,0.022761,0.019001,1.01B,-11.89%
2021년 03월 23일,0.021962,0.021473,0.022327,0.018709,1.71B,2.27%
2021년 03월 22일,0.021474,0.022332,0.0268,0.020689,1.64B,-28.42%
2021년 03월 21일,0.03,0.02525,0.03,0.022286,498.62K,18.81%
2021년 03월 20일,0.02525,0.02498,0.03,0.022512,1.27M,1.08%
2021년 03월 19일,0.02498,0.023,0.02498,0.020016,247.63K,8.61%
2021년 03월 18일,0.023,0.018004,0.023,0.018004,497.09K,27.74%
2021년 03월 17일,0.018004,0.018305,0.021907,0.01678,1.16M,-1.64%
2021년 03월 16일,0.018305,0.018729,0.021907,0.016949,747.58K,-2.26%
2021년 03월 15일,0.018729,0.014,0.025,0.012712,1.33M,33.78%
