날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,972.47,991.47,"1,015.01",808.76,359.65M,-1.74%
2021년 04월 17일,989.7,"1,103.36","1,211.69",989.7,458.83M,-10.37%
2021년 04월 16일,"1,104.24",865.04,"1,171.36",819.05,416.75M,27.71%
2021년 04월 15일,864.64,815,876.11,798.03,361.96M,6.17%
2021년 04월 14일,814.42,745.42,844.8,745.36,331.68M,9.24%
2021년 04월 13일,745.56,670.96,751.39,666.98,311.49M,11.12%
2021년 04월 12일,670.96,689.84,696.07,652.32,311.34M,-2.74%
2021년 04월 11일,689.84,673.8,715.1,669.99,318.95M,2.58%
2021년 04월 10일,672.51,630.89,681.44,624.45,297.19M,6.62%
2021년 04월 09일,630.77,643.02,649.59,625.4,281.34M,-2.01%
2021년 04월 08일,643.72,615.22,643.72,609.93,279.66M,4.70%
2021년 04월 07일,614.8,661.79,693.89,595.64,286.72M,-7.07%
2021년 04월 06일,661.56,647.46,673.54,616.29,292.02M,2.25%
2021년 04월 05일,647.03,561.1,647.03,553.64,276.99M,15.37%
2021년 04월 04일,560.81,530.69,564.39,522.19,244.54M,5.66%
2021년 04월 03일,530.76,580.53,595.66,529.57,257.14M,-8.63%
2021년 04월 02일,580.86,556.27,598.42,545.34,254.31M,4.52%
2021년 04월 01일,555.76,541.07,559.89,528.99,244.63M,2.77%
2021년 03월 31일,540.77,525.69,544.78,502.82,232.32M,2.89%
2021년 03월 30일,525.57,518.42,536.09,511.57,222.95M,1.39%
2021년 03월 29일,518.36,497.16,523.98,491.72,215.69M,4.25%
2021년 03월 28일,497.24,500.14,505.48,488.24,211.37M,-0.62%
2021년 03월 27일,500.34,505.56,509.32,485.5,210.39M,-1.04%
2021년 03월 26일,505.58,472.91,507.59,470.47,210.67M,6.91%
2021년 03월 25일,472.91,474.28,482.26,451.38,200.53M,-0.31%
2021년 03월 24일,474.39,510.92,529.52,443.91,229.57M,-7.18%
2021년 03월 23일,511.09,509.2,532.68,505.56,236.95M,0.37%
2021년 03월 22일,509.2,523.48,539.49,506.1,231.92M,-2.77%
2021년 03월 21일,523.69,536.21,543.11,515.25,232.85M,-2.33%
2021년 03월 20일,536.21,532.41,551.94,529.54,242.03M,0.67%
2021년 03월 19일,532.66,528.12,550.9,517.33,242.06M,0.87%
2021년 03월 18일,528.06,541.46,546.72,523.05,244.67M,-2.47%
2021년 03월 17일,541.43,528.61,541.71,511.68,219.48M,2.41%
2021년 03월 16일,528.67,523.73,538.19,502.96,184.13M,1.06%
2021년 03월 15일,523.15,552.01,567.99,515.29,180.54M,-5.50%
2021년 03월 14일,553.61,593.79,601.95,553.61,185.16M,-6.72%
2021년 03월 13일,593.49,538.58,608.62,522.17,215.74M,10.26%
2021년 03월 12일,538.28,549.7,563.89,510.13,173.14M,-2.00%
2021년 03월 11일,549.28,546.5,564.95,528.32,107.70M,0.49%
2021년 03월 10일,546.62,545.29,567.97,517.18,107.04M,0.26%
