날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,19.6914,17.4662,21.395,15.7324,197.63K,12.72%
2021년 04월 17일,17.4689,17.9964,21.6713,16.1897,133.89K,-2.91%
2021년 04월 16일,17.9932,14.0873,23.1227,13.8145,402.05K,27.73%
2021년 04월 15일,14.0873,13.2083,14.2134,12.9087,53.64K,6.65%
2021년 04월 14일,13.2083,13.7596,13.8596,12.4352,59.71K,-4.01%
2021년 04월 13일,13.7596,13.6077,13.9914,12.9896,45.13K,0.99%
2021년 04월 12일,13.6252,14.0626,14.1257,13.3563,38.90K,-3.11%
2021년 04월 11일,14.0626,14.3101,14.6867,12.9651,57.00K,-1.73%
2021년 04월 10일,14.3101,14.2773,15.0597,13.5221,61.37K,0.23%
2021년 04월 09일,14.2773,13.1375,15.2525,12.9035,64.45K,9.19%
2021년 04월 08일,13.0754,11.8223,13.2433,11.436,56.71K,10.52%
2021년 04월 07일,11.8304,13.4437,14.3704,11.1686,84.55K,-12.00%
2021년 04월 06일,13.4437,14.3307,14.4305,12.6224,66.18K,-6.19%
2021년 04월 05일,14.3307,15.4277,15.5266,13.9568,38.07K,-7.11%
2021년 04월 04일,15.4277,14.2395,15.7101,13.9429,45.86K,8.28%
2021년 04월 03일,14.2475,15.7118,17.3312,13.8222,80.33K,-9.46%
2021년 04월 02일,15.7358,14.8272,16.5087,14.0213,62.22K,6.12%
2021년 04월 01일,14.829,15.7329,17.6204,14.7271,67.39K,-6.06%
2021년 03월 31일,15.7852,14.0201,15.7852,13.4634,65.95K,12.56%
2021년 03월 30일,14.0236,13.4268,14.1198,12.9517,47.34K,4.38%
2021년 03월 29일,13.4356,12.4594,13.4871,12.1044,40.14K,7.83%
2021년 03월 28일,12.4599,12.426,12.5627,12.0368,37.90K,-0.02%
2021년 03월 27일,12.4627,11.6763,13.0893,11.642,54.61K,6.74%
2021년 03월 26일,11.6763,10.9552,11.6763,10.927,38.29K,6.58%
2021년 03월 25일,10.9552,11.4987,11.6171,10.4079,49.30K,-4.73%
2021년 03월 24일,11.4987,13.0189,13.098,11.2357,48.94K,-11.68%
2021년 03월 23일,13.0189,12.4339,13.8863,11.9107,75.63K,4.71%
2021년 03월 22일,12.4339,11.9092,14.9826,11.6525,114.88K,4.65%
2021년 03월 21일,11.8811,11.4484,12.7827,11.1008,48.60K,3.78%
2021년 03월 20일,11.4484,12.0018,12.3442,11.3356,41.14K,-4.61%
2021년 03월 19일,12.0018,11.9063,12.1701,11.5187,34.25K,0.86%
2021년 03월 18일,11.8993,12.1173,12.6264,11.6922,56.59K,-1.80%
2021년 03월 17일,12.1173,11.6828,12.7304,10.658,80.35K,3.72%
2021년 03월 16일,11.6828,11.9632,12.0768,11.1141,65.83K,-2.34%
2021년 03월 15일,11.9632,12.5657,13.1595,11.4128,57.98K,-5.05%
2021년 03월 14일,12.5992,13.3519,13.3613,12.2074,45.54K,-5.64%
2021년 03월 13일,13.3517,12.8296,13.4553,12.2231,50.05K,4.07%
2021년 03월 12일,12.8296,13.5319,13.541,12.178,47.60K,-5.19%
2021년 03월 11일,13.5319,10.388,13.7506,10.205,94.25K,30.20%
