날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,18.2953,17.2543,18.544,12.0391,24.45M,5.97%
2021년 04월 17일,17.2647,18.3532,19.4233,17.0293,11.30M,-5.91%
2021년 04월 16일,18.3487,17.6021,19.0958,15.6623,19.20M,4.28%
2021년 04월 15일,17.5957,15.9047,17.9874,15.1133,9.05M,10.77%
2021년 04월 14일,15.8851,15.0634,16.8783,14.7123,12.29M,5.46%
2021년 04월 13일,15.0629,14.5301,15.5219,14.1987,8.31M,3.70%
2021년 04월 12일,14.5254,14.9493,16.2321,14.3857,8.31M,-2.84%
2021년 04월 11일,14.9501,15.8763,15.9238,14.5776,7.60M,-5.73%
2021년 04월 10일,15.8586,15.743,16.502,14.9238,10.91M,0.72%
2021년 04월 09일,15.745,16.8551,16.8551,15.0964,9.71M,-6.71%
2021년 04월 08일,16.8783,15.6251,16.902,14.3625,16.95M,7.96%
2021년 04월 07일,15.6331,15.2439,17.9626,13.6513,48.11M,2.57%
2021년 04월 06일,15.2411,11.8312,15.3141,11.7768,29.86M,28.80%
2021년 04월 05일,11.8328,10.7737,12.1423,10.6827,13.16M,9.87%
2021년 04월 04일,10.7696,9.7416,10.9878,9.6087,10.52M,10.53%
2021년 04월 03일,9.7432,10.181,11.425,9.7296,13.53M,-4.34%
2021년 04월 02일,10.1852,10.0261,10.4746,9.7834,8.83M,1.59%
2021년 04월 01일,10.0262,9.38,10.9258,9.38,23.49M,6.88%
2021년 03월 31일,9.3809,8.7597,9.6128,8.1255,13.37M,7.09%
2021년 03월 30일,8.76,8.7626,9.1834,8.6461,9.96M,-0.04%
2021년 03월 29일,8.7635,8.2068,8.8482,7.9518,9.67M,6.79%
2021년 03월 28일,8.2062,8.5541,8.5717,7.9213,9.04M,-4.02%
2021년 03월 27일,8.5502,8.6344,9.1783,8.1995,14.35M,-0.95%
2021년 03월 26일,8.6326,8.2159,9.5091,8.1815,26.55M,5.09%
2021년 03월 25일,8.2142,7.2331,8.761,6.7471,36.73M,13.58%
2021년 03월 24일,7.2318,7.0067,8.5505,6.7768,23.86M,3.11%
2021년 03월 23일,7.014,6.5413,7.0973,6.3319,10.69M,7.21%
2021년 03월 22일,6.5421,6.5945,7.0958,6.4347,12.04M,-0.76%
2021년 03월 21일,6.5922,6.6343,6.8023,6.3884,8.19M,-0.57%
2021년 03월 20일,6.6302,7.0018,7.3494,6.6037,8.19M,-5.42%
2021년 03월 19일,7.0099,6.3685,7.5471,6.1791,14.89M,10.05%
2021년 03월 18일,6.3697,6.2068,6.6962,6.0829,10.01M,2.60%
2021년 03월 17일,6.2081,6.3733,6.432,5.8799,7.57M,-2.59%
2021년 03월 16일,6.3729,5.9473,6.4231,5.6452,10.88M,7.12%
