날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,0.078764,0.07805,0.086431,0.071178,1.49B,0.81%
2021년 04월 17일,0.078128,0.071784,0.084405,0.071784,1.21B,8.98%
2021년 04월 16일,0.071692,0.079541,0.079541,0.069114,659.10M,-10.05%
2021년 04월 15일,0.079702,0.074535,0.079702,0.07427,752.07M,7.01%
2021년 04월 14일,0.074479,0.065936,0.084704,0.065936,2.47B,12.85%
2021년 04월 13일,0.065997,0.06159,0.066006,0.058158,547.87M,7.83%
2021년 04월 12일,0.061207,0.057333,0.061207,0.055478,417.00M,6.87%
2021년 04월 11일,0.057271,0.053479,0.057271,0.052651,417.88M,7.34%
2021년 04월 10일,0.053353,0.054091,0.055203,0.052794,225.29M,-1.36%
2021년 04월 09일,0.054087,0.054002,0.054487,0.053654,144.87M,0.12%
2021년 04월 08일,0.054021,0.051879,0.054021,0.051879,168.92M,4.53%
2021년 04월 07일,0.05168,0.058421,0.058421,0.051222,460.42M,-11.32%
2021년 04월 06일,0.058274,0.053426,0.058274,0.052917,811.59M,9.47%
2021년 04월 05일,0.053231,0.052573,0.054412,0.050765,245.26M,1.33%
2021년 04월 04일,0.05253,0.050159,0.05253,0.050059,157.45M,4.71%
2021년 04월 03일,0.050167,0.056556,0.056556,0.050167,207.40M,-11.14%
2021년 04월 02일,0.056457,0.054865,0.0566,0.053312,196.57M,3.45%
2021년 04월 01일,0.054576,0.053183,0.057007,0.05261,336.46M,2.62%
2021년 03월 31일,0.053183,0.05351,0.053978,0.051878,403.48M,-0.69%
2021년 03월 30일,0.053555,0.052098,0.053757,0.051859,197.94M,2.74%
2021년 03월 29일,0.052129,0.049267,0.052129,0.048107,271.65M,5.91%
2021년 03월 28일,0.049219,0.048913,0.050268,0.048498,175.90M,0.69%
2021년 03월 27일,0.048882,0.049652,0.05107,0.048043,350.31M,-1.21%
2021년 03월 26일,0.04948,0.044257,0.04948,0.044257,236.55M,11.78%
2021년 03월 25일,0.044267,0.044319,0.046252,0.042711,371.03M,-0.30%
2021년 03월 24일,0.044402,0.047757,0.049635,0.044402,499.58M,-7.41%
2021년 03월 23일,0.047955,0.048436,0.04968,0.046581,393.80M,-0.85%
2021년 03월 22일,0.048368,0.055285,0.055285,0.048368,630.07M,-11.83%
2021년 03월 21일,0.054858,0.063417,0.063417,0.052779,1.44B,-15.00%
2021년 03월 20일,0.064539,0.046983,0.064539,0.046983,1.25B,37.22%
2021년 03월 19일,0.047032,0.0457,0.049703,0.0457,554.40M,2.85%
2021년 03월 18일,0.045728,0.04271,0.046037,0.042277,493.29M,7.22%
2021년 03월 17일,0.04265,0.04219,0.04265,0.040404,326.80M,1.04%
2021년 03월 16일,0.042212,0.042668,0.042668,0.040473,313.69M,-1.02%
2021년 03월 15일,0.042645,0.043502,0.044308,0.041849,345.98M,-2.25%
2021년 03월 14일,0.043628,0.043816,0.044568,0.043087,254.64M,-0.45%
2021년 03월 13일,0.043824,0.043394,0.045472,0.042566,697.73M,0.88%
2021년 03월 12일,0.043443,0.045857,0.045857,0.04293,230.20M,-5.56%
2021년 03월 11일,0.045999,0.045171,0.045999,0.044364,361.64M,1.89%
2021년 03월 10일,0.045147,0.046765,0.046765,0.045147,456.21M,-3.47%
2021년 03월 09일,0.046769,0.044754,0.046769,0.044569,298.67M,4.90%
2021년 03월 08일,0.044584,0.045432,0.045838,0.043904,204.00M,-1.78%
2021년 03월 07일,0.045392,0.045379,0.045571,0.044749,203.57M,-0.10%
2021년 03월 06일,0.045437,0.048517,0.048517,0.044334,307.46M,-5.94%
