날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,334.78,372.8,380.69,275.41,3.18M,-10.21%
2021년 04월 17일,372.83,440.32,448.19,368.02,2.25M,-15.31%
2021년 04월 16일,440.25,364.04,493.44,325.74,2.83M,20.93%
2021년 04월 15일,364.05,326.87,377.7,317.85,1.83M,11.23%
2021년 04월 14일,327.29,298.67,346.66,284.47,2.44M,9.59%
2021년 04월 13일,298.64,260.39,300.98,259.42,1.41M,14.67%
2021년 04월 12일,260.45,275.85,277.33,252.06,972.25K,-5.58%
2021년 04월 11일,275.83,272.49,288.87,265.65,1.04M,1.12%
2021년 04월 10일,272.77,259.19,280.98,253.98,1.23M,5.25%
2021년 04월 09일,259.16,249.41,271.85,243.46,1.18M,3.90%
2021년 04월 08일,249.44,238.95,250.89,235.21,970.81K,4.39%
2021년 04월 07일,238.96,261.12,274.37,227.93,1.80M,-8.42%
2021년 04월 06일,260.92,247.57,279.08,233.42,2.34M,5.40%
2021년 04월 05일,247.55,228.97,249.63,227.15,1.43M,8.13%
2021년 04월 04일,228.94,218.61,232.39,216.64,949.69K,4.75%
2021년 04월 03일,218.56,246.9,254.45,215.97,1.54M,-11.47%
2021년 04월 02일,246.87,228.13,267.46,225.27,1.85M,8.29%
2021년 04월 01일,227.98,217.24,237.43,213.65,1.30M,4.95%
2021년 03월 31일,217.22,208.81,218.9,199.62,1.32M,4.07%
2021년 03월 30일,208.74,207.02,210.6,204.44,496.42K,0.82%
2021년 03월 29일,207.04,198.54,211.59,197.11,731.27K,4.28%
2021년 03월 28일,198.55,200.07,202.43,196.09,440.92K,-0.76%
2021년 03월 27일,200.06,202.84,204.11,194.93,528.18K,-1.37%
2021년 03월 26일,202.84,192.6,204.35,191.61,699.78K,5.29%
2021년 03월 25일,192.65,193.41,196.32,186.89,882.12K,-0.39%
2021년 03월 24일,193.4,213.34,221.26,183.44,1.06M,-9.35%
2021년 03월 23일,213.36,203.04,225.6,202.44,1.38M,5.08%
2021년 03월 22일,203.04,201.28,222.76,195.38,1.24M,0.91%
2021년 03월 21일,201.21,205.07,208.62,197.86,684.84K,-1.90%
2021년 03월 20일,205.1,213.57,219.72,204.46,908.19K,-3.83%
2021년 03월 19일,213.26,203.15,231.54,197.24,1.63M,5.05%
2021년 03월 18일,203,195.44,207.41,190.81,896.61K,3.96%
2021년 03월 17일,195.26,194.85,196.27,188.2,607.15K,0.21%
2021년 03월 16일,194.85,191.2,199.53,185.7,1.00M,1.93%
2021년 03월 15일,191.15,198.12,202.03,185.19,1.31M,-3.59%
2021년 03월 14일,198.27,217.88,225.08,198.27,1.34M,-8.97%
2021년 03월 13일,217.8,185.86,235.11,185.68,2.17M,17.34%
2021년 03월 12일,185.61,187.21,189.96,177.93,767.59K,-0.86%
2021년 03월 11일,187.21,187.63,190.31,183.78,581.57K,-0.26%
2021년 03월 10일,187.7,189.78,194.9,183.97,707.41K,-1.11%
2021년 03월 09일,189.8,185.78,189.89,184.42,521.00K,2.19%
2021년 03월 08일,185.74,184.96,187.7,178.79,627.70K,0.40%
2021년 03월 07일,185,181.73,185.82,180.87,504.40K,1.94%
2021년 03월 06일,181.48,180.79,182.63,175.38,646.38K,0.46%
2021년 03월 05일,180.65,181.58,181.83,175.68,598.25K,-0.50%
2021년 03월 04일,181.56,188.38,191.34,179.39,668.33K,-3.65%
2021년 03월 03일,188.43,185.38,194.22,183.65,680.93K,1.61%
2021년 03월 02일,185.46,185.64,191.75,180.43,704.65K,1.31%
2021년 03월 01일,183.07,177.28,189.08,175.59,682.06K,3.27%
2021년 02월 28일,177.27,184.45,185.1,170.85,813.50K,-3.90%
2021년 02월 27일,184.46,180.61,195.97,180.07,793.10K,2.12%
2021년 02월 26일,180.63,184.57,188.29,170.82,1.11M,-2.15%
2021년 02월 25일,184.6,194.49,201.14,182.34,1.03M,-5.09%
2021년 02월 24일,194.49,189.02,208.1,183.05,1.42M,2.87%
2021년 02월 23일,189.06,214.93,215.23,169.08,2.12M,-12.03%
2021년 02월 22일,214.93,242.17,244.28,173.95,2.01M,-11.24%
2021년 02월 21일,242.14,227.26,249.86,224.29,1.17M,6.54%
2021년 02월 20일,227.27,242.94,253.32,216.09,1.54M,-6.46%
2021년 02월 19일,242.97,240.03,253.06,231.24,1.15M,1.24%
2021년 02월 18일,240,244.46,254.98,237.43,884.01K,-1.84%
2021년 02월 17일,244.49,236.62,252.63,227.17,1.07M,3.35%
2021년 02월 16일,236.55,239.83,256.96,227.53,1.53M,-1.36%
2021년 02월 15일,239.82,261.11,273.76,210.31,2.34M,-8.12%
2021년 02월 14일,261.01,266.17,284.83,246.03,1.89M,-1.94%
2021년 02월 13일,266.16,233.55,268.85,221.3,1.85M,13.96%
2021년 02월 12일,233.55,225.38,236.9,214.58,1.05M,3.65%
2021년 02월 11일,225.34,211.47,230.55,208.07,1.14M,6.51%
2021년 02월 10일,211.57,226.2,237.09,199.58,1.86M,-6.49%
2021년 02월 09일,226.27,194.54,238.65,193.93,2.30M,16.32%
2021년 02월 08일,194.52,183,195.26,181.26,849.10K,6.26%
2021년 02월 07일,183.07,184.84,189.68,178.51,844.26K,-0.96%
2021년 02월 06일,184.84,187.8,199.01,181.71,1.04M,-1.56%
2021년 02월 05일,187.78,177.11,188.74,176.33,815.71K,6.02%
2021년 02월 04일,177.12,183.31,188.08,175.91,663.84K,-3.36%
2021년 02월 03일,183.27,180.46,186.27,180,676.50K,1.55%
2021년 02월 02일,180.47,178.88,182.18,177.28,602.12K,0.88%
2021년 02월 01일,178.9,173.76,187.09,172.51,931.02K,2.96%
2021년 01월 31일,173.76,178.83,181.72,170.76,625.99K,-2.82%
2021년 01월 30일,178.81,172.72,194.01,167.8,1.53M,3.52%
2021년 01월 29일,172.72,170.64,185.96,166.08,1.14M,1.28%
2021년 01월 28일,170.53,161.54,173.69,160.92,712.66K,5.53%
2021년 01월 27일,161.59,173.76,174.04,158.04,902.92K,-7.02%
2021년 01월 26일,173.79,181.23,181.23,171.44,702.39K,-4.12%
2021년 01월 25일,181.26,174.02,185.13,173.11,1.00M,4.19%
2021년 01월 24일,173.97,174.4,176.93,170.81,583.87K,-0.25%
2021년 01월 23일,174.4,177.81,177.82,170.35,1.09M,-1.93%
2021년 01월 22일,177.83,178.26,181.81,169.83,1.07M,-0.24%
2021년 01월 21일,178.26,200.06,201.11,175.49,1.24M,-10.85%
2021년 01월 20일,199.96,203.74,206.16,185.09,1.12M,-1.89%
2021년 01월 19일,203.81,206.47,215.4,203.81,921.33K,-1.18%
2021년 01월 18일,206.24,199.54,209.23,196.61,900.91K,3.33%
2021년 01월 17일,199.59,206.05,207.49,194.15,816.66K,-3.14%
2021년 01월 16일,206.05,208.68,216,200.52,940.39K,-1.25%
2021년 01월 15일,208.66,221.58,222.7,188.7,1.32M,-5.91%
2021년 01월 14일,221.77,213.14,235.22,203.7,1.60M,4.01%
