날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,2.3537,2.2736,2.3537,1.5565,269.54M,3.53%
2021년 04월 17일,2.2735,2.3414,2.5843,2.2311,118.18M,-3.18%
2021년 04월 16일,2.3483,2.0472,2.416,1.9675,173.60M,14.71%
2021년 04월 15일,2.0471,1.9008,2.0614,1.8794,73.48M,7.69%
2021년 04월 14일,1.901,1.9266,2.0225,1.8118,92.80M,-1.35%
2021년 04월 13일,1.927,1.8659,1.9378,1.7832,68.79M,3.30%
2021년 04월 12일,1.8655,1.9702,1.9707,1.8078,62.77M,-5.31%
2021년 04월 11일,1.97,1.9704,2.0268,1.9114,61.51M,0.04%
2021년 04월 10일,1.9693,2.0018,2.0835,1.8843,83.40M,-1.62%
2021년 04월 09일,2.0016,1.9384,2.0891,1.8703,84.96M,3.31%
2021년 04월 08일,1.9376,1.7538,1.9468,1.7251,77.00M,10.56%
2021년 04월 07일,1.7525,1.913,2.172,1.6947,194.14M,-8.39%
2021년 04월 06일,1.9131,1.9597,2.0844,1.7751,116.97M,-2.42%
2021년 04월 05일,1.9606,1.746,2.0686,1.6701,127.51M,12.30%
2021년 04월 04일,1.7459,1.5886,1.7459,1.5601,68.49M,9.88%
2021년 04월 03일,1.5888,1.7676,1.8665,1.572,100.42M,-10.15%
2021년 04월 02일,1.7683,1.7067,1.8431,1.6975,77.86M,3.55%
2021년 04월 01일,1.7077,1.7295,1.9131,1.7051,150.55M,-1.26%
2021년 03월 31일,1.7294,1.6146,1.7487,1.4624,106.26M,7.15%
2021년 03월 30일,1.6141,1.6632,1.6675,1.5609,82.74M,-2.96%
2021년 03월 29일,1.6633,1.5181,1.6761,1.458,114.90M,9.53%
2021년 03월 28일,1.5186,1.3732,1.7022,1.3719,234.28M,10.56%
2021년 03월 27일,1.3735,1.285,1.4078,1.2846,102.69M,6.87%
2021년 03월 26일,1.2851,1.162,1.2933,1.1595,65.79M,10.58%
2021년 03월 25일,1.1622,1.2123,1.2565,1.1281,106.49M,-4.25%
2021년 03월 24일,1.2137,1.3421,1.4568,1.1787,153.70M,-9.66%
2021년 03월 23일,1.3435,1.2001,1.3719,1.1426,120.90M,11.76%
2021년 03월 22일,1.2022,1.178,1.3314,1.1522,124.59M,2.06%
2021년 03월 21일,1.1779,1.198,1.2166,1.1383,53.30M,-1.60%
2021년 03월 20일,1.1971,1.1914,1.2797,1.1877,66.96M,0.45%
2021년 03월 19일,1.1917,1.1834,1.2254,1.1532,45.49M,0.70%
2021년 03월 18일,1.1834,1.2527,1.2675,1.1791,58.23M,-5.64%
2021년 03월 17일,1.2541,1.1755,1.2574,1.1282,85.52M,6.67%
2021년 03월 16일,1.1756,1.1377,1.2458,1.0837,128.04M,3.34%
2021년 03월 15일,1.1376,1.0633,1.2771,0.9871,161.28M,6.99%
2021년 03월 14일,1.0633,1.1343,1.1578,1.0608,63.85M,-6.25%
