날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,39.08,39.92,40.29,29.71,26.79M,-2.12%
2021년 04월 17일,39.93,41.98,44.06,39.91,10.57M,-4.88%
2021년 04월 16일,41.98,42.6,43.24,38.66,15.43M,-1.47%
2021년 04월 15일,42.6,41.33,44.3,39.74,19.15M,3.02%
2021년 04월 14일,41.35,35.5,41.97,35.05,21.75M,16.57%
2021년 04월 13일,35.48,33.1,35.84,32.39,9.27M,7.17%
2021년 04월 12일,33.1,33.9,34.11,31.89,6.05M,-2.36%
2021년 04월 11일,33.9,31.92,34.37,31.75,7.32M,6.22%
2021년 04월 10일,31.92,31.59,32.99,31.1,5.32M,1.04%
2021년 04월 09일,31.59,32.78,33.26,31.26,4.67M,-3.64%
2021년 04월 08일,32.78,31.12,32.88,31,5.54M,5.34%
2021년 04월 07일,31.12,34.72,35.07,30.27,13.63M,-10.36%
2021년 04월 06일,34.72,32.33,34.87,31.32,14.70M,7.40%
2021년 04월 05일,32.33,30.76,32.59,29.63,7.78M,5.13%
2021년 04월 04일,30.75,29.31,31.45,28.79,5.02M,4.91%
2021년 04월 03일,29.31,32.46,33.16,29.24,8.61M,-9.71%
2021년 04월 02일,32.46,30.07,32.54,29.56,7.18M,7.95%
2021년 04월 01일,30.07,29.37,31.11,29.34,9.23M,2.40%
2021년 03월 31일,29.37,27.84,29.37,26.33,7.55M,5.49%
2021년 03월 30일,27.84,28.04,28.56,27.54,3.83M,-0.68%
2021년 03월 29일,28.03,26.66,28.59,26.39,5.85M,5.15%
2021년 03월 28일,26.66,26.85,27.65,26.12,3.72M,-0.72%
2021년 03월 27일,26.85,27.4,27.47,26.01,3.37M,-1.95%
2021년 03월 26일,27.39,25.53,27.4,25.37,6.61M,7.29%
2021년 03월 25일,25.53,24.9,26.62,24.48,7.88M,2.50%
2021년 03월 24일,24.9,26.8,27.87,23.83,8.69M,-7.10%
2021년 03월 23일,26.8,27.28,27.91,26.65,5.89M,-1.73%
2021년 03월 22일,27.28,29.21,29.42,27.27,5.77M,-6.63%
2021년 03월 21일,29.22,29.64,30.06,28.62,4.73M,-1.39%
2021년 03월 20일,29.63,29.78,31.39,29.6,5.66M,-0.56%
2021년 03월 19일,29.79,29.43,30.54,28.7,5.44M,1.25%
2021년 03월 18일,29.43,31.03,31.34,29.04,7.41M,-5.18%
2021년 03월 17일,31.03,27.92,31.18,27.34,13.21M,11.17%
2021년 03월 16일,27.92,27.45,28.17,26.46,5.94M,1.69%
2021년 03월 15일,27.45,28.63,29.4,26.82,8.71M,-4.12%
2021년 03월 14일,28.63,29.75,30.19,28.54,4.91M,-3.74%
2021년 03월 13일,29.75,28.38,30.55,27.02,9.60M,4.83%
2021년 03월 12일,28.38,30.08,30.38,27.72,7.54M,-5.67%
2021년 03월 11일,30.08,29.92,30.43,28.62,7.54M,0.55%
2021년 03월 10일,29.92,31.49,31.76,29.33,8.04M,-5.01%
2021년 03월 09일,31.49,31.83,31.98,30.4,8.02M,-1.04%
2021년 03월 08일,31.83,28.58,31.83,28.3,12.50M,11.34%
2021년 03월 07일,28.58,28.16,29.11,27.42,7.57M,1.51%
2021년 03월 06일,28.16,27.84,28.36,26.31,6.64M,1.08%
2021년 03월 05일,27.86,27.68,28.22,25.68,10.70M,0.64%
2021년 03월 04일,27.68,29.92,30.57,27.28,11.43M,-7.49%
2021년 03월 03일,29.92,28.48,31.42,28.16,10.92M,5.04%
2021년 03월 02일,28.48,27.71,30.51,27.2,16.65M,2.80%
2021년 03월 01일,27.71,24.67,27.71,24.6,16.80M,12.37%
2021년 02월 28일,24.66,26.17,26.74,22.91,14.02M,-5.76%
2021년 02월 27일,26.17,25.17,27.4,24.87,11.80M,3.98%
2021년 02월 26일,25.16,24.71,26.97,23.7,15.74M,1.84%
2021년 02월 25일,24.71,28.1,28.61,24.42,12.85M,-12.08%
2021년 02월 24일,28.1,25.95,29.23,24.53,19.47M,8.31%
2021년 02월 23일,25.95,31.45,31.57,20.89,39.12M,-17.50%
2021년 02월 22일,31.45,34.09,34.18,25.37,21.38M,-7.74%
2021년 02월 21일,34.09,33.99,35.26,33.29,7.44M,0.28%
2021년 02월 20일,34,34.69,36.92,32.33,15.17M,-1.99%
2021년 02월 19일,34.69,32.52,35.38,31.45,10.80M,7.10%
2021년 02월 18일,32.39,32.22,33.52,31.84,7.14M,0.59%
2021년 02월 17일,32.2,32.02,32.65,30,8.08M,0.57%
2021년 02월 16일,32.02,32.57,33.33,30.84,11.54M,-1.70%
2021년 02월 15일,32.57,33.19,34.88,27.51,19.46M,-1.88%
2021년 02월 14일,33.2,34.18,35.64,32.34,14.59M,-2.88%
2021년 02월 13일,34.18,30.64,34.73,29.11,17.20M,11.55%
2021년 02월 12일,30.64,27.84,31.42,26.73,14.29M,10.03%
2021년 02월 11일,27.85,26.8,28.56,26.26,10.01M,3.77%
2021년 02월 10일,26.84,27.61,28.62,25.25,17.19M,-2.86%
2021년 02월 09일,27.63,25.44,27.99,25.01,13.65M,8.62%
2021년 02월 08일,25.44,24.74,25.97,24.02,10.75M,2.82%
2021년 02월 07일,24.74,25.01,25.27,22.95,10.32M,-1.09%
2021년 02월 06일,25.01,26.32,26.77,24.29,11.07M,-4.98%
2021년 02월 05일,26.32,24.5,26.97,24.44,15.37M,7.38%
2021년 02월 04일,24.51,25.08,26.11,22.94,14.15M,-2.25%
2021년 02월 03일,25.08,23.68,25.5,23.55,12.15M,5.89%
2021년 02월 02일,23.68,22.89,24.15,22.75,9.60M,3.48%
2021년 02월 01일,22.89,22.57,23.19,21.66,9.38M,1.37%
2021년 01월 31일,22.58,23.64,24.64,22.09,10.74M,-4.44%
2021년 01월 30일,23.63,22.74,23.97,22.21,10.51M,3.91%
