날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,1.348,1.5199,1.533,1.0802,86.85M,-11.31%
2021년 04월 17일,1.5199,1.3033,1.6265,1.2406,117.71M,16.63%
2021년 04월 16일,1.3033,1.2387,1.3466,1.1167,72.67M,5.23%
2021년 04월 15일,1.2385,1.0926,1.274,1.071,57.70M,13.35%
2021년 04월 14일,1.0926,1.1185,1.1249,1.0124,29.06M,-2.43%
2021년 04월 13일,1.1198,1.1318,1.1423,1.0466,31.61M,-1.05%
2021년 04월 12일,1.1318,1.075,1.2062,1.0273,63.97M,5.28%
2021년 04월 11일,1.075,1.0142,1.1506,1.0028,52.04M,5.93%
2021년 04월 10일,1.0148,1.0347,1.0418,0.9721,25.53M,-1.93%
2021년 04월 09일,1.0348,0.9879,1.12,0.9871,60.55M,4.75%
2021년 04월 08일,0.9879,0.928,1.0168,0.9115,33.59M,6.42%
2021년 04월 07일,0.9282,0.9589,0.9666,0.8343,40.56M,-3.20%
2021년 04월 06일,0.9589,1.0064,1.0091,0.9144,31.62M,-4.62%
2021년 04월 05일,1.0054,1.0041,1.0157,0.9438,39.44M,0.15%
2021년 04월 04일,1.0039,0.9433,1.0131,0.9185,25.91M,6.43%
2021년 04월 03일,0.9433,1.0352,1.0546,0.9235,43.26M,-8.88%
2021년 04월 02일,1.0352,1.0136,1.0705,0.9964,36.02M,2.12%
2021년 04월 01일,1.0137,1.0194,1.0694,0.9885,39.52M,-0.56%
2021년 03월 31일,1.0194,1.0896,1.0897,0.9774,43.38M,-6.32%
2021년 03월 30일,1.0882,1.092,1.1257,1.0417,47.65M,-0.14%
2021년 03월 29일,1.0897,1.1421,1.1789,1.0483,75.88M,-4.59%
2021년 03월 28일,1.1421,0.9255,1.1823,0.9063,129.36M,23.41%
2021년 03월 27일,0.9255,0.8957,0.9818,0.8556,50.71M,3.32%
2021년 03월 26일,0.8957,0.8181,0.9107,0.818,28.82M,9.34%
2021년 03월 25일,0.8192,0.8477,0.8776,0.802,34.42M,-3.37%
2021년 03월 24일,0.8478,0.8481,0.9966,0.8187,60.04M,-0.04%
2021년 03월 23일,0.8481,0.9142,0.921,0.8146,34.97M,-7.32%
2021년 03월 22일,0.9151,0.983,0.9859,0.8859,38.51M,-6.91%
2021년 03월 21일,0.9829,0.8957,1.0264,0.8855,48.87M,10.17%
2021년 03월 20일,0.8922,0.9616,1.0173,0.8883,44.63M,-7.23%
2021년 03월 19일,0.9617,0.9792,1.0246,0.9459,47.73M,-1.78%
2021년 03월 18일,0.9792,1.0603,1.0796,0.9651,92.03M,-7.64%
2021년 03월 17일,1.0602,0.9085,1.0833,0.7756,180.16M,16.70%
2021년 03월 16일,0.9085,1.0502,1.0722,0.8406,98.34M,-13.49%
2021년 03월 15일,1.0502,1.0147,1.1422,0.9366,143.45M,3.51%
2021년 03월 14일,1.0147,0.971,1.2109,0.8729,314.76M,4.50%
2021년 03월 13일,0.9709,0.6588,1.1733,0.6154,446.24M,47.38%
2021년 03월 12일,0.6588,0.5216,0.6837,0.5172,144.41M,26.37%
2021년 03월 11일,0.5213,0.4813,0.5593,0.472,93.35M,8.33%
2021년 03월 10일,0.4813,0.5475,0.5618,0.4776,82.22M,-12.10%
2021년 03월 09일,0.5475,0.4843,0.5914,0.4843,158.69M,13.06%
2021년 03월 08일,0.4843,0.4007,0.4984,0.4007,123.70M,20.82%
2021년 03월 07일,0.4008,0.3589,0.4199,0.3503,58.29M,11.67%
2021년 03월 06일,0.3589,0.3749,0.3847,0.3399,64.62M,-4.52%
2021년 03월 05일,0.3759,0.4187,0.4222,0.3584,103.44M,-10.27%
2021년 03월 04일,0.4189,0.3476,0.4449,0.3345,207.08M,20.56%
2021년 03월 03일,0.3475,0.2795,0.3475,0.2735,84.34M,24.33%
2021년 03월 02일,0.2795,0.26,0.2889,0.2541,45.10M,7.63%
2021년 03월 01일,0.2597,0.2361,0.2608,0.2361,26.22M,10.00%
2021년 02월 28일,0.2361,0.2532,0.2564,0.2203,27.11M,-6.68%
2021년 02월 27일,0.253,0.2501,0.2636,0.246,23.85M,1.21%
2021년 02월 26일,0.25,0.255,0.2692,0.2225,44.52M,-1.98%
2021년 02월 25일,0.255,0.2478,0.2904,0.236,45.15M,2.84%
2021년 02월 24일,0.248,0.2334,0.2639,0.2193,43.19M,6.04%
2021년 02월 23일,0.2338,0.2718,0.2741,0.1867,79.21M,-13.98%
2021년 02월 22일,0.2718,0.3135,0.3283,0.2365,74.87M,-13.31%
2021년 02월 21일,0.3136,0.3019,0.3212,0.2946,32.53M,3.87%
2021년 02월 20일,0.3019,0.3289,0.3293,0.2939,47.80M,-8.22%
2021년 02월 19일,0.3289,0.3125,0.3698,0.2931,54.43M,5.26%
2021년 02월 18일,0.3125,0.2988,0.3197,0.2919,52.46M,4.59%
2021년 02월 17일,0.2988,0.2906,0.3116,0.2701,49.11M,3.15%
