날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,0.211303,0.239122,0.245536,0.184336,51.06M,-11.64%
2021년 04월 17일,0.239134,0.246861,0.254349,0.233359,32.49M,-3.13%
2021년 04월 16일,0.246865,0.273427,0.276214,0.237068,68.44M,-10.12%
2021년 04월 15일,0.274653,0.266768,0.296347,0.240012,96.42M,2.96%
2021년 04월 14일,0.266767,0.189667,0.272869,0.185577,103.67M,40.68%
2021년 04월 13일,0.189626,0.179911,0.194118,0.176784,36.26M,5.44%
2021년 04월 12일,0.17985,0.188191,0.189009,0.173896,29.09M,-4.42%
2021년 04월 11일,0.188163,0.198984,0.207132,0.185997,57.02M,-5.42%
2021년 04월 10일,0.198945,0.165233,0.199015,0.164513,55.03M,20.40%
2021년 04월 09일,0.165237,0.156357,0.167159,0.154989,36.58M,5.89%
2021년 04월 08일,0.15605,0.137977,0.156782,0.135849,39.30M,13.13%
2021년 04월 07일,0.137936,0.181683,0.182946,0.135414,90.45M,-24.06%
2021년 04월 06일,0.181645,0.19202,0.198494,0.169087,62.78M,-5.38%
2021년 04월 05일,0.191982,0.164412,0.191982,0.154475,68.40M,16.76%
2021년 04월 04일,0.16442,0.148797,0.164957,0.145679,37.93M,10.49%
2021년 04월 03일,0.148812,0.145351,0.181098,0.144074,108.30M,2.38%
2021년 04월 02일,0.145351,0.138246,0.147336,0.1363,29.77M,5.14%
2021년 04월 01일,0.138244,0.135481,0.14488,0.133751,56.55M,2.07%
2021년 03월 31일,0.135439,0.134714,0.135608,0.123974,43.08M,0.64%
2021년 03월 30일,0.134584,0.125387,0.137319,0.125208,42.25M,7.34%
2021년 03월 29일,0.125375,0.120303,0.125463,0.119839,32.04M,4.21%
2021년 03월 28일,0.120308,0.116002,0.124511,0.115305,36.73M,3.67%
2021년 03월 27일,0.116051,0.11341,0.118263,0.111956,30.33M,2.31%
2021년 03월 26일,0.113437,0.104093,0.113591,0.103932,33.79M,9.02%
2021년 03월 25일,0.104051,0.109621,0.111857,0.099485,37.91M,-5.34%
2021년 03월 24일,0.109921,0.132662,0.136502,0.108227,46.79M,-17.13%
2021년 03월 23일,0.132641,0.109622,0.138381,0.10843,94.80M,21.00%
2021년 03월 22일,0.109622,0.107162,0.125396,0.106466,63.22M,2.26%
2021년 03월 21일,0.107196,0.104716,0.107777,0.100599,25.92M,2.37%
2021년 03월 20일,0.104714,0.102471,0.11523,0.101901,51.59M,2.18%
