날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,0.142995,0.155502,0.156821,0.124927,10.57B,-8.07%
2021년 04월 17일,0.155539,0.161091,0.179874,0.153232,9.94B,-3.54%
2021년 04월 16일,0.161244,0.1639,0.176554,0.135076,13.08B,-1.62%
2021년 04월 15일,0.1639,0.140274,0.168534,0.136165,10.66B,16.84%
2021년 04월 14일,0.140272,0.146551,0.156136,0.132745,10.84B,-4.29%
2021년 04월 13일,0.146566,0.128793,0.154986,0.128097,11.48B,13.80%
2021년 04월 12일,0.128793,0.12212,0.137215,0.121644,9.45B,5.46%
2021년 04월 11일,0.12212,0.126402,0.126701,0.118177,4.88B,-3.38%
2021년 04월 10일,0.126386,0.115856,0.127211,0.112643,6.68B,9.09%
2021년 04월 09일,0.115856,0.123625,0.125059,0.114471,4.97B,-6.28%
2021년 04월 08일,0.123616,0.110318,0.125937,0.110254,8.12B,12.37%
2021년 04월 07일,0.110012,0.124147,0.125561,0.103777,13.36B,-11.42%
2021년 04월 06일,0.124191,0.136682,0.138641,0.111913,13.77B,-9.23%
2021년 04월 05일,0.136823,0.127618,0.148982,0.126033,17.68B,7.20%
2021년 04월 04일,0.12763,0.101442,0.128362,0.09992,15.32B,25.79%
2021년 04월 03일,0.101466,0.09231,0.110775,0.088157,15.40B,9.98%
2021년 04월 02일,0.092258,0.085409,0.092384,0.084295,7.45B,8.05%
2021년 04월 01일,0.085388,0.092776,0.094622,0.082448,11.17B,-7.96%
2021년 03월 31일,0.09277,0.065996,0.097103,0.065549,21.21B,40.57%
2021년 03월 30일,0.065996,0.064732,0.066764,0.064223,3.67B,1.94%
2021년 03월 29일,0.064739,0.063622,0.065756,0.06325,2.87B,1.75%
2021년 03월 28일,0.063625,0.063619,0.06466,0.062203,3.57B,0.01%
2021년 03월 27일,0.063617,0.064688,0.067486,0.062798,5.75B,-1.69%
2021년 03월 26일,0.064712,0.055302,0.065963,0.055281,7.38B,17.00%
2021년 03월 25일,0.055308,0.055781,0.056265,0.053315,5.34B,-0.86%
2021년 03월 24일,0.055786,0.058626,0.062213,0.054364,7.27B,-4.94%
2021년 03월 23일,0.058683,0.059298,0.0614,0.057534,4.77B,-1.04%
2021년 03월 22일,0.059297,0.063291,0.066164,0.059049,6.41B,-6.30%
2021년 03월 21일,0.063281,0.060797,0.064464,0.058687,7.01B,4.09%
2021년 03월 20일,0.060797,0.058655,0.068302,0.058614,14.03B,3.62%
2021년 03월 19일,0.058671,0.053302,0.05946,0.052264,6.98B,10.07%
2021년 03월 18일,0.053301,0.05485,0.055153,0.052996,4.78B,-2.75%
2021년 03월 17일,0.054808,0.052359,0.055785,0.051991,6.58B,4.71%
2021년 03월 16일,0.052342,0.050693,0.053097,0.049143,5.73B,3.27%
2021년 03월 15일,0.050684,0.051086,0.052184,0.048426,6.09B,-0.80%
2021년 03월 14일,0.051095,0.052875,0.053836,0.051052,3.87B,-3.36%
2021년 03월 13일,0.052871,0.049953,0.054058,0.048883,7.65B,5.84%
2021년 03월 12일,0.049953,0.051502,0.051716,0.048812,4.46B,-2.94%
2021년 03월 11일,0.051467,0.051454,0.051828,0.049741,4.58B,0.03%
2021년 03월 10일,0.051451,0.053182,0.053355,0.050446,4.54B,-3.28%
2021년 03월 09일,0.053196,0.053024,0.053553,0.052061,4.58B,0.33%
2021년 03월 08일,0.053022,0.051738,0.053263,0.050276,5.86B,2.47%
2021년 03월 07일,0.051742,0.050168,0.051831,0.050016,3.52B,3.09%
2021년 03월 06일,0.05019,0.050174,0.050755,0.048711,4.16B,0.03%
2021년 03월 05일,0.050174,0.051431,0.051433,0.048526,4.83B,-2.43%
2021년 03월 04일,0.051425,0.048881,0.05333,0.048439,9.65B,5.05%
2021년 03월 03일,0.048954,0.046861,0.049615,0.046532,4.84B,4.46%
2021년 03월 02일,0.046862,0.047848,0.048821,0.045475,5.81B,-2.06%
2021년 03월 01일,0.047848,0.04561,0.048107,0.045012,6.53B,4.93%
2021년 02월 28일,0.045598,0.046519,0.046784,0.043233,6.82B,-1.98%
2021년 02월 27일,0.04652,0.045181,0.048319,0.045162,5.27B,2.96%
2021년 02월 26일,0.045181,0.045206,0.046814,0.04204,9.46B,-0.03%
2021년 02월 25일,0.045196,0.047983,0.049942,0.044964,5.44B,-5.82%
2021년 02월 24일,0.047989,0.045016,0.049779,0.043313,10.61B,6.65%
2021년 02월 23일,0.044998,0.054236,0.054515,0.038697,14.93B,-17.04%
