날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,273.603,301.084,304.464,231.866,236.97M,-9.08%
2021년 04월 17일,300.927,308.274,335.268,298.309,4.40M,-2.35%
2021년 04월 16일,308.174,285.696,316.194,265.892,257.36M,7.85%
2021년 04월 15일,285.754,278.888,290.527,266.225,4.83M,2.64%
2021년 04월 14일,278.408,267.4,282.926,255.643,250.63M,4.21%
2021년 04월 13일,267.17,244.451,273.218,244.442,2.82M,9.20%
2021년 04월 12일,244.655,252.463,258.89,240.174,249.40M,-3.06%
2021년 04월 11일,252.375,256.269,263.42,245.026,6.32M,-1.52%
2021년 04월 10일,256.269,220.83,256.367,219.22,242.78M,16.02%
2021년 04월 09일,220.879,226.35,228.798,218.96,229.64M,-2.47%
2021년 04월 08일,226.48,219.098,228.11,217.017,231.31M,3.43%
2021년 04월 07일,218.974,236.686,242.829,211,238.65M,-7.54%
2021년 04월 06일,236.827,221.468,244.508,213.207,243.94M,6.94%
2021년 04월 05일,221.456,202.28,225.16,198.229,229.15M,9.47%
2021년 04월 04일,202.291,195.209,204.659,192.371,204.40M,3.62%
2021년 04월 03일,195.231,211.639,217.658,194.984,225.94M,-7.84%
2021년 04월 02일,211.84,202.341,213.742,200.831,942.91K,4.69%
2021년 04월 01일,202.352,196.671,204.67,194.24,201.89M,2.89%
2021년 03월 31일,196.661,195.78,198.902,187.055,191.48M,0.45%
2021년 03월 30일,195.771,193.742,199.931,190.301,174.96M,1.04%
2021년 03월 29일,193.762,184.231,197.501,182.45,188.05M,5.17%
2021년 03월 28일,184.239,184.079,187.268,180.069,177.86M,0.10%
2021년 03월 27일,184.061,183.46,186.07,177.824,176.09M,0.36%
2021년 03월 26일,183.401,171.549,183.783,171.49,166.74M,6.84%
2021년 03월 25일,171.66,176.168,178.325,167.922,154.08M,-2.58%
2021년 03월 24일,176.2,185.861,196.907,172.39,181.91M,-5.37%
2021년 03월 23일,186.19,185.553,189.309,181.262,638.93K,0.30%
2021년 03월 22일,185.639,195.32,198.718,184.685,188.33M,-4.99%
2021년 03월 21일,195.38,200.079,201.799,192.138,188.01M,-2.31%
2021년 03월 20일,199.991,199.989,206.098,198.91,196.51M,-0.14%
2021년 03월 19일,200.276,199.739,204.969,195.855,177.88K,0.27%
2021년 03월 18일,199.733,205.929,208.177,199.341,989.87K,-3.09%
2021년 03월 17일,206.11,201.661,206.738,194.473,176.18M,2.19%
2021년 03월 16일,201.698,200.505,205.037,191.631,128.92M,0.62%
2021년 03월 15일,200.462,214.23,222.536,197.66,132.91M,-6.43%
2021년 03월 14일,214.226,226.043,228.041,214.226,1.67M,-5.30%
2021년 03월 13일,226.208,220.61,230.087,213.28,205.69M,2.54%
2021년 03월 12일,220.61,201.351,224.22,198.59,2.08M,9.58%
2021년 03월 11일,201.329,200.114,203.391,191.113,169.26M,0.60%
2021년 03월 10일,200.133,203.731,207.857,191.631,183.88M,-1.78%
2021년 03월 09일,203.751,191.779,204.888,189.31,162.66M,6.34%
2021년 03월 08일,191.595,190.763,195.221,179.612,1.14M,0.44%
2021년 03월 07일,190.759,182.839,192.096,182.233,146.54M,4.34%
2021년 03월 06일,182.816,180.142,184.542,174.774,146.26M,1.48%
2021년 03월 05일,180.142,180.669,183.54,168.671,153.39M,-0.29%
2021년 03월 04일,180.657,187.684,194.404,177.061,173.56M,-3.81%
2021년 03월 03일,187.812,179.061,196.097,176.955,163.81M,5.32%
2021년 03월 02일,178.32,175.845,185.104,170.761,1.12M,1.33%
2021년 03월 01일,175.978,165.148,176.499,163.371,141.79M,6.58%
2021년 02월 28일,165.119,171.846,172.836,153.951,170.19M,-3.93%
2021년 02월 27일,171.868,170.302,180.337,167.121,161.69M,1.09%
2021년 02월 26일,170.02,179.243,182.625,162.87,2.18M,-5.29%
2021년 02월 25일,179.507,181.528,205.052,175.183,204.30M,-1.10%
2021년 02월 24일,181.499,177.591,189.385,169.287,199.81M,2.23%
2021년 02월 23일,177.538,208.061,208.675,157.993,1.40M,-14.66%
2021년 02월 22일,208.039,227.162,227.296,178.792,212.94M,-8.44%
2021년 02월 21일,227.219,226.831,233.584,220.207,198.55M,-0.12%
2021년 02월 20일,227.5,236.392,247.073,214.528,1.47M,-3.88%
2021년 02월 19일,236.694,226.673,241.66,220.344,192.82M,4.46%
2021년 02월 18일,226.58,237.348,238.938,220.793,200.40M,-4.42%
2021년 02월 17일,237.066,210.468,237.439,203.616,214.05M,12.68%
2021년 02월 16일,210.389,207.709,221.909,200.152,208.17M,1.29%
2021년 02월 15일,207.709,213.649,219.821,185.652,221.53M,-2.75%
2021년 02월 14일,213.589,226.009,230.445,208.422,217.96M,-5.47%
2021년 02월 13일,225.942,196.589,228.816,191.73,236.46M,15.05%
2021년 02월 12일,196.382,183.602,199.51,176.852,168.15M,6.87%
2021년 02월 11일,183.757,181.65,193.365,175.917,164.63M,1.21%
2021년 02월 10일,181.551,181.509,195.077,170.016,200.54M,0.06%
2021년 02월 09일,181.442,167.283,184.283,164.397,160.46M,8.42%
2021년 02월 08일,167.351,150.732,169.277,147.862,136.40M,11.03%
2021년 02월 07일,150.731,155.572,157.22,145.275,130.21M,-3.00%
2021년 02월 06일,155.393,155.055,164.031,149.978,142.45M,0.24%
2021년 02월 05일,155.026,143.71,156.868,143.683,121.13M,7.87%
2021년 02월 04일,143.71,155.929,158.212,142.984,128.83M,-7.84%
2021년 02월 03일,155.941,141.972,156.106,141.972,132.28M,9.88%
2021년 02월 02일,141.916,131.99,145.872,131.914,122.30M,7.47%
2021년 02월 01일,132.049,129.401,136.547,126.002,109.98M,2.05%
2021년 01월 31일,129.4,133.378,134.89,125.701,105.17M,-2.96%
2021년 01월 30일,133.349,134.673,136.23,128.033,108.48M,-0.98%
2021년 01월 29일,134.673,133.26,145.415,131.064,140.22M,1.09%
2021년 01월 28일,133.217,122.439,135.801,120.933,113.51M,8.80%
2021년 01월 27일,122.44,134.682,134.908,118.291,109.78M,-9.11%
2021년 01월 26일,134.709,137.143,139.706,128.372,85.25M,-1.75%
2021년 01월 25일,137.11,141.008,147.608,136.652,90.83M,-2.74%
2021년 01월 24일,140.97,137.65,142.62,133.811,80.37M,2.42%
2021년 01월 23일,137.642,137.66,143.46,135.08,114.54M,-0.13%
2021년 01월 22일,137.821,129.77,141.81,122.881,350.07M,6.39%
2021년 01월 21일,129.542,149.72,150.219,125.723,382.38M,-13.47%
2021년 01월 20일,149.71,151.872,156.131,138.472,384.74M,-1.44%
2021년 01월 19일,151.893,152.03,166.052,150.254,365.45M,-0.04%
2021년 01월 18일,151.949,142.878,154.896,138.54,316.05M,6.35%
2021년 01월 17일,142.881,143.541,146.948,136.371,325.28M,-0.45%
2021년 01월 16일,143.531,143.77,152.558,139.401,344.24M,-0.17%
2021년 01월 15일,143.772,152.548,155.621,130.56,387.07M,-5.79%
2021년 01월 14일,152.611,147.381,156.862,143.742,334.66M,3.58%
2021년 01월 13일,147.34,133.418,148.419,126.005,356.74M,10.46%
2021년 01월 12일,133.39,138.889,146.727,128.189,468.78M,-4.01%
2021년 01월 11일,138.968,170.201,170.548,112.897,705.72M,-18.33%
2021년 01월 10일,170.162,177.187,185.671,162.1,453.61M,-3.96%
2021년 01월 09일,177.179,172.229,178.696,163.388,393.49M,2.91%
2021년 01월 08일,172.169,169.382,181.849,150.063,514.38M,1.56%
2021년 01월 07일,169.531,168.875,181.041,162.204,423.00M,0.45%
2021년 01월 06일,168.764,158.556,169.643,155.038,366.22M,6.52%
2021년 01월 05일,158.432,155.461,162.548,146.542,383.44M,1.87%
2021년 01월 04일,155.518,161.31,173.625,140.003,519.23M,-3.50%
2021년 01월 03일,161.151,136.932,164.398,135.401,394.35M,17.82%
2021년 01월 02일,136.781,126.232,140.646,123.153,283.31M,8.30%
2021년 01월 01일,126.302,124.162,133.919,122.943,257.82M,1.72%
2020년 12월 31일,124.162,130.088,130.34,122.005,232.21M,-4.52%
2020년 12월 30일,130.036,128.798,132.996,122.959,275.55M,1.00%
2020년 12월 29일,128.751,129.829,130.907,120.059,288.18M,-0.82%
2020년 12월 28일,129.822,127.88,137.21,126.464,311.09M,1.57%
2020년 12월 27일,127.812,129.657,139.408,122.448,367.21M,-1.39%
2020년 12월 26일,129.62,127.615,135.126,125.069,314.65M,1.55%
2020년 12월 25일,127.643,111.281,128.519,108.353,283.85M,14.69%
2020년 12월 24일,111.291,102.371,112.318,98.713,286.68M,8.59%
2020년 12월 23일,102.488,114.308,117.155,95.362,333.88M,-10.45%
2020년 12월 22일,114.45,104.433,114.54,98.504,288.42M,9.61%
2020년 12월 21일,104.412,114.603,118.54,100.996,293.55M,-8.91%
2020년 12월 20일,114.631,119.867,123.151,110.057,280.20M,-4.35%
2020년 12월 19일,119.84,109.331,124.044,105.342,245.57M,9.59%
2020년 12월 18일,109.351,101.108,112.765,99.253,274.52M,8.11%
2020년 12월 17일,101.149,92.903,109.878,90.609,272.51M,8.61%
2020년 12월 16일,93.134,81.361,93.237,78.596,166.11M,14.51%
2020년 12월 15일,81.333,82.366,84.875,80.453,153.50M,-1.25%
2020년 12월 14일,82.361,82.246,82.963,79.164,151.61M,0.05%
2020년 12월 13일,82.323,76.675,84.386,75.525,141.71M,7.39%
2020년 12월 12일,76.656,72.219,77.555,72.092,131.72M,6.20%
2020년 12월 11일,72.181,74.868,75.065,70.01,130.68M,-3.29%
2020년 12월 10일,74.633,77.36,77.621,73.252,133.71M,-3.57%
2020년 12월 09일,77.397,76.746,78.122,72.169,154.33M,0.82%
2020년 12월 08일,76.765,83.395,84.81,75.512,153.24M,-7.96%
2020년 12월 07일,83.404,83.577,86.787,81.746,148.20M,-0.20%
2020년 12월 06일,83.574,83.146,85.155,80.382,141.43M,0.50%
2020년 12월 05일,83.154,79.425,84.211,78.644,153.25M,4.50%
2020년 12월 04일,79.574,88.993,89.806,78,167.72M,-10.61%
2020년 12월 03일,89.023,88.971,91.255,85.474,172.66M,0.03%
2020년 12월 02일,88.998,85.161,90.579,82.89,209.07M,4.59%
2020년 12월 01일,85.089,87.617,92.881,79.721,252.33M,-2.94%
2020년 11월 30일,87.664,78.945,88.519,76.95,181.16M,11.11%
2020년 11월 29일,78.901,72.676,81.045,71.528,170.01M,8.55%
2020년 11월 28일,72.683,69.167,74.882,68.31,159.60M,5.11%
2020년 11월 27일,69.147,70.98,73.508,65.49,183.09M,-2.53%
2020년 11월 26일,70.939,81.743,83.196,64.511,254.54M,-13.25%
2020년 11월 25일,81.772,89.272,90.738,78.143,199.55M,-8.36%
2020년 11월 24일,89.231,89.06,93.952,85.525,233.15M,0.15%
2020년 11월 23일,89.098,82.831,90.843,80.976,218.88M,7.50%
2020년 11월 22일,82.883,87.19,87.948,77.987,200.03M,-4.90%
2020년 11월 21일,87.149,82.579,88.379,80.488,8.26M,5.63%
2020년 11월 20일,82.505,81.52,85.518,80.101,8.70M,1.20%
2020년 11월 19일,81.527,73.354,83.186,71.489,9.07M,11.11%
2020년 11월 18일,73.376,76.225,77.061,68.289,9.78M,-3.93%
2020년 11월 17일,76.375,73.751,76.961,71.414,8.21M,3.62%
2020년 11월 16일,73.705,62.308,74.613,62.084,10.44M,18.25%
2020년 11월 15일,62.332,63.799,64.447,61.045,9.45M,-2.28%
2020년 11월 14일,63.787,65.923,66.326,61.69,7.82M,-3.23%
