날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,2.35551,2.32585,2.4201,1.58093,189.41M,1.25%
2021년 04월 17일,2.32635,2.51306,2.60566,2.32587,97.38M,-7.49%
2021년 04월 16일,2.51467,2.16794,2.66009,2.15298,133.80M,15.99%
2021년 04월 15일,2.16794,2.11319,2.20373,2.04747,40.10M,2.59%
2021년 04월 14일,2.11319,2.15221,2.22966,1.98801,71.44M,-1.81%
2021년 04월 13일,2.15221,1.99604,2.18665,1.95649,68.64M,7.83%
2021년 04월 12일,1.99589,2.09411,2.09681,1.9583,45.21M,-4.69%
2021년 04월 11일,2.09411,2.08129,2.14589,1.99208,66.25M,0.55%
2021년 04월 10일,2.08271,1.86428,2.09797,1.85552,90.15M,11.72%
2021년 04월 09일,1.86428,1.88765,2.00086,1.85662,80.72M,-1.27%
2021년 04월 08일,1.88829,1.65425,1.93222,1.64379,96.38M,14.16%
2021년 04월 07일,1.65402,1.79811,1.81356,1.57026,65.57M,-8.02%
2021년 04월 06일,1.79819,1.72007,1.84617,1.66234,66.96M,4.54%
2021년 04월 05일,1.72007,1.54952,1.76689,1.51201,85.43M,11.02%
2021년 04월 04일,1.54931,1.47635,1.55882,1.45774,30.22M,4.94%
2021년 04월 03일,1.47644,1.62191,1.63618,1.47505,44.37M,-8.97%
2021년 04월 02일,1.62193,1.57317,1.63549,1.54473,45.80M,3.10%
2021년 04월 01일,1.57317,1.53213,1.64382,1.5263,54.21M,2.74%
2021년 03월 31일,1.53127,1.52447,1.55403,1.42008,51.44M,0.47%
2021년 03월 30일,1.52414,1.50807,1.57413,1.47133,51.16M,1.07%
2021년 03월 29일,1.50807,1.39135,1.50807,1.36944,56.00M,8.38%
2021년 03월 28일,1.39151,1.39703,1.44613,1.36652,41.07M,-0.40%
2021년 03월 27일,1.39703,1.44484,1.47161,1.35491,48.78M,-3.27%
2021년 03월 26일,1.44425,1.33368,1.49364,1.33368,60.43M,8.24%
2021년 03월 25일,1.33434,1.40744,1.42326,1.28795,81.92M,-5.37%
2021년 03월 24일,1.41003,1.65216,1.74233,1.33658,97.86M,-14.69%
2021년 03월 23일,1.65288,1.46631,1.76761,1.46086,209.40M,12.76%
2021년 03월 22일,1.46581,1.4096,1.56388,1.36897,99.70M,3.98%
2021년 03월 21일,1.40964,1.40429,1.44485,1.344,49.13M,0.38%
2021년 03월 20일,1.40429,1.33346,1.48497,1.32663,80.84M,5.33%
2021년 03월 19일,1.33326,1.32229,1.35808,1.30469,32.28M,0.83%
2021년 03월 18일,1.32229,1.35302,1.36659,1.31204,36.02M,-2.27%
2021년 03월 17일,1.35302,1.32833,1.36163,1.29337,42.17M,1.83%
2021년 03월 16일,1.32874,1.2775,1.38714,1.26939,57.14M,4.01%
2021년 03월 15일,1.27754,1.31138,1.35688,1.22099,70.31M,-2.58%
2021년 03월 14일,1.3114,1.37556,1.38782,1.3114,35.34M,-4.66%
2021년 03월 13일,1.37556,1.32138,1.40358,1.28024,47.63M,4.10%
2021년 03월 12일,1.32144,1.38953,1.4373,1.28086,73.45M,-4.89%
2021년 03월 11일,1.38934,1.30359,1.5232,1.26354,111.54M,6.58%
2021년 03월 10일,1.30359,1.41773,1.42206,1.29288,60.79M,-8.05%
2021년 03월 09일,1.41773,1.29863,1.41897,1.28979,67.41M,9.26%
