날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,0.201702,0.219643,0.224219,0.175811,744.30M,-8.25%
2021년 04월 17일,0.219839,0.236807,0.254148,0.215043,682.75M,-7.17%
2021년 04월 16일,0.236807,0.21567,0.242914,0.195129,727.25M,9.80%
2021년 04월 15일,0.21567,0.200078,0.219741,0.196798,471.31M,7.79%
2021년 04월 14일,0.200078,0.202825,0.203262,0.190228,383.78M,-1.22%
2021년 04월 13일,0.202555,0.196544,0.205747,0.190614,367.59M,3.06%
2021년 04월 12일,0.196544,0.20463,0.205419,0.193384,273.60M,-3.93%
2021년 04월 11일,0.204594,0.2081,0.20911,0.201222,250.71M,-1.74%
2021년 04월 10일,0.208207,0.21907,0.219385,0.202174,314.39M,-5.03%
2021년 04월 09일,0.21924,0.206288,0.219443,0.200054,337.81M,6.28%
2021년 04월 08일,0.206288,0.190957,0.209085,0.189451,347.86M,8.01%
2021년 04월 07일,0.19099,0.205064,0.205404,0.181908,554.42M,-6.86%
2021년 04월 06일,0.20505,0.211719,0.221812,0.194398,555.95M,-3.15%
2021년 04월 05일,0.21172,0.221996,0.227118,0.2074,719.18M,-2.92%
2021년 04월 04일,0.21808,0.181404,0.223746,0.179971,485.07M,20.21%
2021년 04월 03일,0.181412,0.202226,0.207819,0.180509,548.73M,-10.19%
2021년 04월 02일,0.202001,0.177382,0.214793,0.176024,856.24M,13.93%
2021년 04월 01일,0.177301,0.176382,0.181552,0.170611,283.57M,0.53%
2021년 03월 31일,0.176361,0.183314,0.187348,0.167396,380.24M,-3.81%
2021년 03월 30일,0.183344,0.177773,0.188752,0.173985,360.06M,3.15%
2021년 03월 29일,0.17774,0.171547,0.180309,0.170107,320.84M,3.59%
2021년 03월 28일,0.171582,0.166605,0.176088,0.163512,381.03M,2.99%
2021년 03월 27일,0.166605,0.167264,0.172354,0.160295,302.56M,-0.44%
2021년 03월 26일,0.167337,0.15408,0.168471,0.154052,361.22M,8.62%
2021년 03월 25일,0.154053,0.157005,0.162205,0.147357,614.20M,-1.89%
2021년 03월 24일,0.157019,0.166658,0.182939,0.150552,709.17M,-5.79%
2021년 03월 23일,0.16667,0.161552,0.16915,0.154155,489.38M,3.12%
2021년 03월 22일,0.161626,0.174812,0.182902,0.160941,486.34M,-7.44%
2021년 03월 21일,0.174619,0.170755,0.17612,0.165313,361.05M,2.31%
2021년 03월 20일,0.170673,0.184009,0.189917,0.170486,434.98M,-7.25%
2021년 03월 19일,0.184012,0.179093,0.193507,0.173376,574.22M,2.75%
2021년 03월 18일,0.179093,0.197052,0.201914,0.174954,1.09B,-8.95%
2021년 03월 17일,0.19669,0.154829,0.19881,0.151328,8.03M,27.04%
2021년 03월 16일,0.154829,0.160865,0.165847,0.150165,590.16M,-3.75%
2021년 03월 15일,0.160865,0.16435,0.173426,0.146928,789.62M,-2.26%
2021년 03월 14일,0.164578,0.182203,0.186221,0.162322,691.56M,-9.69%
2021년 03월 13일,0.182235,0.16347,0.183364,0.153547,369.10M,11.48%
2021년 03월 12일,0.16347,0.176889,0.197292,0.15564,1.82B,-6.99%
2021년 03월 11일,0.175749,0.127511,0.179745,0.127511,2.30B,37.83%
2021년 03월 10일,0.127511,0.134536,0.135188,0.122787,435.70M,-5.35%
2021년 03월 09일,0.134712,0.125288,0.135539,0.122446,378.59M,7.52%
2021년 03월 08일,0.125288,0.117907,0.1276,0.114747,403.62M,6.30%
2021년 03월 07일,0.11786,0.115893,0.119321,0.114637,257.11M,1.70%
2021년 03월 06일,0.11589,0.115761,0.118339,0.111231,236.35M,0.11%
2021년 03월 05일,0.115765,0.118353,0.118353,0.109596,336.48M,-2.15%
2021년 03월 04일,0.11831,0.126556,0.128412,0.115436,565.94M,-6.62%
2021년 03월 03일,0.126697,0.114083,0.130675,0.112677,6.46M,11.09%
2021년 03월 02일,0.114048,0.115795,0.119671,0.1095,427.99M,-1.51%
2021년 03월 01일,0.115795,0.107418,0.118368,0.106618,408.56M,7.80%
2021년 02월 28일,0.107418,0.115714,0.116228,0.098501,481.89M,-7.15%
2021년 02월 27일,0.115694,0.109293,0.120711,0.109225,391.62M,5.87%
2021년 02월 26일,0.109282,0.108935,0.115804,0.101881,517.91M,0.32%
