날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,0.008024,0.009148,0.009203,0.006989,175.51B,-12.44%
2021년 04월 17일,0.009164,0.007717,0.010862,0.007715,416.60B,18.74%
2021년 04월 16일,0.007718,0.008203,0.008382,0.007192,144.43B,-5.82%
2021년 04월 15일,0.008195,0.007642,0.008647,0.007421,153.62B,7.26%
2021년 04월 14일,0.007641,0.00814,0.008159,0.007039,131.85B,-6.18%
2021년 04월 13일,0.008144,0.007978,0.008572,0.007564,124.35B,2.13%
2021년 04월 12일,0.007974,0.00844,0.00858,0.007912,84.23B,-5.49%
2021년 04월 11일,0.008437,0.008574,0.008941,0.007864,126.37B,-1.63%
2021년 04월 10일,0.008577,0.009119,0.00912,0.008101,112.57B,-5.95%
2021년 04월 09일,0.00912,0.009685,0.00995,0.008788,97.69B,-5.83%
2021년 04월 08일,0.009685,0.007914,0.009853,0.007847,179.17B,22.49%
2021년 04월 07일,0.007907,0.009746,0.010227,0.007486,225.18B,-18.86%
2021년 04월 06일,0.009744,0.010172,0.011131,0.008267,300.16B,-4.29%
2021년 04월 05일,0.01018,0.010237,0.013394,0.009743,378.37B,-0.55%
2021년 04월 04일,0.010237,0.006942,0.010507,0.006766,334.67B,47.47%
2021년 04월 03일,0.006942,0.006915,0.007637,0.006318,297.02B,0.42%
2021년 04월 02일,0.006913,0.005282,0.006997,0.00519,220.11B,30.92%
2021년 04월 01일,0.00528,0.005075,0.00572,0.004863,172.36B,4.05%
2021년 03월 31일,0.005074,0.004601,0.005436,0.004447,334.96B,10.29%
2021년 03월 30일,0.004601,0.003758,0.004719,0.003719,280.60B,22.44%
2021년 03월 29일,0.003758,0.003613,0.00394,0.003518,132.44B,4.02%
2021년 03월 28일,0.003613,0.003788,0.003788,0.003521,108.80B,-4.64%
2021년 03월 27일,0.003788,0.003552,0.0041,0.003377,262.44B,6.85%
2021년 03월 26일,0.003545,0.003148,0.00362,0.003143,154.46B,12.61%
2021년 03월 25일,0.003148,0.003171,0.003306,0.002981,102.29B,-0.70%
2021년 03월 24일,0.003171,0.003073,0.003707,0.002963,204.05B,3.07%
2021년 03월 23일,0.003076,0.003258,0.003379,0.002928,137.62B,-5.63%
2021년 03월 22일,0.00326,0.003635,0.003686,0.003108,167.56B,-9.86%
2021년 03월 21일,0.003616,0.002865,0.003875,0.002806,273.77B,26.56%
2021년 03월 20일,0.002857,0.002355,0.003926,0.002355,568.88B,21.64%
2021년 03월 19일,0.002349,0.001638,0.002517,0.00163,376.52B,43.38%
2021년 03월 18일,0.001638,0.001651,0.001678,0.00159,138.09B,-0.74%
2021년 03월 17일,0.001651,0.001619,0.001726,0.001541,152.22B,1.97%
2021년 03월 16일,0.001619,0.001624,0.001641,0.00153,169.97B,-0.31%
2021년 03월 15일,0.001624,0.001683,0.001797,0.001549,158.43B,-3.54%
2021년 03월 14일,0.001683,0.001692,0.00189,0.001578,214.24B,-0.52%
2021년 03월 13일,0.001692,0.001314,0.001992,0.001297,320.71B,28.82%
2021년 03월 12일,0.001314,0.001389,0.001395,0.001282,147.96B,-5.39%
2021년 03월 11일,0.001389,0.001426,0.001434,0.001354,76.02B,-2.60%
2021년 03월 10일,0.001426,0.00134,0.001554,0.001291,162.64B,6.49%
2021년 03월 09일,0.001339,0.00129,0.001374,0.001264,171.11B,3.79%
2021년 03월 08일,0.00129,0.00125,0.001388,0.001221,138.30B,3.22%
2021년 03월 07일,0.00125,0.00123,0.001265,0.001222,162.24B,1.60%
2021년 03월 06일,0.00123,0.001232,0.00127,0.001195,71.80B,-0.18%
2021년 03월 05일,0.001232,0.0012,0.001248,0.001141,212.98B,2.70%
2021년 03월 04일,0.0012,0.001234,0.001269,0.001162,127.55B,-2.82%
2021년 03월 03일,0.001234,0.00121,0.00127,0.001189,217.15B,2.01%
2021년 03월 02일,0.00121,0.001249,0.001272,0.001167,88.10B,-3.09%
2021년 03월 01일,0.001249,0.001143,0.00126,0.001135,198.78B,9.25%
2021년 02월 28일,0.001143,0.00126,0.001269,0.001045,188.97B,-9.28%
2021년 02월 27일,0.00126,0.001271,0.001337,0.001242,178.32B,-0.87%
2021년 02월 26일,0.001271,0.001322,0.00136,0.00122,138.95B,-3.84%
2021년 02월 25일,0.001322,0.001432,0.001483,0.001314,159.53B,-7.70%
2021년 02월 24일,0.001432,0.001367,0.001534,0.001309,229.33B,4.77%
2021년 02월 23일,0.001367,0.001686,0.001699,0.001056,260.85B,-18.92%
2021년 02월 22일,0.001686,0.00174,0.001973,0.001384,249.70B,-3.05%
2021년 02월 21일,0.001739,0.001489,0.001873,0.001431,315.84B,16.79%
2021년 02월 20일,0.001489,0.001429,0.001833,0.001387,286.98B,4.47%
2021년 02월 19일,0.001425,0.001258,0.001582,0.001235,209.07B,13.34%
2021년 02월 18일,0.001257,0.001211,0.001284,0.001201,99.18B,3.85%
2021년 02월 17일,0.001211,0.001179,0.001374,0.001114,216.39B,2.83%
2021년 02월 16일,0.001177,0.001111,0.00126,0.001087,121.97B,5.99%
2021년 02월 15일,0.001111,0.001139,0.001225,0.00095,246.77B,-2.48%
2021년 02월 14일,0.001139,0.001242,0.001251,0.001083,164.74B,-8.26%
2021년 02월 13일,0.001242,0.001262,0.001299,0.001139,146.44B,-1.59%
2021년 02월 12일,0.001262,0.001196,0.001424,0.001196,140.22B,5.48%
2021년 02월 11일,0.001196,0.001126,0.001214,0.001091,251.32B,5.98%
2021년 02월 10일,0.001129,0.001214,0.001298,0.001028,159.96B,-6.82%
2021년 02월 09일,0.001211,0.001066,0.001991,0.001063,832.83B,13.64%
2021년 02월 08일,0.001066,0.000499,0.001512,0.000498,722.27B,113.47%
2021년 02월 07일,0.000499,0.000463,0.000523,0.000449,291.57B,7.81%
2021년 02월 06일,0.000463,0.000477,0.000479,0.000446,353.61B,-2.80%
2021년 02월 05일,0.000477,0.000434,0.000481,0.000431,319.10B,9.69%
2021년 02월 04일,0.000434,0.000457,0.00046,0.000423,252.43B,-4.83%
2021년 02월 03일,0.000457,0.000431,0.000497,0.000418,369.48B,5.82%
