날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,1.40794,1.53957,1.56266,1.16193,3.48B,-8.61%
2021년 04월 17일,1.54064,1.54768,1.73876,1.53308,1.74B,-0.44%
2021년 04월 16일,1.54747,1.7584,1.80402,1.44072,2.86B,-11.97%
2021년 04월 15일,1.7578,1.83563,1.88408,1.65854,1.84B,-4.27%
2021년 04월 14일,1.83625,1.79613,1.96332,1.57032,3.58B,2.23%
2021년 04월 13일,1.79627,1.46844,1.88626,1.42122,4.05B,22.38%
2021년 04월 12일,1.46773,1.35479,1.4719,1.3197,1.78B,8.32%
2021년 04월 11일,1.35498,1.37428,1.49007,1.3084,3.15B,-1.41%
2021년 04월 10일,1.37431,1.01909,1.3953,1.00711,4.31B,34.85%
2021년 04월 09일,1.01916,1.05784,1.08335,0.9849,1.61B,-3.66%
2021년 04월 08일,1.05784,0.91658,1.07201,0.90415,2.03B,15.41%
2021년 04월 07일,0.91658,1.09138,1.10128,0.85966,3.88B,-15.95%
2021년 04월 06일,1.09057,0.91333,1.11471,0.81318,6.43B,19.42%
2021년 04월 05일,0.91324,0.63489,0.93557,0.61963,5.22B,43.84%
2021년 04월 04일,0.63489,0.57886,0.63561,0.56884,1.00B,9.68%
2021년 04월 03일,0.57886,0.60676,0.64142,0.57467,1.59B,-4.60%
2021년 04월 02일,0.60676,0.57056,0.60902,0.56574,1.27B,6.35%
2021년 04월 01일,0.57052,0.56957,0.59179,0.5507,1.13B,0.17%
2021년 03월 31일,0.56957,0.56225,0.57594,0.53095,1.16B,1.30%
2021년 03월 30일,0.56225,0.56537,0.58537,0.55924,899.98M,-0.55%
2021년 03월 29일,0.56537,0.54556,0.57002,0.54371,835.17M,3.61%
2021년 03월 28일,0.54565,0.54789,0.55989,0.54026,531.13M,-0.41%
2021년 03월 27일,0.54789,0.56344,0.57414,0.53451,738.34M,-2.69%
2021년 03월 26일,0.56304,0.51085,0.5752,0.51046,1.30B,10.22%
2021년 03월 25일,0.51085,0.48011,0.5239,0.46029,1.56B,5.96%
2021년 03월 24일,0.48213,0.55045,0.56235,0.45393,1.56B,-12.41%
2021년 03월 23일,0.55045,0.54408,0.59555,0.53828,1.77B,1.16%
2021년 03월 22일,0.54414,0.51653,0.59954,0.5024,2.71B,5.31%
2021년 03월 21일,0.5167,0.5246,0.54625,0.49578,1.39B,-1.48%
2021년 03월 20일,0.52446,0.46655,0.54965,0.46472,1.85B,12.38%
2021년 03월 19일,0.46669,0.46885,0.47489,0.45977,529.83M,-0.46%
2021년 03월 18일,0.46885,0.46999,0.4903,0.46582,837.87M,-0.24%
2021년 03월 17일,0.47,0.46037,0.48159,0.45443,913.27M,2.09%
2021년 03월 16일,0.46037,0.43568,0.51976,0.42752,2.30B,5.67%
2021년 03월 15일,0.43568,0.43909,0.4481,0.42346,805.42M,-0.83%
2021년 03월 14일,0.4393,0.45768,0.4615,0.4393,609.22M,-4.02%
2021년 03월 13일,0.4577,0.43938,0.46506,0.43274,815.65M,4.16%
2021년 03월 12일,0.43941,0.45189,0.46385,0.42505,969.06M,-2.69%
2021년 03월 11일,0.45155,0.46158,0.4641,0.44103,752.19M,-2.17%
2021년 03월 10일,0.46158,0.48499,0.48804,0.456,867.45M,-4.83%
2021년 03월 09일,0.48499,0.47403,0.48656,0.47178,685.95M,2.41%
2021년 03월 08일,0.47358,0.46532,0.48757,0.45533,1.00B,1.77%
2021년 03월 07일,0.46532,0.46296,0.46863,0.45734,505.07M,0.51%
2021년 03월 06일,0.46296,0.45498,0.47019,0.44991,575.65M,1.75%
2021년 03월 05일,0.45501,0.48091,0.48278,0.44664,1.17B,-5.38%
2021년 03월 04일,0.48088,0.44844,0.4938,0.43623,1.83B,7.23%
2021년 03월 03일,0.44844,0.43582,0.46723,0.4314,917.03M,2.90%
2021년 03월 02일,0.43582,0.44546,0.45414,0.42297,920.49M,-2.18%
2021년 03월 01일,0.44551,0.41566,0.45262,0.41226,927.26M,7.28%
2021년 02월 28일,0.41528,0.43578,0.43789,0.3934,1.05B,-4.69%
2021년 02월 27일,0.43574,0.42784,0.45794,0.42778,896.32M,1.85%
2021년 02월 26일,0.42783,0.43592,0.45033,0.413,1.42B,-1.79%
2021년 02월 25일,0.43561,0.46849,0.48146,0.42599,1.08B,-7.17%
2021년 02월 24일,0.46923,0.47613,0.49934,0.45168,1.56B,-1.19%
2021년 02월 23일,0.4749,0.56581,0.5706,0.3672,4.22B,-16.07%
2021년 02월 22일,0.56581,0.54393,0.64615,0.51627,5.43B,4.02%
2021년 02월 21일,0.54393,0.512,0.55726,0.50521,1.48B,6.24%
2021년 02월 20일,0.512,0.56483,0.58113,0.4752,1.90B,-9.10%
2021년 02월 19일,0.56325,0.53193,0.57905,0.51489,1.60B,6.15%
2021년 02월 18일,0.53061,0.53435,0.55951,0.52141,1.12B,-0.63%
2021년 02월 17일,0.53396,0.51987,0.55588,0.49378,1.41B,2.77%
2021년 02월 16일,0.51956,0.54939,0.57897,0.48621,1.78B,-5.43%
2021년 02월 15일,0.54939,0.59245,0.60394,0.51117,2.03B,-7.28%
2021년 02월 14일,0.59252,0.63352,0.63792,0.5652,1.59B,-6.40%
2021년 02월 13일,0.63303,0.60892,0.64209,0.54769,2.48B,3.96%
2021년 02월 12일,0.60892,0.52817,0.61897,0.51961,2.58B,15.29%
2021년 02월 11일,0.52817,0.50472,0.53505,0.5015,1.53B,4.65%
2021년 02월 10일,0.50472,0.47644,0.53982,0.45342,3.36B,5.94%
2021년 02월 09일,0.47643,0.45084,0.48937,0.44989,1.99B,5.68%
2021년 02월 08일,0.45084,0.41842,0.46672,0.4128,1.82B,7.75%
2021년 02월 07일,0.41842,0.44275,0.45029,0.39789,1.75B,-5.49%
2021년 02월 06일,0.44274,0.45182,0.45593,0.42685,1.31B,-2.01%
2021년 02월 05일,0.45182,0.44454,0.47078,0.42631,2.41B,1.70%
2021년 02월 04일,0.44427,0.39726,0.47971,0.38069,3.59B,11.83%
2021년 02월 03일,0.39726,0.3723,0.41699,0.3723,2.25B,6.70%
2021년 02월 02일,0.3723,0.37163,0.41071,0.34132,3.53B,0.18%
2021년 02월 01일,0.37163,0.49493,0.75358,0.36151,13.39B,-24.91%
2021년 01월 31일,0.49493,0.44329,0.50775,0.39005,6.96B,11.71%
2021년 01월 30일,0.44304,0.28278,0.50882,0.27879,9.31B,56.67%
2021년 01월 29일,0.28278,0.26414,0.31664,0.26038,3.05B,7.05%
2021년 01월 28일,0.26415,0.25073,0.26998,0.24728,765.96M,5.35%
2021년 01월 27일,0.25073,0.26841,0.26861,0.24441,773.60M,-6.59%
2021년 01월 26일,0.26841,0.26758,0.27082,0.25809,636.91M,0.31%
2021년 01월 25일,0.26758,0.2732,0.2839,0.26709,837.93M,-2.06%
2021년 01월 24일,0.2732,0.27163,0.27781,0.26863,645.08M,0.57%
2021년 01월 23일,0.27166,0.27246,0.28303,0.26572,798.56M,-0.35%
2021년 01월 22일,0.27261,0.2681,0.27818,0.24165,1.49B,1.68%
2021년 01월 21일,0.2681,0.29531,0.3072,0.26051,1.63B,-9.21%
2021년 01월 20일,0.29531,0.29453,0.31044,0.28041,1.50B,0.26%
2021년 01월 19일,0.29455,0.28539,0.32793,0.28409,2.07B,3.21%
2021년 01월 18일,0.28539,0.27742,0.28863,0.27171,904.13M,2.87%
2021년 01월 17일,0.27742,0.27923,0.28538,0.26876,900.72M,-0.75%
2021년 01월 16일,0.27951,0.28022,0.29628,0.27543,1.18B,-0.31%
2021년 01월 15일,0.28037,0.2966,0.30301,0.26257,1.40B,-5.47%
2021년 01월 14일,0.2966,0.30572,0.30864,0.28358,1.48B,-2.99%
2021년 01월 13일,0.30575,0.29256,0.30989,0.28544,1.25B,4.54%
2021년 01월 12일,0.29246,0.2875,0.30897,0.27787,2.38B,1.71%
2021년 01월 11일,0.28754,0.31501,0.31567,0.25579,3.79B,-8.78%
2021년 01월 10일,0.31521,0.32433,0.36658,0.28928,3.31B,-2.81%
2021년 01월 09일,0.32432,0.32072,0.33904,0.30626,2.38B,1.10%
2021년 01월 08일,0.3208,0.32355,0.34591,0.28574,3.83B,-0.83%
2021년 01월 07일,0.32348,0.24868,0.36878,0.2457,7.31B,30.06%
2021년 01월 06일,0.24871,0.22547,0.27192,0.22162,3.53B,10.32%
2021년 01월 05일,0.22544,0.2357,0.24183,0.21821,2.46B,-4.37%
2021년 01월 04일,0.23575,0.22495,0.25988,0.21767,3.14B,4.87%
2021년 01월 03일,0.22479,0.22087,0.23783,0.21542,2.49B,1.73%
2021년 01월 02일,0.22097,0.23727,0.23806,0.2114,2.48B,-6.84%
2021년 01월 01일,0.2372,0.21928,0.24997,0.21643,2.98B,8.18%
2020년 12월 31일,0.21925,0.2113,0.2285,0.20543,2.81B,3.76%
2020년 12월 30일,0.21131,0.22152,0.23525,0.19217,4.72B,-4.61%
2020년 12월 29일,0.22151,0.24923,0.24996,0.17428,7.62B,-11.14%
2020년 12월 28일,0.24929,0.28394,0.3082,0.23734,2.76B,-12.19%
2020년 12월 27일,0.28388,0.29463,0.30993,0.26792,2.81B,-3.64%
2020년 12월 26일,0.29461,0.31803,0.32559,0.28462,3.00B,-7.42%
2020년 12월 25일,0.3182,0.33781,0.38265,0.28206,6.00B,-5.81%
2020년 12월 24일,0.33782,0.2604,0.37492,0.24245,6.51B,29.72%
2020년 12월 23일,0.26041,0.44685,0.44785,0.21523,8.38B,-41.78%
2020년 12월 22일,0.44732,0.51439,0.5215,0.40335,2.96B,-13.05%
2020년 12월 21일,0.51448,0.55604,0.56909,0.50019,1.57B,-7.53%
2020년 12월 20일,0.55634,0.57665,0.58642,0.534,1.23B,-3.51%
2020년 12월 19일,0.57659,0.58344,0.60299,0.56653,1.50B,-1.18%
2020년 12월 18일,0.58348,0.57794,0.61238,0.5516,1.96B,0.97%
2020년 12월 17일,0.5779,0.57087,0.65864,0.54263,3.45B,1.17%
2020년 12월 16일,0.5712,0.46777,0.57337,0.43985,2.50B,22.10%
2020년 12월 15일,0.46783,0.49735,0.50706,0.46489,1.26B,-5.96%
2020년 12월 14일,0.49747,0.51392,0.5181,0.48986,869.69M,-3.25%
2020년 12월 13일,0.51416,0.50589,0.52755,0.48652,1.28B,1.63%
2020년 12월 12일,0.50589,0.54666,0.54739,0.48577,2.15B,-7.66%
2020년 12월 11일,0.54787,0.57185,0.58519,0.52768,1.69B,-4.11%
2020년 12월 10일,0.57136,0.58285,0.5879,0.55403,1.15B,-1.97%
