날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,11.763,13.2808,13.2808,10.8562,14.25M,-11.49%
2021년 04월 17일,13.2906,14.1322,14.8149,13.2112,7.54M,-6.37%
2021년 04월 16일,14.1949,12.5928,14.2437,12.1636,14.84M,12.96%
2021년 04월 15일,12.5665,12.1993,12.5665,12.0082,2.39M,3.52%
2021년 04월 14일,12.1387,12.4153,12.6353,11.6709,5.43M,-2.39%
2021년 04월 13일,12.4365,12.1298,12.4365,12.0243,3.04M,2.54%
2021년 04월 12일,12.1279,12.236,12.2364,11.9499,1.77M,-0.61%
2021년 04월 11일,12.2024,12.4202,12.4202,12.0528,2.03M,-1.40%
2021년 04월 10일,12.3759,12.6508,12.8292,12.1971,2.43M,-2.03%
2021년 04월 09일,12.6318,12.9148,12.9148,12.4839,4.07M,-2.23%
2021년 04월 08일,12.92,12.2611,13.2413,12.0697,5.07M,5.32%
2021년 04월 07일,12.2674,11.7524,13.5481,11.7524,14.10M,4.71%
2021년 04월 06일,11.7159,11.5938,11.7159,11.4753,2.86M,1.08%
2021년 04월 05일,11.5906,11.8178,11.8178,11.4115,2.80M,-1.67%
2021년 04월 04일,11.7878,11.3634,11.7878,11.3634,2.44M,3.49%
2021년 04월 03일,11.3903,11.6918,12.4675,11.3437,3.94M,-2.47%
2021년 04월 02일,11.6787,11.5168,12.0968,11.4357,3.91M,1.49%
2021년 04월 01일,11.5077,12.3357,12.3357,11.5077,4.82M,-6.49%
2021년 03월 31일,12.3062,12.9001,13.14,12.1494,5.31M,-4.61%
2021년 03월 30일,12.9015,13.1415,13.1415,12.8117,3.17M,-1.74%
2021년 03월 29일,13.1302,12.8661,13.6602,12.8661,6.34M,2.00%
2021년 03월 28일,12.8732,11.8084,12.8732,11.8084,6.86M,9.11%
2021년 03월 27일,11.7987,12.6251,12.6251,11.7371,5.27M,-6.22%
2021년 03월 26일,12.5818,13.1771,13.4505,12.1945,9.11M,-4.45%
2021년 03월 25일,13.1678,11.2146,13.1678,11,18.01M,17.07%
2021년 03월 24일,11.2481,12.9037,14.4904,11.2481,24.14M,-12.44%
2021년 03월 23일,12.8463,10.0555,13.3308,10.0555,29.04M,28.17%
2021년 03월 22일,10.0231,9.6475,10.7181,9.6475,14.03M,4.11%
2021년 03월 21일,9.6278,8.3076,9.6278,8.3076,8.33M,15.89%
2021년 03월 20일,8.3075,8.21,8.4654,8.21,3.61M,1.20%
2021년 03월 19일,8.2092,8.4115,8.7651,8.2092,6.91M,-2.53%
2021년 03월 18일,8.4222,7.8716,8.4222,7.5034,6.62M,7.19%
2021년 03월 17일,7.8569,6.9983,7.8569,6.9335,4.29M,11.97%
2021년 03월 16일,7.0167,6.7788,7.452,6.6404,6.62M,4.26%
2021년 03월 15일,6.73,7.3455,7.5068,6.73,5.70M,-8.63%
2021년 03월 14일,7.366,6.8308,7.609,6.6477,9.04M,7.82%
2021년 03월 13일,6.8317,6.9313,6.985,6.5132,5.89M,-1.51%
2021년 03월 12일,6.9361,7.0527,7.2154,6.4002,12.15M,-1.45%
2021년 03월 11일,7.0383,6.516,7.964,6.4029,16.83M,7.79%
2021년 03월 10일,6.5295,5.3826,6.5295,5.3826,8.84M,21.91%
2021년 03월 09일,5.3559,4.9228,5.4011,4.9228,6.14M,8.85%
