날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,0.2065,0.235,0.2366,0.1877,217.31M,-12.21%
2021년 04월 17일,0.2352,0.2359,0.2514,0.2317,171.78M,-0.44%
2021년 04월 16일,0.2362,0.2455,0.2462,0.2254,202.33M,-3.79%
2021년 04월 15일,0.2455,0.244,0.2467,0.2305,133.22M,0.62%
2021년 04월 14일,0.244,0.2251,0.244,0.223,243.03M,8.40%
2021년 04월 13일,0.2251,0.209,0.2257,0.2087,165.13M,7.70%
2021년 04월 12일,0.209,0.2128,0.2161,0.2028,105.90M,-1.79%
2021년 04월 11일,0.2128,0.2151,0.2212,0.2094,132.73M,-1.05%
2021년 04월 10일,0.2151,0.2096,0.231,0.2088,212.17M,2.62%
2021년 04월 09일,0.2096,0.2026,0.212,0.2011,83.23M,3.46%
2021년 04월 08일,0.2026,0.187,0.2035,0.1849,100.97M,8.47%
2021년 04월 07일,0.1868,0.2099,0.2211,0.1781,362.25M,-11.03%
2021년 04월 06일,0.2099,0.2226,0.2238,0.2043,151.15M,-5.77%
2021년 04월 05일,0.2228,0.2157,0.2239,0.2066,169.21M,3.31%
2021년 04월 04일,0.2157,0.2025,0.2161,0.2003,84.89M,6.50%
2021년 04월 03일,0.2025,0.2155,0.2246,0.2019,141.35M,-6.03%
2021년 04월 02일,0.2155,0.2098,0.2184,0.2073,123.45M,2.70%
2021년 04월 01일,0.2098,0.2089,0.2173,0.2074,105.54M,0.47%
2021년 03월 31일,0.2089,0.2145,0.2162,0.2017,105.31M,-2.54%
2021년 03월 30일,0.2143,0.2129,0.2214,0.2111,110.13M,0.65%
2021년 03월 29일,0.2129,0.1988,0.2191,0.1969,218.44M,7.11%
2021년 03월 28일,0.1988,0.2012,0.2031,0.195,65.70M,-1.20%
2021년 03월 27일,0.2012,0.2071,0.2077,0.1971,109.86M,-2.79%
2021년 03월 26일,0.207,0.1975,0.208,0.197,113.56M,4.73%
2021년 03월 25일,0.1976,0.2077,0.2096,0.1924,170.79M,-4.86%
2021년 03월 24일,0.2077,0.2068,0.2328,0.2026,233.01M,0.43%
2021년 03월 23일,0.2068,0.2098,0.2168,0.1946,181.17M,-1.43%
2021년 03월 22일,0.2098,0.2177,0.2261,0.2085,195.23M,-3.61%
2021년 03월 21일,0.2177,0.2129,0.2223,0.2054,145.22M,2.35%
2021년 03월 20일,0.2127,0.2381,0.2482,0.2125,186.73M,-10.68%
2021년 03월 19일,0.2381,0.2168,0.2425,0.2096,183.04M,9.86%
2021년 03월 18일,0.2168,0.1936,0.2264,0.1936,348.49M,11.99%
2021년 03월 17일,0.1936,0.1932,0.1961,0.1795,182.40M,0.19%
2021년 03월 16일,0.1932,0.1748,0.1936,0.1656,210.19M,10.59%
2021년 03월 15일,0.1747,0.1838,0.1897,0.1654,133.51M,-4.97%
2021년 03월 14일,0.1838,0.1969,0.1987,0.1816,116.73M,-6.61%
2021년 03월 13일,0.1968,0.1878,0.1988,0.1765,152.51M,4.84%
2021년 03월 12일,0.1878,0.188,0.2005,0.1826,200.84M,-0.06%
2021년 03월 11일,0.1879,0.1709,0.1975,0.1678,203.85M,9.96%
2021년 03월 10일,0.1709,0.1701,0.1761,0.1603,106.69M,0.45%
2021년 03월 09일,0.1701,0.1596,0.1703,0.157,196.41M,6.58%
2021년 03월 08일,0.1596,0.1585,0.1609,0.1529,159.25M,0.63%
2021년 03월 07일,0.1586,0.1531,0.1598,0.1523,163.72M,3.60%
2021년 03월 06일,0.1531,0.1502,0.1547,0.1471,156.92M,1.73%
2021년 03월 05일,0.1505,0.1487,0.1517,0.1411,169.90M,1.23%
2021년 03월 04일,0.1487,0.1561,0.161,0.1451,209.63M,-4.70%
2021년 03월 03일,0.156,0.1524,0.161,0.1512,204.46M,2.43%
2021년 03월 02일,0.1523,0.1492,0.158,0.1444,256.31M,2.11%
2021년 03월 01일,0.1492,0.134,0.1502,0.1336,203.01M,11.38%
2021년 02월 28일,0.1339,0.1493,0.1512,0.1265,238.92M,-10.30%
2021년 02월 27일,0.1493,0.1525,0.1562,0.1462,232.54M,-2.11%
2021년 02월 26일,0.1525,0.1534,0.1607,0.143,301.28M,-0.56%
2021년 02월 25일,0.1534,0.1601,0.1768,0.153,326.79M,-4.16%
2021년 02월 24일,0.16,0.1581,0.1793,0.152,427.25M,1.37%
2021년 02월 23일,0.1579,0.2241,0.2244,0.1373,530.48M,-29.57%
2021년 02월 22일,0.2241,0.1407,0.2708,0.1323,856.67M,59.46%
2021년 02월 21일,0.1406,0.138,0.1427,0.1354,187.71M,1.84%
2021년 02월 20일,0.138,0.1377,0.1509,0.1329,279.09M,0.24%
2021년 02월 19일,0.1377,0.1195,0.1389,0.1125,296.97M,15.23%
