날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,0.546789,0.625935,0.625935,0.546789,1.43M,-12.64%
2021년 04월 17일,0.625935,0.76798,0.76798,0.625935,1.54M,-18.50%
2021년 04월 16일,0.76798,0.533504,0.76798,0.533504,3.06M,43.95%
2021년 04월 15일,0.533504,0.50096,0.533504,0.50096,1.58M,6.50%
2021년 04월 14일,0.50096,0.518036,0.518036,0.50096,919.15K,-3.30%
2021년 04월 13일,0.518036,0.585383,0.585383,0.514386,1.24M,-11.50%
2021년 04월 12일,0.585383,0.464832,0.585383,0.464832,1.57M,25.93%
2021년 04월 11일,0.464832,0.459933,0.464832,0.459933,381.65K,1.07%
2021년 04월 10일,0.459933,0.480746,0.480746,0.459933,564.59K,-4.33%
2021년 04월 09일,0.480746,0.491002,0.491002,0.480746,556.23K,-2.09%
2021년 04월 08일,0.491002,0.451538,0.491002,0.451538,1.10M,8.74%
2021년 04월 07일,0.451538,0.447878,0.451538,0.447878,1.39M,0.82%
2021년 04월 06일,0.447878,0.460027,0.460027,0.447878,778.59K,-2.64%
2021년 04월 05일,0.460027,0.485022,0.485022,0.460027,978.73K,-5.15%
2021년 04월 04일,0.485022,0.451198,0.485022,0.451198,1.17M,7.50%
2021년 04월 03일,0.451198,0.492715,0.492715,0.451198,956.37K,-8.43%
2021년 04월 02일,0.492715,0.488815,0.492715,0.488815,756.53K,0.80%
2021년 04월 01일,0.488815,0.499865,0.499865,0.488815,783.64K,-2.21%
2021년 03월 31일,0.499865,0.524938,0.524938,0.499865,1.44M,-4.78%
2021년 03월 30일,0.524938,0.530436,0.530436,0.524938,1.40M,-1.04%
2021년 03월 29일,0.530436,0.540261,0.540261,0.530436,780.30K,-1.82%
2021년 03월 28일,0.540261,0.522613,0.540261,0.522613,1.24M,3.38%
2021년 03월 27일,0.522613,0.518908,0.522613,0.518908,1.23M,0.71%
2021년 03월 26일,0.518908,0.482478,0.518908,0.482478,1.09M,7.55%
2021년 03월 25일,0.482478,0.483734,0.497037,0.467944,721.01K,-0.26%
2021년 03월 24일,0.483734,0.509758,0.540192,0.483734,1.12M,-5.11%
2021년 03월 23일,0.509758,0.510915,0.510915,0.509758,1.14M,-0.23%
2021년 03월 22일,0.510915,0.571111,0.571111,0.510915,1.05M,-10.54%
2021년 03월 21일,0.571111,0.539962,0.571111,0.539962,1.17M,5.77%
2021년 03월 20일,0.539962,0.604757,0.604757,0.539962,1.20M,-10.71%
2021년 03월 19일,0.604757,0.640246,0.640246,0.604757,2.80M,-5.54%
2021년 03월 18일,0.640246,0.576362,0.640246,0.576362,2.29M,11.08%
2021년 03월 17일,0.576362,0.52082,0.576362,0.52082,2.32M,10.66%
2021년 03월 16일,0.52082,0.604654,0.604654,0.52082,1.90M,-13.86%
2021년 03월 15일,0.604654,0.652909,0.652909,0.604654,1.24M,-7.67%
2021년 03월 14일,0.654895,0.592255,0.654895,0.592255,2.55M,10.58%
2021년 03월 13일,0.592255,0.720881,0.720881,0.592255,3.40M,-17.84%
2021년 03월 12일,0.720881,0.353899,0.720881,0.353899,6.09M,103.70%
2021년 03월 11일,0.353899,0.249203,0.353899,0.249203,4.14M,42.01%
2021년 03월 10일,0.249203,0.265647,0.265647,0.249203,1.92M,-6.19%
2021년 03월 09일,0.265647,0.218182,0.295655,0.218182,3.83M,21.75%
2021년 03월 08일,0.218182,0.129451,0.218182,0.129451,3.58M,68.54%
2021년 03월 07일,0.129451,0.113199,0.135846,0.113199,1.66M,14.36%
2021년 03월 06일,0.113199,0.112169,0.113199,0.112169,2.00M,0.92%
2021년 03월 05일,0.112169,0.117252,0.117252,0.112169,2.61M,-4.34%
