"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","6.17294","7.04549","7.15056","5.22429","29.70M","-12.38%"
"2021년 04월 17일","7.04549","7.19546","7.65585","6.97409","15.66M","-2.08%"
"2021년 04월 16일","7.19546","6.77853","7.46299","6.54976","29.19M","6.17%"
"2021년 04월 15일","6.77746","6.57898","6.89952","6.35566","15.27M","3.01%"
"2021년 04월 14일","6.57918","6.51576","6.85989","6.16918","16.06M","0.98%"
"2021년 04월 13일","6.51562","6.28169","6.66338","6.10195","12.99M","3.72%"
"2021년 04월 12일","6.28175","6.44087","6.49545","6.09349","9.92M","-2.47%"
"2021년 04월 11일","6.44087","6.55674","6.66743","6.30087","9.93M","-1.77%"
"2021년 04월 10일","6.55674","6.81608","7.18473","6.25214","21.64M","-2.63%"
"2021년 04월 09일","6.73416","6.14091","6.86765","6.00264","18.55M","9.66%"
"2021년 04월 08일","6.14091","5.51295","6.21445","5.47700","11.26M","11.45%"
"2021년 04월 07일","5.51002","6.15256","6.46892","5.38209","22.69M","-10.44%"
"2021년 04월 06일","6.15242","6.09698","6.75354","5.87110","30.58M","1.93%"
"2021년 04월 05일","6.03594","5.10397","6.43709","4.97150","31.30M","18.26%"
"2021년 04월 04일","5.10386","4.76424","5.17163","4.68737","7.36M","7.13%"
"2021년 04월 03일","4.76419","5.29451","5.40770","4.75466","12.57M","-10.02%"
"2021년 04월 02일","5.29451","5.11853","5.35409","4.96597","12.34M","3.44%"
"2021년 04월 01일","5.11853","4.82431","5.33780","4.74269","22.88M","6.10%"
"2021년 03월 31일","4.82406","4.56098","4.88191","4.24513","12.94M","5.77%"
"2021년 03월 30일","4.56098","4.58629","4.78325","4.54803","10.65M","-0.54%"
"2021년 03월 29일","4.58596","4.22532","4.62047","4.18363","11.98M","8.59%"
"2021년 03월 28일","4.22330","4.10754","4.31570","4.07481","7.44M","2.81%"
"2021년 03월 27일","4.10790","4.18954","4.21835","4.02389","5.62M","-1.95%"
"2021년 03월 26일","4.18954","3.91575","4.19847","3.91575","7.55M","6.99%"
"2021년 03월 25일","3.91578","3.99115","4.07785","3.75807","12.28M","-1.89%"
"2021년 03월 24일","3.99106","4.13074","4.52327","3.83745","15.83M","-3.42%"
"2021년 03월 23일","4.13251","4.05993","4.23573","3.95567","9.78M","1.79%"
"2021년 03월 22일","4.06000","4.16845","4.40024","4.03566","11.71M","-2.62%"
"2021년 03월 21일","4.16915","4.35839","4.41428","4.05728","8.42M","-4.22%"
"2021년 03월 20일","4.35266","4.23106","4.60172","4.20703","10.73M","2.87%"
"2021년 03월 19일","4.23106","4.26542","4.34751","4.13428","7.94M","-0.81%"
"2021년 03월 18일","4.26542","4.40262","4.55615","4.23063","14.94M","-3.12%"
"2021년 03월 17일","4.40262","4.03844","4.44177","3.84466","16.79M","9.20%"
"2021년 03월 16일","4.03172","3.83117","4.04542","3.69528","9.12M","5.23%"
"2021년 03월 15일","3.83117","3.96033","4.05196","3.74682","8.44M","-3.27%"
"2021년 03월 14일","3.96079","4.16680","4.18931","3.95454","6.68M","-5.03%"
"2021년 03월 13일","4.17050","3.96538","4.23112","3.80421","8.33M","5.02%"
"2021년 03월 12일","3.97122","4.11507","4.14415","3.81622","9.36M","-3.50%"
"2021년 03월 11일","4.11507","4.14954","4.18673","3.94986","7.45M","-0.87%"
"2021년 03월 10일","4.15132","4.46416","4.47324","4.07205","10.49M","-7.05%"
"2021년 03월 09일","4.46624","4.39305","4.58566","4.34428","11.70M","1.67%"
"2021년 03월 08일","4.39305","4.19309","4.48373","4.05434","15.77M","4.77%"
"2021년 03월 07일","4.19309","3.87193","4.20545","3.82444","11.48M","8.29%"
"2021년 03월 06일","3.87193","3.76167","4.00208","3.71564","10.42M","2.82%"
"2021년 03월 05일","3.76572","3.66334","3.85501","3.44700","14.18M","2.79%"
"2021년 03월 04일","3.66334","3.84892","3.96405","3.56625","13.48M","-4.83%"
"2021년 03월 03일","3.84914","3.68660","3.99834","3.66216","16.37M","4.52%"
"2021년 03월 02일","3.68272","3.62498","3.80062","3.49369","13.46M","1.60%"
"2021년 03월 01일","3.62471","3.40502","3.66571","3.38439","9.50M","6.53%"
"2021년 02월 28일","3.40243","3.63344","3.66307","3.19344","14.04M","-6.35%"
"2021년 02월 27일","3.63328","3.46124","3.84836","3.46124","14.19M","5.01%"
"2021년 02월 26일","3.46000","3.33681","3.78547","3.17020","23.44M","3.78%"
"2021년 02월 25일","3.33414","3.53136","3.83125","3.30378","24.76M","-5.58%"
"2021년 02월 24일","3.53134","3.54419","3.88537","3.35693","22.39M","-0.36%"
"2021년 02월 23일","3.54419","4.26264","4.27973","2.94018","38.31M","-16.85%"
"2021년 02월 22일","4.26264","4.66302","4.67506","3.62751","30.30M","-8.59%"
"2021년 02월 21일","4.66302","4.63098","4.79379","4.50233","14.50M","0.77%"
"2021년 02월 20일","4.62726","4.94773","5.12870","4.35151","22.79M","-6.44%"
"2021년 02월 19일","4.94582","4.83612","5.08030","4.58366","16.99M","2.27%"
"2021년 02월 18일","4.83612","4.60321","4.98445","4.48555","18.31M","5.30%"
"2021년 02월 17일","4.59254","4.50861","4.74164","4.17920","16.22M","1.86%"
"2021년 02월 16일","4.50861","4.53271","4.85471","4.30566","19.75M","-0.48%"
"2021년 02월 15일","4.53028","4.82500","4.92894","3.85377","30.89M","-6.11%"
"2021년 02월 14일","4.82500","5.34168","5.58179","4.70043","23.14M","-9.67%"
"2021년 02월 13일","5.34168","4.99158","5.34392","4.61045","30.52M","7.01%"
"2021년 02월 12일","4.99162","4.10222","5.39370","4.01817","36.81M","21.81%"
"2021년 02월 11일","4.09803","3.82962","4.29735","3.79292","25.68M","7.01%"
"2021년 02월 10일","3.82953","3.74848","3.87877","3.44929","26.15M","2.16%"
"2021년 02월 09일","3.74848","3.38289","3.85630","3.18075","30.51M","10.81%"
"2021년 02월 08일","3.38289","3.29879","3.42050","3.22578","15.82M","2.36%"
"2021년 02월 07일","3.30476","3.16563","3.44731","3.05777","22.35M","4.42%"
"2021년 02월 06일","3.16480","3.45378","3.49480","3.08513","17.93M","-8.37%"
"2021년 02월 05일","3.45380","2.96152","3.48830","2.95674","24.84M","16.59%"
"2021년 02월 04일","2.96242","3.04381","3.14971","2.87870","19.90M","-2.67%"
