"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","21.4303","24.3362","24.3362","21.4303","83.25K","-11.94%"
"2021년 04월 17일","24.3362","25.4671","26.1897","24.3362","35.30K","-4.54%"
"2021년 04월 16일","25.4942","27.7844","27.7844","25.4942","43.59K","-8.24%"
"2021년 04월 15일","27.7844","27.0974","27.7844","27.0974","60.89K","2.45%"
"2021년 04월 14일","27.1194","23.8179","27.1194","23.8179","83.62K","13.86%"
"2021년 04월 13일","23.8179","22.0145","23.8179","22.0145","71.11K","8.19%"
"2021년 04월 12일","22.0145","23.4664","23.4664","22.0145","54.05K","-6.15%"
"2021년 04월 11일","23.4564","21.0221","23.4564","21.0221","36.00K","11.50%"
"2021년 04월 10일","21.0379","21.3942","22.2252","21.0379","41.88K","-1.67%"
"2021년 04월 09일","21.3942","20.5469","21.3942","20.5469","37.48K","4.12%"
"2021년 04월 08일","20.5469","19.5470","20.5469","19.5470","34.95K","5.12%"
"2021년 04월 07일","19.5470","21.6387","21.6387","19.5470","53.30K","-9.67%"
"2021년 04월 06일","21.6387","21.4398","22.0032","21.4398","44.78K","0.91%"
"2021년 04월 05일","21.4443","21.5386","21.5386","20.4693","40.74K","-0.44%"
"2021년 04월 04일","21.5386","20.0338","21.5386","20.0338","39.17K","7.52%"
"2021년 04월 03일","20.0322","20.3153","20.3153","20.0322","66.88K","-1.34%"
"2021년 04월 02일","20.3036","19.4787","20.3036","19.4787","37.34K","4.23%"
"2021년 04월 01일","19.4787","19.0900","19.4787","19.0900","42.39K","2.04%"
"2021년 03월 31일","19.0900","19.9749","19.9749","19.0900","50.23K","-4.43%"
"2021년 03월 30일","19.9749","20.2757","20.2757","19.9749","46.16K","-1.44%"
"2021년 03월 29일","20.2672","19.3267","20.2672","19.3267","62.27K","4.87%"
"2021년 03월 28일","19.3267","18.7111","19.3267","18.7111","38.34K","3.30%"
"2021년 03월 27일","18.7088","18.9427","18.9427","18.7088","40.97K","-1.23%"
