"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","0.40419","0.47119","0.47318","0.35003","241.31M","-14.22%"
"2021년 04월 17일","0.47119","0.45624","0.52536","0.43529","217.05M","3.28%"
"2021년 04월 16일","0.45624","0.43770","0.46016","0.39890","144.80M","4.24%"
"2021년 04월 15일","0.43770","0.41789","0.44514","0.41013","90.12M","4.74%"
"2021년 04월 14일","0.41789","0.42405","0.43822","0.39263","118.80M","-1.45%"
"2021년 04월 13일","0.42405","0.42162","0.42743","0.40401","76.47M","0.57%"
"2021년 04월 12일","0.42165","0.44181","0.44266","0.41132","80.43M","-4.56%"
"2021년 04월 11일","0.44181","0.41570","0.45466","0.41564","140.44M","6.28%"
"2021년 04월 10일","0.41570","0.40922","0.42713","0.40260","97.76M","1.58%"
"2021년 04월 09일","0.40922","0.42200","0.43386","0.40080","105.26M","-2.99%"
"2021년 04월 08일","0.42182","0.38765","0.42674","0.38753","152.38M","8.90%"
"2021년 04월 07일","0.38736","0.50804","0.51629","0.37992","255.79M","-23.75%"
"2021년 04월 06일","0.50804","0.43562","0.52608","0.40760","238.06M","16.65%"
"2021년 04월 05일","0.43554","0.38761","0.44406","0.36828","108.11M","12.36%"
"2021년 04월 04일","0.38761","0.36249","0.39178","0.35873","83.44M","6.93%"
"2021년 04월 03일","0.36249","0.36012","0.40833","0.35926","118.92M","0.66%"
"2021년 04월 02일","0.36012","0.37075","0.37835","0.35837","76.68M","-2.87%"
"2021년 04월 01일","0.37075","0.36880","0.37553","0.36146","59.37M","0.56%"
"2021년 03월 31일","0.36870","0.38273","0.38365","0.34576","102.70M","-3.67%"
"2021년 03월 30일","0.38273","0.37398","0.39555","0.37376","70.62M","2.29%"
"2021년 03월 29일","0.37418","0.35820","0.37872","0.35082","61.78M","4.47%"
"2021년 03월 28일","0.35816","0.34584","0.36562","0.34053","94.58M","3.55%"
"2021년 03월 27일","0.34588","0.34284","0.35078","0.33169","82.33M","0.89%"
"2021년 03월 26일","0.34284","0.31930","0.34763","0.31883","72.88M","7.33%"
"2021년 03월 25일","0.31942","0.33041","0.33594","0.31135","94.66M","-3.43%"
"2021년 03월 24일","0.33078","0.35636","0.36831","0.31516","86.46M","-7.18%"
"2021년 03월 23일","0.35636","0.35744","0.36708","0.34627","74.76M","-0.30%"
"2021년 03월 22일","0.35743","0.36692","0.38707","0.34982","102.54M","-2.66%"
"2021년 03월 21일","0.36720","0.36290","0.37170","0.34343","72.31M","1.18%"
"2021년 03월 20일","0.36290","0.37805","0.38336","0.36244","55.95M","-4.01%"
"2021년 03월 19일","0.37805","0.37314","0.39220","0.36291","67.25M","1.28%"
"2021년 03월 18일","0.37325","0.39127","0.39272","0.37101","77.80M","-4.55%"
"2021년 03월 17일","0.39106","0.39352","0.40488","0.36525","116.83M","-0.64%"
"2021년 03월 16일","0.39359","0.37281","0.41708","0.35028","182.12M","5.59%"
"2021년 03월 15일","0.37274","0.33391","0.37914","0.32517","180.14M","11.53%"
"2021년 03월 14일","0.33422","0.36293","0.36697","0.33350","99.78M","-7.91%"
"2021년 03월 13일","0.36293","0.38565","0.39210","0.35156","169.54M","-5.99%"
"2021년 03월 12일","0.38604","0.59082","0.59282","0.32676","342.58M","-34.66%"
"2021년 03월 11일","0.59082","0.61595","0.63193","0.56512","151.94M","-4.13%"
"2021년 03월 10일","0.61629","0.70294","0.70302","0.55399","199.70M","-12.30%"
"2021년 03월 09일","0.70269","0.71817","0.72865","0.69654","76.08M","-2.16%"
"2021년 03월 08일","0.71817","0.71547","0.73037","0.67988","95.62M","0.38%"
"2021년 03월 07일","0.71547","0.73673","0.75599","0.70941","89.20M","-3.02%"
"2021년 03월 06일","0.73777","0.71795","0.79848","0.69716","125.59M","2.76%"
"2021년 03월 05일","0.71795","0.70288","0.73484","0.64776","139.74M","2.25%"
"2021년 03월 04일","0.70216","0.78784","0.79808","0.67118","144.37M","-10.98%"
"2021년 03월 03일","0.78879","0.76795","0.86303","0.75944","153.60M","2.86%"
"2021년 03월 02일","0.76685","0.64939","0.77416","0.63325","150.19M","18.09%"
"2021년 03월 01일","0.64939","0.60422","0.67908","0.58124","131.40M","7.90%"
"2021년 02월 28일","0.60185","0.57572","0.61853","0.52087","176.73M","4.54%"
"2021년 02월 27일","0.57572","0.51476","0.60755","0.50710","150.56M","11.84%"
"2021년 02월 26일","0.51476","0.49323","0.56924","0.42877","182.90M","4.48%"
"2021년 02월 25일","0.49269","0.52952","0.54242","0.48919","118.03M","-6.96%"
"2021년 02월 24일","0.52953","0.53402","0.59463","0.50493","205.23M","-0.84%"
"2021년 02월 23일","0.53402","0.69787","0.73977","0.44996","395.96M","-23.48%"
"2021년 02월 22일","0.69787","0.56133","0.76831","0.46273","240.24M","24.32%"
"2021년 02월 21일","0.56133","0.50737","0.57738","0.49750","112.85M","10.59%"
"2021년 02월 20일","0.50759","0.52268","0.56236","0.47527","135.34M","-2.89%"
"2021년 02월 19일","0.52268","0.43545","0.52547","0.41254","136.20M","19.96%"
"2021년 02월 18일","0.43571","0.39668","0.43878","0.39513","105.80M","9.84%"
"2021년 02월 17일","0.39667","0.38001","0.40360","0.36476","77.70M","4.38%"
"2021년 02월 16일","0.38001","0.38173","0.39741","0.36551","97.83M","-0.45%"
"2021년 02월 15일","0.38173","0.36969","0.40499","0.32448","132.42M","3.25%"
"2021년 02월 14일","0.36973","0.40111","0.40369","0.35891","85.23M","-7.90%"
"2021년 02월 13일","0.40146","0.40179","0.41702","0.37299","90.29M","-0.08%"
"2021년 02월 12일","0.40179","0.40098","0.41458","0.37960","90.93M","0.10%"
"2021년 02월 11일","0.40137","0.37272","0.41021","0.36510","116.73M","7.43%"
"2021년 02월 10일","0.37359","0.33692","0.38172","0.32754","119.50M","10.88%"
"2021년 02월 09일","0.33692","0.32844","0.34136","0.32203","85.55M","2.55%"
"2021년 02월 08일","0.32854","0.31089","0.36056","0.30828","136.64M","5.65%"
"2021년 02월 07일","0.31096","0.27594","0.31963","0.27081","89.05M","12.69%"
"2021년 02월 06일","0.27594","0.28888","0.29228","0.27042","66.72M","-4.42%"
"2021년 02월 05일","0.28869","0.26578","0.28869","0.26525","59.39M","8.65%"
"2021년 02월 04일","0.26571","0.28671","0.28925","0.26096","73.87M","-7.42%"
"2021년 02월 03일","0.28701","0.27729","0.28806","0.27047","71.90M","3.50%"
"2021년 02월 02일","0.27729","0.26661","0.28628","0.25571","114.03M","4.00%"
"2021년 02월 01일","0.26661","0.23524","0.27425","0.23063","120.79M","13.34%"
"2021년 01월 31일","0.23524","0.23181","0.24099","0.22676","66.50M","1.48%"
"2021년 01월 30일","0.23181","0.23486","0.23738","0.22377","71.87M","-1.33%"
"2021년 01월 29일","0.23493","0.23393","0.24710","0.22803","102.48M","0.43%"
"2021년 01월 28일","0.23393","0.23178","0.23943","0.22603","76.46M","0.93%"
"2021년 01월 27일","0.23178","0.24595","0.25671","0.22158","110.03M","-5.76%"
"2021년 01월 26일","0.24595","0.22167","0.24595","0.21996","100.55M","10.99%"
"2021년 01월 25일","0.22160","0.21356","0.22795","0.21356","66.71M","3.89%"
"2021년 01월 24일","0.21329","0.21563","0.22367","0.21083","60.53M","-1.09%"
"2021년 01월 23일","0.21563","0.21662","0.22151","0.20920","65.30M","-0.50%"
"2021년 01월 22일","0.21671","0.21173","0.22427","0.19504","92.79M","2.35%"
"2021년 01월 21일","0.21173","0.23887","0.23924","0.20776","100.89M","-11.47%"
"2021년 01월 20일","0.23915","0.24648","0.24867","0.21992","99.42M","-2.97%"
"2021년 01월 19일","0.24648","0.23649","0.25757","0.23522","103.24M","4.22%"
"2021년 01월 18일","0.23649","0.22321","0.24110","0.21841","69.17M","5.95%"
"2021년 01월 17일","0.22321","0.21714","0.23358","0.21267","86.25M","2.90%"
"2021년 01월 16일","0.21692","0.21364","0.22892","0.21098","76.78M","1.56%"
"2021년 01월 15일","0.21358","0.22755","0.22995","0.20408","81.86M","-6.14%"
"2021년 01월 14일","0.22755","0.22878","0.23322","0.22127","71.98M","-0.54%"
"2021년 01월 13일","0.22878","0.21295","0.23129","0.20383","92.22M","7.43%"
"2021년 01월 12일","0.21295","0.21221","0.22770","0.20304","114.79M","0.35%"
"2021년 01월 11일","0.21221","0.23332","0.23344","0.18846","167.88M","-9.05%"
"2021년 01월 10일","0.23332","0.23906","0.25488","0.21845","98.90M","-2.40%"
"2021년 01월 09일","0.23906","0.23055","0.24769","0.22208","97.01M","3.69%"
"2021년 01월 08일","0.23055","0.24498","0.26848","0.21687","144.08M","-5.89%"
"2021년 01월 07일","0.24498","0.25652","0.27945","0.23647","167.04M","-4.44%"
"2021년 01월 06일","0.25638","0.20482","0.29263","0.20094","204.77M","25.38%"
"2021년 01월 05일","0.20448","0.20436","0.21498","0.19272","97.81M","0.10%"
"2021년 01월 04일","0.20428","0.20978","0.22217","0.17844","148.71M","-2.59%"
"2021년 01월 03일","0.20971","0.20259","0.21547","0.18797","122.72M","3.51%"
"2021년 01월 02일","0.20259","0.22193","0.22207","0.19964","100.02M","-8.72%"
"2021년 01월 01일","0.22193","0.20426","0.24475","0.20426","143.72M","8.65%"
"2020년 12월 31일","0.20426","0.19508","0.20639","0.17981","124.01M","4.71%"
"2020년 12월 30일","0.19508","0.22293","0.22708","0.19065","94.14M","-12.01%"
"2020년 12월 29일","0.22171","0.22994","0.23592","0.20942","95.88M","-3.58%"
"2020년 12월 28일","0.22994","0.23459","0.24144","0.22813","88.81M","-1.98%"
"2020년 12월 27일","0.23459","0.23632","0.24198","0.21338","100.08M","-0.73%"
"2020년 12월 26일","0.23632","0.24488","0.25767","0.23227","92.01M","-3.50%"
"2020년 12월 25일","0.24488","0.26713","0.27209","0.23709","118.47M","-8.25%"
"2020년 12월 24일","0.26690","0.23374","0.28440","0.19785","203.26M","14.18%"
"2020년 12월 23일","0.23374","0.27705","0.29772","0.20060","168.90M","-15.63%"
"2020년 12월 22일","0.27705","0.27380","0.28142","0.25714","109.09M","1.19%"
"2020년 12월 21일","0.27380","0.28924","0.30703","0.26117","105.26M","-5.34%"
"2020년 12월 20일","0.28924","0.29773","0.30319","0.28072","71.90M","-2.85%"
"2020년 12월 19일","0.29773","0.30369","0.31735","0.29419","103.22M","-2.17%"
"2020년 12월 18일","0.30434","0.27983","0.31197","0.26660","128.19M","8.76%"
"2020년 12월 17일","0.27983","0.25707","0.29354","0.24800","122.66M","8.89%"
"2020년 12월 16일","0.25699","0.24615","0.26040","0.23516","77.74M","4.43%"
"2020년 12월 15일","0.24609","0.24808","0.25267","0.23771","66.01M","-0.80%"
"2020년 12월 14일","0.24808","0.25344","0.25968","0.23448","63.45M","-1.84%"
"2020년 12월 13일","0.25274","0.26296","0.27463","0.24883","90.75M","-3.89%"
"2020년 12월 12일","0.26296","0.20466","0.26410","0.20449","123.07M","28.39%"
"2020년 12월 11일","0.20481","0.21728","0.21804","0.19606","82.71M","-5.91%"
"2020년 12월 10일","0.21767","0.21681","0.23325","0.20945","83.58M","0.39%"
"2020년 12월 09일","0.21681","0.22187","0.22210","0.18719","106.49M","-2.22%"
"2020년 12월 08일","0.22173","0.23575","0.23649","0.20680","102.40M","-5.94%"
"2020년 12월 07일","0.23575","0.24838","0.25347","0.22539","68.56M","-5.09%"
"2020년 12월 06일","0.24838","0.25855","0.25931","0.23099","66.55M","-3.94%"
"2020년 12월 05일","0.25856","0.24016","0.27944","0.23336","133.70M","7.66%"
"2020년 12월 04일","0.24016","0.21798","0.27078","0.21590","167.83M","10.18%"
"2020년 12월 03일","0.21798","0.20093","0.21927","0.19966","75.92M","8.59%"
"2020년 12월 02일","0.20073","0.19043","0.20339","0.18339","64.76M","5.39%"
"2020년 12월 01일","0.19046","0.18934","0.19682","0.17069","95.14M","0.59%"
"2020년 11월 30일","0.18934","0.17842","0.19021","0.17398","75.49M","6.12%"
"2020년 11월 29일","0.17842","0.18119","0.18141","0.16973","76.31M","-1.53%"
"2020년 11월 28일","0.18119","0.17381","0.19012","0.17046","103.91M","4.25%"
"2020년 11월 27일","0.17381","0.15895","0.17404","0.15565","118.39M","9.35%"
"2020년 11월 26일","0.15895","0.18143","0.19073","0.14270","225.87M","-12.39%"
"2020년 11월 25일","0.18143","0.16401","0.20633","0.16401","211.93M","10.62%"
"2020년 11월 24일","0.16401","0.14680","0.17393","0.14671","154.17M","11.83%"
"2020년 11월 23일","0.14666","0.12915","0.15707","0.12727","97.55M","13.56%"
"2020년 11월 22일","0.12915","0.13772","0.14167","0.12190","89.66M","-6.22%"
"2020년 11월 21일","0.13772","0.12397","0.13801","0.12346","86.42M","11.09%"
"2020년 11월 20일","0.12397","0.11451","0.12410","0.11317","66.62M","8.38%"
"2020년 11월 19일","0.11438","0.13117","0.13164","0.11089","93.56M","-12.80%"
"2020년 11월 18일","0.13117","0.13381","0.13509","0.12341","104.73M","-1.76%"
"2020년 11월 17일","0.13351","0.13501","0.13616","0.13109","78.38M","-1.01%"
"2020년 11월 16일","0.13487","0.13250","0.13788","0.13072","82.11M","1.79%"
"2020년 11월 15일","0.13250","0.13723","0.13837","0.12934","86.69M","-3.43%"
"2020년 11월 14일","0.13720","0.13367","0.13875","0.13014","87.59M","2.81%"
"2020년 11월 13일","0.13345","0.12963","0.13512","0.12583","93.28M","2.95%"
"2020년 11월 12일","0.12963","0.13205","0.13407","0.12641","88.82M","-1.84%"
"2020년 11월 11일","0.13205","0.13172","0.13838","0.12836","81.97M","0.26%"
"2020년 11월 10일","0.13172","0.12526","0.13351","0.12276","69.29M","5.15%"
"2020년 11월 09일","0.12526","0.12736","0.12977","0.11960","71.76M","-1.60%"
"2020년 11월 08일","0.12730","0.11741","0.12851","0.11613","49.80M","8.65%"
"2020년 11월 07일","0.11716","0.12612","0.13112","0.11050","63.50M","-7.11%"
"2020년 11월 06일","0.12612","0.10122","0.12659","0.10094","59.48M","24.61%"
"2020년 11월 05일","0.10122","0.09725","0.10235","0.09690","53.36M","4.23%"
"2020년 11월 04일","0.09711","0.09887","0.10052","0.09428","51.03M","-1.77%"
"2020년 11월 03일","0.09887","0.09959","0.10186","0.09390","50.03M","-0.73%"
"2020년 11월 02일","0.09959","0.09806","0.10164","0.09689","56.97M","1.62%"
"2020년 11월 01일","0.09800","0.09596","0.10115","0.09530","53.22M","2.13%"
"2020년 10월 31일","0.09596","0.09547","0.10118","0.09480","53.79M","0.51%"
"2020년 10월 30일","0.09547","0.09727","0.09795","0.09341","50.59M","-1.88%"
"2020년 10월 29일","0.09730","0.09252","0.09940","0.09238","54.29M","5.08%"
"2020년 10월 28일","0.09260","0.09665","0.09880","0.08796","52.79M","-4.19%"
"2020년 10월 27일","0.09665","0.09917","0.10111","0.09527","55.27M","-2.55%"
"2020년 10월 26일","0.09917","0.10445","0.10657","0.09469","56.35M","-5.05%"
"2020년 10월 25일","0.10445","0.10518","0.10668","0.10138","48.43M","-0.66%"
"2020년 10월 24일","0.10515","0.10729","0.10880","0.10504","38.52M","-2.00%"
"2020년 10월 23일","0.10729","0.10869","0.11321","0.10700","46.01M","-1.29%"
"2020년 10월 22일","0.10869","0.10484","0.11083","0.10436","53.20M","3.60%"
"2020년 10월 21일","0.10492","0.10781","0.11146","0.09982","66.97M","-2.89%"
"2020년 10월 20일","0.10803","0.11103","0.11261","0.10716","60.13M","-2.70%"
"2020년 10월 19일","0.11103","0.11249","0.11359","0.10859","47.38M","-1.30%"
"2020년 10월 18일","0.11249","0.11290","0.11524","0.11158","42.39M","-0.36%"
"2020년 10월 17일","0.11290","0.11180","0.11607","0.11026","42.86M","0.98%"
"2020년 10월 16일","0.11180","0.11552","0.11619","0.10717","46.88M","-3.22%"
"2020년 10월 15일","0.11552","0.11922","0.11942","0.11396","57.50M","-3.11%"
"2020년 10월 14일","0.11922","0.12223","0.12328","0.11737","65.33M","-2.47%"
"2020년 10월 13일","0.12223","0.12157","0.12342","0.12075","68.48M","0.55%"
"2020년 10월 12일","0.12157","0.12103","0.12329","0.12019","70.82M","0.62%"
"2020년 10월 11일","0.12081","0.12064","0.12273","0.11994","67.96M","0.15%"
"2020년 10월 10일","0.12063","0.11962","0.12415","0.11929","81.73M","0.85%"
"2020년 10월 09일","0.11962","0.11946","0.12032","0.11736","58.40M","0.19%"
"2020년 10월 08일","0.11939","0.11798","0.11995","0.11455","58.16M","1.20%"
"2020년 10월 07일","0.11798","0.11737","0.11805","0.11284","59.76M","0.52%"
"2020년 10월 06일","0.11737","0.12251","0.12343","0.11486","77.34M","-4.20%"
"2020년 10월 05일","0.12251","0.11749","0.12555","0.11661","64.93M","4.27%"
"2020년 10월 04일","0.11749","0.11340","0.11757","0.11210","47.79M","3.61%"
"2020년 10월 03일","0.11340","0.11646","0.11706","0.11291","59.09M","-2.75%"
"2020년 10월 02일","0.11661","0.11813","0.11905","0.11113","68.02M","-1.29%"
"2020년 10월 01일","0.11813","0.11400","0.11955","0.11280","71.21M","3.62%"
"2020년 09월 30일","0.11400","0.12034","0.12072","0.11169","58.32M","-5.34%"
"2020년 09월 29일","0.12043","0.11836","0.12043","0.11545","30.32M","1.74%"
"2020년 09월 28일","0.11836","0.12168","0.12454","0.11827","23.20M","-2.73%"
"2020년 09월 27일","0.12168","0.12168","0.12612","0.11741","57.83M","-0.07%"
"2020년 09월 26일","0.12176","0.11529","0.12562","0.11415","61.08M","5.62%"
"2020년 09월 25일","0.11529","0.10801","0.11857","0.10541","51.46M","6.74%"
"2020년 09월 24일","0.10801","0.10489","0.10862","0.10344","52.96M","3.06%"
"2020년 09월 23일","0.10480","0.10853","0.11088","0.10291","49.47M","-3.44%"
"2020년 09월 22일","0.10853","0.10767","0.10853","0.10363","55.61M","1.13%"
"2020년 09월 21일","0.10732","0.11187","0.11613","0.10316","73.05M","-4.07%"
"2020년 09월 20일","0.11187","0.11504","0.11513","0.10808","59.58M","-2.76%"
"2020년 09월 19일","0.11504","0.10941","0.12080","0.10932","61.37M","5.15%"
"2020년 09월 18일","0.10941","0.10499","0.11171","0.09826","71.45M","4.20%"
"2020년 09월 17일","0.10499","0.11103","0.11517","0.10428","59.59M","-5.44%"
"2020년 09월 16일","0.11103","0.12050","0.12077","0.11028","70.78M","-7.73%"
"2020년 09월 15일","0.12033","0.12117","0.12406","0.11650","74.48M","-0.69%"
"2020년 09월 14일","0.12117","0.11988","0.12509","0.11765","61.02M","1.07%"
"2020년 09월 13일","0.11988","0.12756","0.12756","0.11372","51.70M","-6.02%"
"2020년 09월 12일","0.12756","0.13056","0.13398","0.12696","53.18M","-2.30%"
"2020년 09월 11일","0.13056","0.13151","0.13500","0.12722","51.57M","-0.79%"
"2020년 09월 10일","0.13160","0.12574","0.13406","0.12565","51.51M","4.66%"
"2020년 09월 09일","0.12574","0.12518","0.12946","0.12017","51.92M","0.45%"
"2020년 09월 08일","0.12518","0.13557","0.13565","0.12093","66.43M","-7.67%"
"2020년 09월 07일","0.13557","0.13660","0.13846","0.11467","92.92M","-0.75%"
"2020년 09월 06일","0.13660","0.11145","0.13867","0.10292","116.89M","22.57%"
"2020년 09월 05일","0.11145","0.13688","0.14116","0.10235","125.90M","-18.58%"
"2020년 09월 04일","0.13688","0.13842","0.14716","0.12028","119.35M","-1.12%"
"2020년 09월 03일","0.13842","0.16058","0.16767","0.12887","106.53M","-13.80%"
"2020년 09월 02일","0.16058","0.15579","0.16331","0.13805","237.58M","2.09%"
"2020년 09월 01일","0.15729","0.14137","0.17008","0.13802","615.31M","11.26%"
"2020년 08월 31일","0.14137","0.12917","0.14476","0.12747","582.23M","9.44%"
"2020년 08월 30일","0.12917","0.14254","0.15731","0.12433","787.47M","-9.37%"
"2020년 08월 29일","0.14254","0.10838","0.15068","0.10573","599.04M","31.51%"
"2020년 08월 28일","0.10838","0.09277","0.10863","0.09180","329.26M","16.84%"
