"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","44.65","50.34","50.36","39.84","119.09K","-11.31%"
"2021년 04월 17일","50.34","52.63","53.56","49.47","73.11K","-4.34%"
"2021년 04월 16일","52.63","50.74","53.58","47.94","131.48K","3.71%"
"2021년 04월 15일","50.74","48.99","51.78","48.26","76.98K","3.64%"
"2021년 04월 14일","48.96","49.86","51.61","46.93","94.59K","-1.81%"
"2021년 04월 13일","49.86","47.50","51.93","47.37","97.60K","4.97%"
"2021년 04월 12일","47.50","49.11","49.23","46.39","64.08K","-3.27%"
"2021년 04월 11일","49.11","52.41","52.45","47.94","80.25K","-6.12%"
"2021년 04월 10일","52.30","56.41","58.64","50.17","137.23K","-7.22%"
"2021년 04월 09일","56.38","50.47","56.61","47.01","137.36K","11.70%"
"2021년 04월 08일","50.47","49.23","50.89","43.77","137.63K","3.28%"
"2021년 04월 07일","48.87","43.09","49.51","39.08","273.48K","13.35%"
"2021년 04월 06일","43.11","42.72","45.61","41.22","139.12K","0.81%"
"2021년 04월 05일","42.76","40.88","43.30","38.78","122.70K","4.60%"
"2021년 04월 04일","40.88","37.05","42.10","36.69","90.52K","10.32%"
"2021년 04월 03일","37.06","40.34","43.26","36.71","143.02K","-8.14%"
"2021년 04월 02일","40.34","38.78","40.59","38.03","72.47K","4.03%"
"2021년 04월 01일","38.78","40.00","40.04","38.34","82.44K","-3.05%"
"2021년 03월 31일","40.00","41.05","42.25","37.76","107.86K","-2.62%"
"2021년 03월 30일","41.07","38.18","44.51","37.87","289.43K","7.58%"
"2021년 03월 29일","38.18","35.75","38.59","34.44","97.30K","6.94%"
"2021년 03월 28일","35.70","32.80","36.46","31.76","149.69K","8.86%"
"2021년 03월 27일","32.80","33.65","34.50","31.93","105.42K","-2.66%"
"2021년 03월 26일","33.69","30.59","33.72","30.58","90.52K","10.16%"
"2021년 03월 25일","30.59","33.50","33.87","30.22","125.74K","-8.72%"
"2021년 03월 24일","33.51","38.57","38.99","30.97","264.02K","-12.71%"
"2021년 03월 23일","38.39","36.74","44.04","36.44","477.73K","4.69%"
"2021년 03월 22일","36.67","30.73","41.74","30.33","431.27K","19.33%"
"2021년 03월 21일","30.73","31.16","31.78","30.19","76.16K","-1.38%"
"2021년 03월 20일","31.16","32.46","33.86","31.13","76.63K","-4.02%"
"2021년 03월 19일","32.46","31.81","34.93","30.89","120.24K","2.05%"
"2021년 03월 18일","31.81","31.04","31.91","30.11","92.99K","2.48%"
"2021년 03월 17일","31.04","30.29","31.33","28.97","86.85K","2.45%"
"2021년 03월 16일","30.30","29.63","30.70","28.70","66.08K","2.31%"
"2021년 03월 15일","29.61","31.00","31.76","29.08","76.36K","-4.46%"
"2021년 03월 14일","31.00","32.50","32.62","30.81","54.64K","-4.62%"
"2021년 03월 13일","32.50","31.44","32.56","30.29","81.21K","3.38%"
"2021년 03월 12일","31.44","32.80","32.94","30.63","80.89K","-4.14%"
"2021년 03월 11일","32.79","34.16","34.78","32.49","82.74K","-4.00%"
