"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","0.47162","0.50648","0.50648","0.39481","28.62M","-6.85%"
"2021년 04월 17일","0.50631","0.52816","0.53088","0.49317","18.65M","-4.25%"
"2021년 04월 16일","0.52875","0.51571","0.54872","0.49619","32.36M","2.61%"
"2021년 04월 15일","0.51533","0.48122","0.51662","0.47064","16.09M","7.11%"
"2021년 04월 14일","0.48113","0.51917","0.52120","0.45932","18.42M","-7.33%"
"2021년 04월 13일","0.51917","0.49472","0.55033","0.48744","29.86M","4.94%"
"2021년 04월 12일","0.49473","0.51008","0.51172","0.47253","15.19M","-3.01%"
"2021년 04월 11일","0.51009","0.53320","0.61819","0.48614","31.95M","-4.47%"
"2021년 04월 10일","0.53396","0.47010","0.70886","0.46374","78.69M","13.59%"
"2021년 04월 09일","0.47010","0.42357","0.47390","0.41196","21.90M","10.90%"
"2021년 04월 08일","0.42388","0.36579","0.42388","0.36123","16.70M","15.92%"
"2021년 04월 07일","0.36566","0.44000","0.44065","0.34413","30.09M","-16.89%"
"2021년 04월 06일","0.44000","0.46735","0.46897","0.41720","22.00M","-5.74%"
"2021년 04월 05일","0.46677","0.46499","0.53096","0.45503","33.03M","0.66%"
"2021년 04월 04일","0.46373","0.42078","0.46373","0.41218","16.90M","10.39%"
"2021년 04월 03일","0.42008","0.48683","0.49047","0.41097","24.47M","-13.83%"
"2021년 04월 02일","0.48751","0.46212","0.49260","0.43943","19.74M","5.49%"
"2021년 04월 01일","0.46213","0.45496","0.49329","0.44694","23.47M","2.10%"
"2021년 03월 31일","0.45263","0.46676","0.48799","0.42372","24.53M","-3.03%"
"2021년 03월 30일","0.46676","0.44491","0.52599","0.43425","36.10M","4.85%"
"2021년 03월 29일","0.44519","0.38380","0.52277","0.36739","67.13M","16.05%"
"2021년 03월 28일","0.38361","0.37403","0.38379","0.36083","17.57M","2.56%"
"2021년 03월 27일","0.37402","0.34303","0.38874","0.34303","27.13M","9.08%"
"2021년 03월 26일","0.34289","0.30696","0.34505","0.30506","17.15M","11.70%"
"2021년 03월 25일","0.30696","0.32890","0.33325","0.29745","20.68M","-6.60%"
"2021년 03월 24일","0.32866","0.37478","0.38883","0.32143","26.59M","-12.30%"
"2021년 03월 23일","0.37478","0.35326","0.38309","0.31919","30.86M","6.09%"
"2021년 03월 22일","0.35326","0.34618","0.41456","0.33852","46.57M","2.04%"
"2021년 03월 21일","0.34618","0.32556","0.35728","0.31053","19.44M","6.49%"
"2021년 03월 20일","0.32510","0.35322","0.37946","0.32504","23.69M","-7.96%"
"2021년 03월 19일","0.35322","0.33899","0.35881","0.32486","14.06M","4.20%"
"2021년 03월 18일","0.33899","0.31492","0.35094","0.31143","26.56M","7.64%"
"2021년 03월 17일","0.31492","0.31313","0.31641","0.29205","17.91M","0.74%"
"2021년 03월 16일","0.31260","0.32070","0.32113","0.29424","18.12M","-2.37%"
"2021년 03월 15일","0.32017","0.32488","0.34242","0.28958","23.28M","-1.68%"
"2021년 03월 14일","0.32563","0.34164","0.34212","0.31651","15.65M","-4.69%"
"2021년 03월 13일","0.34164","0.34646","0.37424","0.32098","29.27M","-1.39%"
"2021년 03월 12일","0.34646","0.29719","0.35518","0.28736","31.45M","16.58%"
"2021년 03월 11일","0.29719","0.28929","0.29896","0.27693","20.96M","2.73%"
"2021년 03월 10일","0.28929","0.30471","0.30471","0.28017","20.44M","-4.91%"
"2021년 03월 09일","0.30423","0.28898","0.30486","0.28014","13.23M","5.28%"
"2021년 03월 08일","0.28898","0.29529","0.29529","0.27438","15.42M","-2.15%"
"2021년 03월 07일","0.29532","0.28667","0.29607","0.27950","13.79M","3.04%"
"2021년 03월 06일","0.28662","0.28700","0.28845","0.26915","13.53M","-0.14%"
"2021년 03월 05일","0.28700","0.27644","0.28793","0.25624","16.43M","3.82%"
