"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","0.445255","0.505695","0.518987","0.399668","-","-11.95%"
"2021년 04월 17일","0.505695","0.522072","0.532439","0.466889","-","-3.25%"
"2021년 04월 16일","0.522699","0.575269","0.575269","0.485232","-","-9.14%"
"2021년 04월 15일","0.575269","0.550975","0.582807","0.499379","-","4.41%"
"2021년 04월 14일","0.550975","0.690355","0.691598","0.493961","-","-20.19%"
"2021년 04월 13일","0.690355","0.468263","0.747570","0.467964","-","47.43%"
"2021년 04월 12일","0.468263","0.488288","0.493365","0.462025","-","-4.10%"
"2021년 04월 11일","0.488288","0.528409","0.530312","0.469958","-","-5.51%"
"2021년 04월 10일","0.516746","0.508135","0.602010","0.468639","-","1.64%"
"2021년 04월 09일","0.508430","0.352702","0.601225","0.352635","-","44.15%"
"2021년 04월 08일","0.352702","0.310962","0.366056","0.310720","-","13.42%"
"2021년 04월 07일","0.310962","0.372680","0.373837","0.292586","-","-16.56%"
"2021년 04월 06일","0.372680","0.417404","0.420083","0.355543","-","-10.71%"
"2021년 04월 05일","0.417404","0.429237","0.430783","0.399027","-","-2.76%"
"2021년 04월 04일","0.429237","0.397889","0.436084","0.393556","-","7.94%"
"2021년 04월 03일","0.397662","0.473172","0.475415","0.396063","-","-15.96%"
"2021년 04월 02일","0.473156","0.418967","0.473514","0.418967","-","12.93%"
"2021년 04월 01일","0.418967","0.447090","0.453605","0.374853","-","-6.29%"
"2021년 03월 31일","0.447090","0.390294","0.456999","0.390294","-","14.55%"
"2021년 03월 30일","0.390294","0.332180","0.435739","0.328744","-","17.49%"
"2021년 03월 29일","0.332180","0.298383","0.335731","0.292810","-","11.33%"
"2021년 03월 28일","0.298383","0.284237","0.315480","0.281337","-","5.04%"
"2021년 03월 27일","0.284078","0.281078","0.293771","0.262291","-","1.07%"
"2021년 03월 26일","0.281078","0.254756","0.281490","0.254756","-","10.33%"
"2021년 03월 25일","0.254756","0.253931","0.269333","0.236749","-","0.32%"
"2021년 03월 24일","0.253931","0.282407","0.307324","0.252073","-","-10.08%"
"2021년 03월 23일","0.282407","0.274377","0.287555","0.268228","-","2.93%"
"2021년 03월 22일","0.274377","0.280103","0.332280","0.273835","-","-2.04%"
"2021년 03월 21일","0.280103","0.275421","0.280944","0.264188","-","1.82%"
"2021년 03월 20일","0.275102","0.273388","0.305339","0.272123","-","0.57%"
"2021년 03월 19일","0.273547","0.275216","0.304194","0.270833","-","-0.61%"
"2021년 03월 18일","0.275216","0.278105","0.289395","0.262347","-","-1.04%"
"2021년 03월 17일","0.278105","0.279579","0.294857","0.254139","-","-0.53%"
"2021년 03월 16일","0.279579","0.295759","0.299384","0.269934","-","-5.47%"
"2021년 03월 15일","0.295759","0.306375","0.327267","0.280144","-","-3.47%"
"2021년 03월 14일","0.306375","0.336597","0.344711","0.305140","-","-9.09%"
"2021년 03월 13일","0.337010","0.347652","0.353846","0.308638","-","-3.06%"
"2021년 03월 12일","0.347652","0.362348","0.391930","0.335902","-","-4.06%"
"2021년 03월 11일","0.362348","0.347814","0.399189","0.345094","-","4.18%"
"2021년 03월 10일","0.347814","0.327473","0.379718","0.314499","-","6.21%"
"2021년 03월 09일","0.327473","0.313972","0.328681","0.299191","-","4.30%"
"2021년 03월 08일","0.313972","0.277607","0.316744","0.275166","-","13.10%"
"2021년 03월 07일","0.277607","0.296043","0.342574","0.268256","-","-6.23%"
"2021년 03월 06일","0.296043","0.229492","0.301225","0.228585","-","28.68%"
"2021년 03월 05일","0.230054","0.238130","0.245898","0.164015","-","-3.39%"
"2021년 03월 04일","0.238130","0.236762","0.254160","0.234117","-","0.58%"
"2021년 03월 03일","0.236762","0.233769","0.262223","0.226654","-","1.28%"
"2021년 03월 02일","0.233769","0.213684","0.238476","0.209907","-","9.40%"
"2021년 03월 01일","0.213684","0.208465","0.225791","0.207807","-","2.50%"
"2021년 02월 28일","0.208465","0.209566","0.222829","0.196357","-","-0.59%"
"2021년 02월 27일","0.209700","0.176471","0.237429","0.168489","-","18.83%"
"2021년 02월 26일","0.176471","0.147349","0.193922","0.142223","-","19.76%"
"2021년 02월 25일","0.147349","0.156731","0.168373","0.146907","-","-5.99%"
"2021년 02월 24일","0.156731","0.149560","0.165983","0.144100","-","4.79%"
"2021년 02월 23일","0.149560","0.164776","0.174388","0.127675","-","-9.23%"
"2021년 02월 22일","0.164776","0.194492","0.200450","0.161638","-","-15.28%"
"2021년 02월 21일","0.194492","0.186767","0.200344","0.181083","-","3.96%"
"2021년 02월 20일","0.187081","0.190396","0.210924","0.174784","-","-1.74%"
"2021년 02월 19일","0.190396","0.180599","0.201525","0.168035","-","5.43%"
"2021년 02월 18일","0.180599","0.158676","0.248437","0.158676","-","13.82%"
"2021년 02월 17일","0.158676","0.139135","0.158676","0.136677","-","14.05%"
"2021년 02월 16일","0.139135","0.133269","0.143741","0.129830","-","4.40%"
"2021년 02월 15일","0.133269","0.134241","0.148790","0.119963","-","-0.72%"
"2021년 02월 14일","0.134241","0.144104","0.154339","0.133608","-","-6.91%"
"2021년 02월 13일","0.144204","0.143602","0.156788","0.131167","-","0.11%"
"2021년 02월 12일","0.144044","0.129087","0.144862","0.126374","-","11.59%"
"2021년 02월 11일","0.129087","0.094928","0.145333","0.093569","-","35.98%"
"2021년 02월 10일","0.094928","0.093852","0.101675","0.088004","-","1.15%"
"2021년 02월 09일","0.093852","0.089286","0.101951","0.086798","-","5.11%"
"2021년 02월 08일","0.089286","0.079183","0.090951","0.077683","-","12.76%"
"2021년 02월 07일","0.079183","0.085395","0.085743","0.075519","-","-7.38%"
"2021년 02월 06일","0.085495","0.082823","0.088638","0.082728","-","3.23%"
"2021년 02월 05일","0.082823","0.076340","0.087081","0.075898","-","8.49%"
"2021년 02월 04일","0.076340","0.085499","0.090076","0.074492","-","-10.71%"
"2021년 02월 03일","0.085499","0.086446","0.097146","0.076325","-","-1.10%"
"2021년 02월 02일","0.086446","0.080114","0.095204","0.075076","-","7.90%"
"2021년 02월 01일","0.080114","0.072541","0.103767","0.070709","-","10.44%"
