"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","0.54448","0.59160","0.59973","0.46265","1.06B","-8.00%"
"2021년 04월 17일","0.59184","0.60992","0.64345","0.58982","697.13M","-3.25%"
"2021년 04월 16일","0.61172","0.63952","0.65337","0.56663","624.74M","-4.35%"
"2021년 04월 15일","0.63953","0.63529","0.64916","0.61442","806.19M","0.63%"
"2021년 04월 14일","0.63552","0.65625","0.68993","0.58923","1.66B","-3.17%"
"2021년 04월 13일","0.65630","0.59047","0.68255","0.57778","2.15B","11.17%"
"2021년 04월 12일","0.59038","0.58505","0.60679","0.56708","1.17B","0.96%"
"2021년 04월 11일","0.58480","0.56218","0.65560","0.55746","3.33B","4.01%"
"2021년 04월 10일","0.56226","0.48545","0.59219","0.48208","2.13B","15.83%"
"2021년 04월 09일","0.48541","0.50459","0.50786","0.47755","297.33M","-3.80%"
"2021년 04월 08일","0.50457","0.47587","0.50465","0.46777","391.41M","6.05%"
"2021년 04월 07일","0.47579","0.53965","0.54467","0.45357","1.49B","-11.83%"
"2021년 04월 06일","0.53960","0.53585","0.57678","0.48294","2.30B","0.72%"
"2021년 04월 05일","0.53576","0.42853","0.54887","0.42255","2.32B","25.03%"
"2021년 04월 04일","0.42850","0.40845","0.43451","0.40153","566.95M","4.90%"
"2021년 04월 03일","0.40850","0.43919","0.45824","0.40664","848.32M","-6.98%"
"2021년 04월 02일","0.43913","0.42404","0.46774","0.42404","624.03M","3.58%"
"2021년 04월 01일","0.42396","0.40568","0.42936","0.40081","774.78M","4.52%"
"2021년 03월 31일","0.40561","0.40105","0.40606","0.37993","550.37M","1.15%"
"2021년 03월 30일","0.40102","0.40444","0.41216","0.39853","436.36M","-0.85%"
"2021년 03월 29일","0.40444","0.39743","0.41116","0.39116","443.28M","1.83%"
"2021년 03월 28일","0.39717","0.38191","0.41203","0.37808","834.39M","4.00%"
"2021년 03월 27일","0.38190","0.38459","0.38974","0.37112","360.95M","-0.67%"
"2021년 03월 26일","0.38448","0.36125","0.38673","0.36071","444.95M","6.38%"
"2021년 03월 25일","0.36143","0.36199","0.37021","0.34367","715.71M","-0.19%"
"2021년 03월 24일","0.36213","0.39586","0.40266","0.35058","545.34M","-8.49%"
"2021년 03월 23일","0.39573","0.39263","0.40828","0.38775","387.46M","0.78%"
"2021년 03월 22일","0.39266","0.40358","0.42413","0.39178","732.88M","-2.70%"
"2021년 03월 21일","0.40357","0.41542","0.42317","0.39274","604.91M","-2.84%"
"2021년 03월 20일","0.41538","0.39537","0.43735","0.39275","844.60M","5.05%"
"2021년 03월 19일","0.39540","0.39478","0.40205","0.38815","358.41M","0.16%"
"2021년 03월 18일","0.39478","0.40286","0.40805","0.39410","400.97M","-2.01%"
"2021년 03월 17일","0.40286","0.39536","0.40487","0.38695","435.43M","1.89%"
"2021년 03월 16일","0.39538","0.38404","0.41174","0.37327","724.29M","3.08%"
"2021년 03월 15일","0.38359","0.38878","0.39883","0.36785","512.12M","-1.37%"
"2021년 03월 14일","0.38890","0.40689","0.40847","0.38839","370.97M","-4.42%"
"2021년 03월 13일","0.40686","0.38663","0.41166","0.37570","551.78M","5.25%"
"2021년 03월 12일","0.38658","0.40553","0.40699","0.37816","486.83M","-4.56%"
"2021년 03월 11일","0.40507","0.40941","0.41268","0.39624","436.48M","-1.10%"
"2021년 03월 10일","0.40956","0.43150","0.43299","0.40617","486.11M","-5.09%"
"2021년 03월 09일","0.43152","0.41857","0.43436","0.41322","574.49M","3.18%"
"2021년 03월 08일","0.41820","0.41277","0.42088","0.40297","440.93M","1.30%"
"2021년 03월 07일","0.41284","0.40172","0.42199","0.40172","418.36M","2.79%"
"2021년 03월 06일","0.40163","0.40478","0.40820","0.39251","305.23M","-0.76%"
"2021년 03월 05일","0.40470","0.41172","0.41233","0.38603","481.73M","-1.67%"
"2021년 03월 04일","0.41157","0.42081","0.42684","0.40181","622.57M","-2.24%"
"2021년 03월 03일","0.42101","0.41876","0.43835","0.41231","581.96M","0.51%"
"2021년 03월 02일","0.41888","0.43053","0.43579","0.39782","642.98M","-2.65%"
"2021년 03월 01일","0.43029","0.40588","0.43597","0.40093","665.19M","6.16%"
"2021년 02월 28일","0.40534","0.43815","0.44982","0.38119","873.59M","-7.49%"
"2021년 02월 27일","0.43815","0.40014","0.47023","0.39888","1.35B","9.49%"
"2021년 02월 26일","0.40019","0.38038","0.40123","0.35535","744.57M","5.23%"
"2021년 02월 25일","0.38029","0.40532","0.42522","0.37701","614.38M","-6.16%"
"2021년 02월 24일","0.40524","0.38654","0.43328","0.36846","918.33M","4.87%"
"2021년 02월 23일","0.38643","0.46346","0.46426","0.31386","1.94B","-16.53%"
"2021년 02월 22일","0.46297","0.49639","0.52567","0.38896","1.41B","-6.67%"
"2021년 02월 21일","0.49607","0.48616","0.50732","0.47602","524.93M","2.01%"
"2021년 02월 20일","0.48631","0.51354","0.53231","0.46061","954.50M","-5.18%"
"2021년 02월 19일","0.51285","0.49694","0.52093","0.48313","669.00M","3.18%"
"2021년 02월 18일","0.49705","0.49735","0.51569","0.48374","580.28M","0.01%"
"2021년 02월 17일","0.49700","0.48538","0.50960","0.45612","655.24M","2.41%"
"2021년 02월 16일","0.48532","0.49408","0.51669","0.46924","802.50M","-1.76%"
"2021년 02월 15일","0.49402","0.51583","0.53965","0.43031","1.58B","-4.21%"
"2021년 02월 14일","0.51573","0.56431","0.57752","0.49754","1.11B","-8.63%"
"2021년 02월 13일","0.56441","0.52996","0.60632","0.50950","2.27B","6.48%"
"2021년 02월 12일","0.53007","0.45612","0.53590","0.44096","1.64B","16.21%"
"2021년 02월 11일","0.45614","0.41455","0.46960","0.41261","1.49B","10.11%"
"2021년 02월 10일","0.41427","0.40003","0.44571","0.38246","1.73B","3.57%"
"2021년 02월 09일","0.39997","0.39696","0.40472","0.38391","866.04M","0.68%"
"2021년 02월 08일","0.39725","0.38548","0.40304","0.37390","1.24B","3.03%"
"2021년 02월 07일","0.38556","0.37765","0.42158","0.36468","2.84B","2.11%"
"2021년 02월 06일","0.37760","0.35221","0.39742","0.33710","1.58B","7.18%"
"2021년 02월 05일","0.35232","0.32595","0.36269","0.32540","1.36B","8.04%"
"2021년 02월 04일","0.32610","0.34650","0.34952","0.31569","956.04M","-5.74%"
"2021년 02월 03일","0.34594","0.33924","0.34863","0.32996","828.15M","1.99%"
"2021년 02월 02일","0.33920","0.32336","0.34931","0.31786","1.26B","4.91%"
"2021년 02월 01일","0.32331","0.30678","0.36554","0.29324","2.63B","5.39%"
"2021년 01월 31일","0.30679","0.32839","0.33908","0.29471","1.65B","-6.58%"
"2021년 01월 30일","0.32838","0.29328","0.36097","0.27982","2.92B","11.97%"
"2021년 01월 29일","0.29328","0.29318","0.37912","0.28794","4.49B","0.25%"
"2021년 01월 28일","0.29254","0.23820","0.30275","0.23254","1.05B","22.79%"
"2021년 01월 27일","0.23824","0.26167","0.26208","0.23038","427.63M","-8.99%"
"2021년 01월 26일","0.26177","0.26091","0.26493","0.24945","375.15M","0.33%"
"2021년 01월 25일","0.26092","0.27129","0.27704","0.26001","492.41M","-3.81%"
"2021년 01월 24일","0.27125","0.26982","0.28274","0.26249","555.35M","0.51%"
"2021년 01월 23일","0.26987","0.26982","0.27905","0.26300","542.03M","0.01%"
"2021년 01월 22일","0.26983","0.25132","0.28087","0.22760","1.10B","7.53%"
"2021년 01월 21일","0.25094","0.29354","0.29473","0.24337","816.26M","-14.51%"
"2021년 01월 20일","0.29352","0.29816","0.30218","0.27505","773.24M","-1.59%"
"2021년 01월 19일","0.29826","0.30518","0.31921","0.29504","1.14B","-2.21%"
"2021년 01월 18일","0.30499","0.30375","0.30895","0.29390","680.09M","0.36%"
"2021년 01월 17일","0.30389","0.29093","0.31908","0.28648","1.30B","4.42%"
"2021년 01월 16일","0.29103","0.28415","0.31199","0.27720","1.11B","2.39%"
"2021년 01월 15일","0.28424","0.30394","0.31350","0.26024","1.18B","-6.42%"
"2021년 01월 14일","0.30373","0.30379","0.32385","0.28766","1.26B","-0.00%"
"2021년 01월 13일","0.30374","0.27979","0.30925","0.27323","1.30B","8.16%"
"2021년 01월 12일","0.28084","0.27197","0.31064","0.25481","2.35B","3.31%"
"2021년 01월 11일","0.27185","0.28493","0.28530","0.21157","2.43B","-4.64%"
"2021년 01월 10일","0.28508","0.31110","0.32504","0.26410","1.54B","-8.21%"
"2021년 01월 09일","0.31056","0.29703","0.32879","0.28198","1.41B","4.50%"
"2021년 01월 08일","0.29720","0.31301","0.33024","0.26338","2.32B","-5.01%"
"2021년 01월 07일","0.31287","0.33642","0.38910","0.29112","3.84B","-6.88%"
"2021년 01월 06일","0.33598","0.19343","0.38938","0.19232","8.90B","73.95%"
"2021년 01월 05일","0.19315","0.16406","0.21102","0.15005","3.66B","17.81%"
"2021년 01월 04일","0.16395","0.13649","0.16705","0.12848","2.97B","20.26%"
"2021년 01월 03일","0.13633","0.12752","0.13910","0.12413","1.28B","6.91%"
"2021년 01월 02일","0.12752","0.13214","0.13481","0.12694","727.20M","-3.55%"
"2021년 01월 01일","0.13221","0.12762","0.13971","0.12653","816.04M","3.60%"
"2020년 12월 31일","0.12762","0.13180","0.13185","0.12283","763.48M","-3.14%"
"2020년 12월 30일","0.13176","0.13818","0.14014","0.12868","919.38M","-4.65%"
"2020년 12월 29일","0.13818","0.14448","0.14901","0.12817","1.33B","-4.43%"
"2020년 12월 28일","0.14458","0.14517","0.15465","0.14165","927.58M","-0.41%"
"2020년 12월 27일","0.14517","0.14689","0.15552","0.13462","1.35B","-1.18%"
"2020년 12월 26일","0.14691","0.15238","0.15553","0.14404","797.61M","-3.62%"
"2020년 12월 25일","0.15243","0.15823","0.16672","0.14836","1.40B","-3.64%"
"2020년 12월 24일","0.15819","0.12666","0.16626","0.12375","3.11B","24.30%"
"2020년 12월 23일","0.12726","0.16210","0.16212","0.11092","2.90B","-21.51%"
"2020년 12월 22일","0.16213","0.16522","0.16965","0.15322","954.74M","-1.86%"
"2020년 12월 21일","0.16521","0.17675","0.18039","0.16040","693.72M","-6.53%"
"2020년 12월 20일","0.17675","0.18157","0.18295","0.17417","542.79M","-2.68%"
"2020년 12월 19일","0.18162","0.18525","0.18794","0.17926","656.87M","-1.95%"
"2020년 12월 18일","0.18524","0.18654","0.19193","0.17707","1.06B","-0.66%"
"2020년 12월 17일","0.18648","0.19357","0.20872","0.17471","2.28B","-3.75%"
"2020년 12월 16일","0.19374","0.16608","0.19444","0.15844","1.53B","16.63%"
"2020년 12월 15일","0.16612","0.17018","0.17671","0.16301","650.26M","-2.36%"
"2020년 12월 14일","0.17013","0.17629","0.17849","0.16676","809.42M","-3.52%"
"2020년 12월 13일","0.17634","0.15878","0.17981","0.15558","982.45M","11.05%"
"2020년 12월 12일","0.15879","0.15056","0.16532","0.15003","678.70M","5.53%"
"2020년 12월 11일","0.15047","0.16120","0.16545","0.15035","952.09M","-6.31%"
"2020년 12월 10일","0.16059","0.17215","0.17746","0.15920","1.14B","-6.70%"
"2020년 12월 09일","0.17213","0.15257","0.17472","0.13963","1.47B","12.74%"
"2020년 12월 08일","0.15268","0.16812","0.16859","0.14860","633.31M","-9.19%"
"2020년 12월 07일","0.16812","0.17588","0.17637","0.16474","396.67M","-4.40%"
"2020년 12월 06일","0.17586","0.17169","0.18004","0.16681","492.07M","2.34%"
"2020년 12월 05일","0.17183","0.16156","0.17627","0.15923","520.50M","6.36%"
"2020년 12월 04일","0.16156","0.18431","0.18834","0.15968","808.84M","-12.33%"
"2020년 12월 03일","0.18429","0.18535","0.18962","0.17982","581.56M","-0.55%"
"2020년 12월 02일","0.18531","0.18375","0.18810","0.17704","786.81M","0.80%"
"2020년 12월 01일","0.18383","0.20283","0.20451","0.17456","1.21B","-9.37%"
"2020년 11월 30일","0.20284","0.19418","0.20645","0.18893","1.35B","4.50%"
"2020년 11월 29일","0.19412","0.20003","0.20302","0.18428","1.15B","-3.01%"
"2020년 11월 28일","0.20014","0.20663","0.21997","0.19563","2.53B","-3.08%"
"2020년 11월 27일","0.20649","0.16815","0.20712","0.16278","2.92B","22.93%"
"2020년 11월 26일","0.16798","0.19336","0.20539","0.14708","4.11B","-13.06%"
"2020년 11월 25일","0.19322","0.19336","0.23108","0.18226","4.54B","-1.34%"
"2020년 11월 24일","0.19585","0.13239","0.19815","0.12906","5.63B","48.06%"
"2020년 11월 23일","0.13228","0.10428","0.13387","0.10149","1.72B","26.82%"
"2020년 11월 22일","0.10430","0.10921","0.11509","0.09631","1.55B","-4.53%"
"2020년 11월 21일","0.10925","0.08855","0.10981","0.08850","1.47B","23.40%"
"2020년 11월 20일","0.08853","0.08397","0.08955","0.08374","323.15M","5.42%"
"2020년 11월 19일","0.08398","0.08353","0.08994","0.08141","277.05M","0.57%"
"2020년 11월 18일","0.08351","0.08636","0.09070","0.08168","367.08M","-3.32%"
"2020년 11월 17일","0.08637","0.08239","0.08982","0.08230","450.60M","4.84%"
"2020년 11월 16일","0.08238","0.07992","0.08252","0.07919","218.44M","3.12%"
"2020년 11월 15일","0.07989","0.08090","0.08205","0.07872","167.91M","-1.25%"
"2020년 11월 14일","0.08090","0.08242","0.08423","0.08056","225.52M","-1.82%"
"2020년 11월 13일","0.08241","0.08061","0.08289","0.07986","213.77M","2.27%"
"2020년 11월 12일","0.08058","0.08033","0.08195","0.07896","171.56M","0.29%"
"2020년 11월 11일","0.08034","0.07961","0.08295","0.07945","207.88M","0.91%"
"2020년 11월 10일","0.07962","0.07963","0.08243","0.07916","279.76M","0.02%"
"2020년 11월 09일","0.07960","0.08148","0.08268","0.07805","252.26M","-2.31%"
"2020년 11월 08일","0.08149","0.07955","0.08288","0.07871","178.24M","2.43%"
"2020년 11월 07일","0.07955","0.08389","0.08620","0.07790","455.21M","-5.16%"
"2020년 11월 06일","0.08388","0.08027","0.08537","0.08023","351.72M","4.47%"
"2020년 11월 05일","0.08029","0.07445","0.08237","0.07333","339.64M","7.83%"
"2020년 11월 04일","0.07446","0.07534","0.07565","0.07256","154.37M","-1.16%"
"2020년 11월 03일","0.07534","0.07539","0.07612","0.07302","185.86M","-0.07%"
"2020년 11월 02일","0.07539","0.07844","0.07935","0.07528","208.12M","-3.89%"
"2020년 11월 01일","0.07844","0.07758","0.07905","0.07617","125.72M","1.11%"
"2020년 10월 31일","0.07758","0.07662","0.07963","0.07615","213.51M","1.23%"
"2020년 10월 30일","0.07663","0.07746","0.07847","0.07431","232.93M","-1.05%"
"2020년 10월 29일","0.07745","0.07830","0.07883","0.07543","234.63M","-1.10%"
"2020년 10월 28일","0.07831","0.08181","0.08211","0.07738","288.16M","-4.27%"
"2020년 10월 27일","0.08180","0.08108","0.08309","0.08093","255.75M","0.89%"
"2020년 10월 26일","0.08108","0.08298","0.08670","0.07901","247.96M","-2.30%"
"2020년 10월 25일","0.08298","0.08555","0.08690","0.08215","171.06M","-2.99%"
"2020년 10월 24일","0.08555","0.08369","0.08611","0.08330","179.69M","2.22%"
"2020년 10월 23일","0.08369","0.08548","0.08813","0.08237","210.15M","-2.14%"
"2020년 10월 22일","0.08552","0.08368","0.09511","0.08323","345.04M","2.18%"
"2020년 10월 21일","0.08370","0.08076","0.08634","0.08040","446.77M","3.64%"
