"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","0.31809","0.35557","0.35557","0.28700","123.21M","-10.73%"
"2021년 04월 17일","0.35631","0.38800","0.39094","0.35631","146.13M","-8.39%"
"2021년 04월 16일","0.38893","0.36513","0.40350","0.34170","319.42M","7.11%"
"2021년 04월 15일","0.36313","0.33436","0.36507","0.33436","151.07M","8.60%"
"2021년 04월 14일","0.33437","0.35267","0.35267","0.32228","110.56M","-5.11%"
"2021년 04월 13일","0.35236","0.35775","0.35775","0.33944","94.12M","-1.47%"
"2021년 04월 12일","0.35760","0.35467","0.35760","0.33849","91.96M","0.79%"
"2021년 04월 11일","0.35480","0.36133","0.36240","0.34460","78.75M","-1.91%"
"2021년 04월 10일","0.36172","0.37499","0.37499","0.35855","85.47M","-3.65%"
"2021년 04월 09일","0.37543","0.38273","0.38273","0.37187","76.66M","-1.89%"
"2021년 04월 08일","0.38266","0.36175","0.38266","0.35444","140.17M","6.56%"
"2021년 04월 07일","0.35910","0.34743","0.37578","0.34350","242.82M","3.26%"
"2021년 04월 06일","0.34776","0.37697","0.37697","0.34108","169.75M","-7.74%"
"2021년 04월 05일","0.37692","0.41023","0.41023","0.37692","132.39M","-8.21%"
"2021년 04월 04일","0.41065","0.39311","0.41065","0.39311","88.38M","4.11%"
"2021년 04월 03일","0.39444","0.43929","0.46592","0.39444","162.54M","-10.08%"
"2021년 04월 02일","0.43868","0.41522","0.44413","0.41522","228.31M","5.44%"
"2021년 04월 01일","0.41604","0.41587","0.41604","0.40712","229.91M","0.31%"
"2021년 03월 31일","0.41474","0.41143","0.44667","0.40118","249.62M","0.94%"
"2021년 03월 30일","0.41090","0.41158","0.41194","0.40288","128.66M","-0.29%"
"2021년 03월 29일","0.41210","0.40118","0.43729","0.40118","190.50M","3.18%"
"2021년 03월 28일","0.39938","0.39678","0.40334","0.38535","131.22M","0.66%"
"2021년 03월 27일","0.39676","0.41663","0.41663","0.39097","149.76M","-5.14%"
"2021년 03월 26일","0.41827","0.41719","0.41827","0.39630","190.80M","0.19%"
"2021년 03월 25일","0.41748","0.39241","0.42577","0.38087","308.21M","5.95%"
"2021년 03월 24일","0.39403","0.47982","0.54131","0.39300","510.06M","-17.93%"
"2021년 03월 23일","0.48014","0.37171","0.51521","0.37171","874.86M","29.37%"
"2021년 03월 22일","0.37113","0.33298","0.41670","0.33298","388.56M","11.27%"
"2021년 03월 21일","0.33355","0.31784","0.33355","0.31050","137.30M","4.95%"
"2021년 03월 20일","0.31782","0.33937","0.34554","0.31782","121.37M","-6.52%"
"2021년 03월 19일","0.34000","0.35202","0.35979","0.33980","233.56M","-3.61%"
"2021년 03월 18일","0.35274","0.34777","0.36764","0.31832","236.35M","1.37%"
"2021년 03월 17일","0.34797","0.35318","0.35318","0.30168","206.68M","-1.45%"
"2021년 03월 16일","0.35307","0.34488","0.36425","0.31977","257.93M","2.84%"
