"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","2.689716","2.963035","2.984651","2.194117","39.03M","-9.12%"
"2021년 04월 17일","2.959782","3.013710","3.153001","2.937038","29.45M","-1.79%"
"2021년 04월 16일","3.013710","3.167312","3.190109","2.836872","35.90M","-4.85%"
"2021년 04월 15일","3.167312","2.907657","3.265975","2.866505","40.96M","8.82%"
"2021년 04월 14일","2.910519","3.075312","3.090928","2.791413","33.44M","-5.36%"
"2021년 04월 13일","3.075312","3.001075","3.225168","2.962694","40.62M","2.47%"
"2021년 04월 12일","3.001075","3.117539","3.150702","2.910417","37.56M","-3.74%"
"2021년 04월 11일","3.117539","3.219508","3.292601","2.998469","55.87M","-3.17%"
"2021년 04월 10일","3.219554","3.424372","3.562029","3.144081","100.07M","-6.69%"
"2021년 04월 09일","3.450293","3.242144","3.982956","3.121811","216.05M","6.42%"
"2021년 04월 08일","3.242144","2.843142","3.468781","2.585132","222.62M","14.04%"
"2021년 04월 07일","2.843038","2.321711","2.855898","2.028735","155.74M","22.45%"
"2021년 04월 06일","2.321711","2.465680","2.471814","2.301260","43.66M","-5.84%"
"2021년 04월 05일","2.465680","2.406422","2.631618","2.267388","60.71M","2.33%"
"2021년 04월 04일","2.409578","2.309306","2.444113","2.275757","24.92M","4.34%"
"2021년 04월 03일","2.309306","2.561875","2.571675","2.265293","28.92M","-9.86%"
"2021년 04월 02일","2.561875","2.487848","2.569974","2.416376","29.57M","2.98%"
"2021년 04월 01일","2.487848","2.552732","2.628000","2.430109","39.70M","-2.54%"
"2021년 03월 31일","2.552753","2.490439","2.646883","2.312405","64.72M","2.50%"
"2021년 03월 30일","2.490439","2.492582","2.497959","2.413846","29.84M","-0.09%"
"2021년 03월 29일","2.492582","2.510540","2.558630","2.380161","41.05M","-0.77%"
"2021년 03월 28일","2.511952","2.302085","2.625896","2.263931","69.29M","9.12%"
"2021년 03월 27일","2.302085","2.327276","2.367611","2.210469","38.52M","-1.08%"
"2021년 03월 26일","2.327276","2.099131","2.327276","2.093759","55.10M","10.87%"
"2021년 03월 25일","2.099163","2.159035","2.210772","2.009032","61.70M","-2.77%"
"2021년 03월 24일","2.159035","2.052260","2.543402","2.003811","123.76M","5.20%"
"2021년 03월 23일","2.052260","2.158892","2.205117","1.971037","58.66M","-4.94%"
"2021년 03월 22일","2.158892","2.437206","2.437206","2.054852","54.54M","-11.42%"
"2021년 03월 21일","2.437206","2.197846","2.497773","2.145217","70.39M","10.89%"
"2021년 03월 20일","2.197846","2.483068","2.499897","2.196051","57.66M","-11.49%"
"2021년 03월 19일","2.483068","2.656187","2.656187","2.462941","54.76M","-6.52%"
"2021년 03월 18일","2.656187","2.448325","2.793298","2.440793","107.26M","8.49%"
"2021년 03월 17일","2.448325","2.550570","2.686697","2.256215","108.79M","-4.01%"
"2021년 03월 16일","2.550570","2.679206","2.913692","2.348287","152.22M","-4.80%"
"2021년 03월 15일","2.679206","2.336982","3.066885","2.331023","246.59M","14.64%"
"2021년 03월 14일","2.336982","2.034986","2.640070","1.932967","160.55M","14.89%"
"2021년 03월 13일","2.034026","2.068207","2.194454","1.918709","99.80M","-1.64%"
"2021년 03월 12일","2.067889","1.790526","2.209578","1.790526","183.77M","15.49%"
"2021년 03월 11일","1.790526","1.648130","1.939943","1.610275","131.20M","8.64%"
"2021년 03월 10일","1.648130","1.700212","1.749270","1.524606","90.90M","-3.06%"
"2021년 03월 09일","1.700212","1.733677","1.940349","1.650884","171.78M","-1.93%"
"2021년 03월 08일","1.733677","1.405853","1.866840","1.391131","315.10M","23.32%"
"2021년 03월 07일","1.405873","1.156580","1.436106","1.125895","174.23M","21.55%"
"2021년 03월 06일","1.156580","1.197990","1.258483","1.085236","107.26M","-3.46%"
"2021년 03월 05일","1.197990","1.292078","1.370180","1.140994","191.26M","-7.28%"
"2021년 03월 04일","1.292078","1.181628","1.509809","1.085914","438.68M","9.35%"
"2021년 03월 03일","1.181615","0.786416","1.340672","0.773476","451.01M","50.25%"
"2021년 03월 02일","0.786416","0.696683","0.870088","0.655271","224.85M","12.88%"
"2021년 03월 01일","0.696683","0.571827","0.724197","0.563184","107.09M","21.83%"
"2021년 02월 28일","0.571827","0.567460","0.589065","0.476306","43.27M","0.77%"
"2021년 02월 27일","0.567460","0.575775","0.652451","0.552838","51.42M","-1.44%"
"2021년 02월 26일","0.575775","0.542399","0.621536","0.525152","88.74M","6.15%"
"2021년 02월 25일","0.542399","0.491492","0.667604","0.490425","155.73M","10.36%"
"2021년 02월 24일","0.491492","0.452458","0.509995","0.423718","29.86M","8.83%"
"2021년 02월 23일","0.451635","0.541863","0.544652","0.349282","70.27M","-16.65%"
"2021년 02월 22일","0.541863","0.573225","0.671099","0.450504","100.17M","-5.48%"
"2021년 02월 21일","0.573284","0.551382","0.586090","0.541778","20.34M","3.37%"
"2021년 02월 20일","0.554616","0.601787","0.605321","0.516404","34.84M","-7.84%"
"2021년 02월 19일","0.601787","0.586181","0.619868","0.550100","34.86M","2.66%"
"2021년 02월 18일","0.586181","0.549973","0.591032","0.541014","30.38M","6.55%"
"2021년 02월 17일","0.550131","0.543326","0.569947","0.500028","24.09M","1.25%"
"2021년 02월 16일","0.543326","0.523995","0.587674","0.514370","33.38M","3.69%"
"2021년 02월 15일","0.523995","0.550352","0.567615","0.446740","38.40M","-4.79%"
"2021년 02월 14일","0.550345","0.592268","0.622683","0.530980","29.78M","-7.08%"
"2021년 02월 13일","0.592268","0.610508","0.628849","0.539648","39.83M","-2.99%"
"2021년 02월 12일","0.610508","0.602050","0.649997","0.561481","77.24M","1.51%"
"2021년 02월 11일","0.601405","0.425014","0.663462","0.419532","248.45M","41.50%"
"2021년 02월 10일","0.425014","0.418870","0.453767","0.385526","67.52M","1.23%"
"2021년 02월 09일","0.419834","0.398771","0.435263","0.390589","57.53M","5.28%"
"2021년 02월 08일","0.398773","0.380250","0.404512","0.373127","37.82M","4.92%"
