"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","13.5918","15.5977","15.6829","12.0953","3.12M","-12.84%"
"2021년 04월 17일","15.5949","16.5064","16.6671","15.4972","1.62M","-5.52%"
"2021년 04월 16일","16.5064","15.9807","16.9356","15.3431","3.47M","3.29%"
"2021년 04월 15일","15.9806","15.2860","17.1193","14.9762","3.91M","4.54%"
"2021년 04월 14일","15.2860","15.8188","15.8766","14.6065","1.95M","-3.37%"
"2021년 04월 13일","15.8188","15.1861","15.9461","15.1550","2.24M","4.17%"
"2021년 04월 12일","15.1861","15.6044","15.8975","14.8947","2.81M","-2.68%"
"2021년 04월 11일","15.6044","16.3394","16.3641","15.2453","4.79M","-4.50%"
"2021년 04월 10일","16.3394","16.8019","18.0242","16.0294","9.35M","-3.03%"
"2021년 04월 09일","16.8496","13.7257","19.8930","13.6216","22.97M","22.76%"
"2021년 04월 08일","13.7257","12.0960","13.9345","12.0349","1.95M","13.47%"
"2021년 04월 07일","12.0960","13.3898","14.2814","11.9648","3.61M","-9.66%"
"2021년 04월 06일","13.3898","12.7829","13.5634","12.3272","2.31M","4.75%"
"2021년 04월 05일","12.7829","12.1824","12.9344","11.7055","1.67M","4.93%"
"2021년 04월 04일","12.1824","11.5886","12.3121","11.4856","721.54K","5.12%"
"2021년 04월 03일","11.5886","13.0578","13.1558","11.5886","1.30M","-11.25%"
"2021년 04월 02일","13.0578","11.8089","13.5808","11.6077","2.61M","10.46%"
"2021년 04월 01일","11.8215","11.9693","12.1899","11.5815","1.10M","-1.23%"
"2021년 03월 31일","11.9693","12.3237","12.3247","11.3197","1.30M","-2.88%"
"2021년 03월 30일","12.3245","12.4232","12.9339","12.2106","1.80M","-0.79%"
"2021년 03월 29일","12.4232","11.7954","12.5165","11.6478","1.83M","5.32%"
"2021년 03월 28일","11.7954","11.8692","12.2036","11.4869","1.12M","-0.62%"
"2021년 03월 27일","11.8692","12.3008","12.4847","11.5236","1.67M","-3.51%"
"2021년 03월 26일","12.3008","10.4462","13.0363","10.4421","4.14M","17.75%"
"2021년 03월 25일","10.4462","10.8460","11.5946","10.2309","2.97M","-3.69%"
"2021년 03월 24일","10.8460","11.2103","13.5305","10.7264","6.67M","-3.26%"
"2021년 03월 23일","11.2116","9.8042","12.6195","9.7106","4.92M","14.35%"
"2021년 03월 22일","9.8042","9.9446","10.9204","9.7837","1.98M","-1.41%"
"2021년 03월 21일","9.9446","10.1311","10.2206","9.6053","870.18K","-1.84%"
"2021년 03월 20일","10.1311","10.2091","10.6518","10.1093","989.17K","-0.76%"
"2021년 03월 19일","10.2091","10.2495","10.5558","10.0660","811.28K","-0.39%"
"2021년 03월 18일","10.2494","10.1191","10.7028","10.0524","1.16M","1.29%"
"2021년 03월 17일","10.1191","9.8382","10.1948","9.6875","1.05M","2.85%"
"2021년 03월 16일","9.8382","9.5681","10.0592","9.2408","1.35M","2.83%"
"2021년 03월 15일","9.5679","9.7714","10.0721","9.2988","1.14M","-2.08%"
"2021년 03월 14일","9.7716","10.1605","10.2054","9.7148","752.71K","-3.85%"
"2021년 03월 13일","10.1630","9.8644","10.2308","9.4826","896.94K","2.98%"
"2021년 03월 12일","9.8686","10.0405","10.1649","9.5441","781.68K","-1.71%"
"2021년 03월 11일","10.0405","10.2513","10.2906","9.7786","872.71K","-2.06%"
"2021년 03월 10일","10.2513","10.7127","10.8536","10.0270","1.05M","-4.39%"
"2021년 03월 09일","10.7219","10.0836","10.7746","9.9639","1.16M","6.33%"
"2021년 03월 08일","10.0836","10.1323","10.2031","9.7243","582.74K","-0.48%"
"2021년 03월 07일","10.1323","9.9933","10.2301","9.8137","665.67K","1.39%"
"2021년 03월 06일","9.9933","9.9156","10.3521","9.6790","811.03K","0.53%"
"2021년 03월 05일","9.9406","9.4455","10.5160","8.9725","2.10M","5.21%"
"2021년 03월 04일","9.4482","9.8492","10.2082","9.1168","1.04M","-4.07%"
"2021년 03월 03일","9.8492","9.4162","10.0821","9.3321","1.23M","4.51%"
"2021년 03월 02일","9.4240","9.5213","9.9469","9.0935","1.08M","-1.02%"
"2021년 03월 01일","9.5214","8.8738","9.6340","8.8534","854.35K","7.30%"
"2021년 02월 28일","8.8738","9.5890","9.6045","8.3707","1.12M","-7.46%"
"2021년 02월 27일","9.5890","9.5699","10.0183","9.3593","1.07M","0.20%"
"2021년 02월 26일","9.5699","9.6185","9.9306","8.9803","1.47M","-0.51%"
"2021년 02월 25일","9.6185","9.8185","11.3992","9.5496","2.28M","-2.04%"
"2021년 02월 24일","9.8185","9.3672","10.7084","8.9184","2.08M","4.82%"
"2021년 02월 23일","9.3672","10.5974","10.6491","7.9191","4.51M","-11.61%"
"2021년 02월 22일","10.5975","12.3503","12.3594","9.3931","2.73M","-14.20%"
"2021년 02월 21일","12.3517","12.2655","12.8750","12.1011","1.41M","0.57%"
"2021년 02월 20일","12.2813","12.5428","13.3013","11.6757","2.14M","-2.08%"
"2021년 02월 19일","12.5428","12.3650","13.3400","11.8324","2.23M","1.43%"
"2021년 02월 18일","12.3658","11.4822","13.6679","11.3831","3.58M","7.70%"
"2021년 02월 17일","11.4822","11.0506","11.5595","10.0542","2.42M","3.90%"
"2021년 02월 16일","11.0507","10.9333","11.5111","10.3547","2.33M","1.07%"
"2021년 02월 15일","10.9333","11.8165","12.3833","9.8930","3.78M","-7.47%"
"2021년 02월 14일","11.8165","11.2253","13.3517","10.5918","5.72M","5.26%"
"2021년 02월 13일","11.2259","10.8547","11.6915","10.4154","2.79M","3.42%"
"2021년 02월 12일","10.8547","10.4616","11.2445","9.9581","2.16M","3.68%"
"2021년 02월 11일","10.4693","9.6743","11.1460","9.4727","3.54M","8.22%"
"2021년 02월 10일","9.6743","9.7952","10.7115","9.0857","6.15M","-1.20%"
"2021년 02월 09일","9.7923","8.3898","11.1784","8.2972","7.85M","16.70%"
"2021년 02월 08일","8.3907","8.0527","8.5132","7.7930","2.90M","4.11%"
"2021년 02월 07일","8.0598","8.1766","8.3873","7.6188","2.46M","-1.43%"
"2021년 02월 06일","8.1766","8.8669","8.8996","7.6112","3.18M","-7.79%"
"2021년 02월 05일","8.8669","7.2439","8.9462","7.1819","6.02M","22.40%"
"2021년 02월 04일","7.2439","7.2872","7.7609","6.7427","3.33M","-0.59%"
"2021년 02월 03일","7.2872","6.9428","7.5066","6.8938","2.03M","4.96%"
"2021년 02월 02일","6.9428","7.0101","7.1454","6.8502","980.96K","-0.96%"
"2021년 02월 01일","7.0101","6.5522","7.2070","6.3986","2.44M","6.99%"
"2021년 01월 31일","6.5522","6.7486","7.0464","6.4544","1.75M","-2.91%"
"2021년 01월 30일","6.7486","6.5093","6.9202","6.2487","1.70M","3.67%"
"2021년 01월 29일","6.5096","6.2628","6.7858","6.1718","1.79M","3.94%"
"2021년 01월 28일","6.2628","6.0420","6.5308","5.9613","1.13M","3.66%"
"2021년 01월 27일","6.0420","6.8308","6.8415","5.9587","1.22M","-11.48%"
"2021년 01월 26일","6.8252","6.6738","6.9124","6.4255","1.34M","1.96%"
"2021년 01월 25일","6.6942","6.9930","7.3230","6.6683","2.06M","-4.27%"
"2021년 01월 24일","6.9930","6.5964","7.4044","6.5283","3.38M","6.01%"
"2021년 01월 23일","6.5964","6.4076","6.8809","6.3354","1.72M","2.95%"
"2021년 01월 22일","6.4076","6.0025","6.6389","5.4981","1.92M","6.75%"
"2021년 01월 21일","6.0025","7.2194","7.2450","5.9416","2.17M","-16.86%"
"2021년 01월 20일","7.2194","7.0848","7.2841","6.4861","2.24M","1.74%"
"2021년 01월 19일","7.0959","7.8382","7.9077","7.0823","2.49M","-9.47%"
"2021년 01월 18일","7.8382","7.3846","8.2748","7.3181","4.09M","6.14%"
"2021년 01월 17일","7.3846","6.6437","8.1787","6.2894","6.56M","11.15%"
"2021년 01월 16일","6.6438","6.3719","6.9415","6.2419","3.19M","4.27%"
"2021년 01월 15일","6.3719","6.4508","6.8908","5.8895","4.10M","-1.22%"
"2021년 01월 14일","6.4508","6.3832","6.8772","6.0267","3.39M","1.17%"
"2021년 01월 13일","6.3761","6.0148","6.5105","5.8089","2.32M","6.01%"
"2021년 01월 12일","6.0147","5.6231","6.6013","5.4355","4.82M","6.96%"
"2021년 01월 11일","5.6231","6.5297","6.5438","5.0441","4.42M","-13.88%"
"2021년 01월 10일","6.5297","6.1640","6.9748","5.9190","5.46M","5.93%"
"2021년 01월 09일","6.1640","5.6191","6.2551","5.4350","2.29M","9.70%"
"2021년 01월 08일","5.6191","5.9362","5.9848","5.1879","2.92M","-5.34%"
"2021년 01월 07일","5.9362","5.8421","6.5736","5.5165","4.28M","1.61%"
"2021년 01월 06일","5.8421","5.5665","6.1338","5.3718","3.31M","4.95%"
"2021년 01월 05일","5.5665","5.3950","5.7992","5.1848","2.93M","3.18%"
"2021년 01월 04일","5.3950","5.5649","6.1524","5.0618","3.40M","-3.05%"
"2021년 01월 03일","5.5649","5.6008","6.0689","5.1038","4.68M","-0.64%"
"2021년 01월 02일","5.6008","6.0022","6.0123","5.4832","3.29M","-6.69%"
"2021년 01월 01일","6.0022","6.2194","6.3714","5.9390","2.35M","-3.47%"
"2020년 12월 31일","6.2180","6.6559","6.6652","6.0405","1.52M","-6.58%"
"2020년 12월 30일","6.6560","7.0197","7.0476","6.4982","1.30M","-5.18%"
"2020년 12월 29일","7.0197","6.6294","7.5862","6.5474","2.47M","5.89%"
"2020년 12월 28일","6.6294","6.4094","6.7870","6.3301","988.67K","3.75%"
"2020년 12월 27일","6.3900","6.3436","6.8291","6.0366","1.58M","0.73%"
"2020년 12월 26일","6.3436","6.6648","6.8294","6.2449","812.18K","-4.73%"
"2020년 12월 25일","6.6586","6.4894","7.2531","6.3967","1.88M","2.61%"
"2020년 12월 24일","6.4894","5.8950","6.7314","5.4309","2.60M","10.08%"
"2020년 12월 23일","5.8950","7.0996","7.2239","5.4967","2.24M","-17.30%"
"2020년 12월 22일","7.1282","6.6643","7.6468","6.5676","2.46M","6.84%"
"2020년 12월 21일","6.6715","7.1996","7.3292","6.4932","1.84M","-7.34%"
"2020년 12월 20일","7.1996","7.6689","7.7515","7.0974","1.33M","-6.11%"
"2020년 12월 19일","7.6684","7.8320","8.0086","7.6445","1.01M","-1.97%"
"2020년 12월 18일","7.8228","7.9303","8.2133","7.5593","1.42M","-1.36%"
"2020년 12월 17일","7.9303","8.3429","8.5650","7.8123","1.78M","-4.95%"
"2020년 12월 16일","8.3429","8.1220","8.5377","7.9385","1.25M","2.84%"
"2020년 12월 15일","8.1125","8.6202","8.6523","8.0650","1.09M","-5.89%"
"2020년 12월 14일","8.6201","8.6411","8.8462","8.3283","1.30M","-0.23%"
"2020년 12월 13일","8.6402","8.4687","8.9434","8.2573","1.47M","2.03%"
"2020년 12월 12일","8.4686","8.1237","8.8187","8.1237","2.05M","4.25%"
"2020년 12월 11일","8.1237","8.1206","8.3794","7.6801","1.76M","0.04%"
"2020년 12월 10일","8.1206","8.5460","8.7028","7.8382","1.85M","-4.98%"
"2020년 12월 09일","8.5460","7.7890","8.9241","7.2657","3.42M","9.72%"
"2020년 12월 08일","7.7893","8.9622","9.1899","7.6905","2.62M","-13.09%"
"2020년 12월 07일","8.9622","8.4195","9.2951","8.1885","3.34M","6.45%"
"2020년 12월 06일","8.4194","8.1253","8.6719","7.8638","2.50M","3.62%"
