"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","2.34936","2.68634","2.72694","1.96392","57.04M","-12.44%"
"2021년 04월 17일","2.68316","2.60408","2.95484","2.60386","54.93M","2.98%"
"2021년 04월 16일","2.60561","2.56137","2.67471","2.40559","45.51M","1.64%"
"2021년 04월 15일","2.56351","2.51564","2.66967","2.44413","31.09M","1.78%"
"2021년 04월 14일","2.51859","2.58370","2.58992","2.36500","30.42M","-2.49%"
"2021년 04월 13일","2.58297","2.67114","2.67508","2.50164","32.73M","-3.30%"
"2021년 04월 12일","2.67114","2.57513","2.84475","2.49788","51.22M","3.73%"
"2021년 04월 11일","2.57513","2.55544","2.61036","2.45009","26.41M","0.72%"
"2021년 04월 10일","2.55669","2.63215","2.76298","2.48293","31.44M","-2.86%"
"2021년 04월 09일","2.63195","2.48278","2.71638","2.47485","35.90M","6.01%"
"2021년 04월 08일","2.48277","2.31158","2.54022","2.30010","34.14M","7.33%"
"2021년 04월 07일","2.31326","2.47785","2.53660","2.20267","46.54M","-6.66%"
"2021년 04월 06일","2.47835","2.53065","2.62993","2.35341","43.75M","-2.07%"
"2021년 04월 05일","2.53065","2.61447","2.67752","2.44186","36.58M","-3.21%"
"2021년 04월 04일","2.61447","2.47002","2.69483","2.43001","29.57M","5.85%"
"2021년 04월 03일","2.47002","2.73712","2.74184","2.41858","40.99M","-9.74%"
"2021년 04월 02일","2.73665","2.81320","2.82885","2.63206","39.37M","-2.72%"
"2021년 04월 01일","2.81320","3.04602","3.05127","2.77647","37.47M","-7.62%"
"2021년 03월 31일","3.04539","2.66598","3.19436","2.65977","73.50M","14.16%"
"2021년 03월 30일","2.66775","2.56850","2.87349","2.52607","48.78M","3.90%"
"2021년 03월 29일","2.56753","2.33812","2.71587","2.24700","59.91M","9.88%"
"2021년 03월 28일","2.33676","2.17729","2.65021","2.17629","75.08M","7.31%"
"2021년 03월 27일","2.17751","2.03685","2.26205","1.97358","46.96M","6.91%"
"2021년 03월 26일","2.03677","1.80583","2.04946","1.80583","31.62M","12.79%"
"2021년 03월 25일","1.80583","1.88908","1.91746","1.73737","37.25M","-4.40%"
"2021년 03월 24일","1.88893","1.87264","2.16861","1.81314","52.86M","0.87%"
"2021년 03월 23일","1.87270","1.84459","1.91596","1.75888","31.21M","1.52%"
"2021년 03월 22일","1.84459","1.92890","2.01431","1.82111","27.50M","-4.37%"
"2021년 03월 21일","1.92890","1.92509","1.96952","1.83706","24.74M","0.23%"
"2021년 03월 20일","1.92442","1.96546","2.13072","1.92177","35.76M","-2.09%"
"2021년 03월 19일","1.96546","1.86821","2.06785","1.81570","36.56M","5.21%"
"2021년 03월 18일","1.86821","1.87886","1.98428","1.83786","40.91M","-0.57%"
"2021년 03월 17일","1.87886","1.91891","1.94392","1.79033","41.21M","-2.09%"
"2021년 03월 16일","1.91891","1.94310","2.03731","1.80011","59.24M","-1.24%"
"2021년 03월 15일","1.94310","1.74242","2.11514","1.60780","70.33M","11.41%"
"2021년 03월 14일","1.74417","1.83567","1.83924","1.72120","25.44M","-5.02%"
"2021년 03월 13일","1.83631","1.79576","1.86703","1.69967","30.82M","2.28%"
"2021년 03월 12일","1.79543","1.88376","1.89424","1.73301","33.18M","-4.69%"
"2021년 03월 11일","1.88376","1.85206","1.95957","1.80520","36.80M","1.71%"
"2021년 03월 10일","1.85206","1.97356","1.97579","1.80555","31.41M","-6.14%"
"2021년 03월 09일","1.97312","1.88640","2.08220","1.83409","44.75M","4.60%"
"2021년 03월 08일","1.88632","1.95371","1.98175","1.79578","41.27M","-3.42%"
"2021년 03월 07일","1.95306","1.83602","1.96008","1.83602","33.03M","6.31%"
"2021년 03월 06일","1.83712","1.85570","1.88032","1.72277","33.20M","-1.03%"
"2021년 03월 05일","1.85622","1.93520","1.93542","1.73745","53.43M","-4.08%"
"2021년 03월 04일","1.93520","1.77496","2.29588","1.70644","101.54M","9.03%"
"2021년 03월 03일","1.77496","1.65991","1.82744","1.64418","51.19M","6.96%"
"2021년 03월 02일","1.65947","1.66822","1.77233","1.56043","52.94M","-0.53%"
"2021년 03월 01일","1.66824","1.38899","1.71850","1.38899","52.79M","20.10%"
"2021년 02월 28일","1.38899","1.52851","1.54215","1.30648","53.21M","-9.13%"
"2021년 02월 27일","1.52851","1.48556","1.62159","1.48118","47.04M","2.87%"
"2021년 02월 26일","1.48591","1.53565","1.63509","1.40734","70.07M","-3.26%"
"2021년 02월 25일","1.53591","1.67106","1.87129","1.52538","69.54M","-8.10%"
"2021년 02월 24일","1.67130","1.45480","1.89409","1.35929","92.61M","15.07%"
"2021년 02월 23일","1.45239","1.81162","1.82144","1.18129","117.57M","-19.86%"
"2021년 02월 22일","1.81239","2.04017","2.04371","1.48795","93.56M","-11.16%"
"2021년 02월 21일","2.04017","2.05411","2.17295","1.96112","54.78M","-0.86%"
"2021년 02월 20일","2.05777","2.27393","2.29625","1.94076","62.28M","-9.58%"
"2021년 02월 19일","2.27571","2.24050","2.45220","2.10142","72.59M","1.57%"
"2021년 02월 18일","2.24050","1.95949","2.33426","1.80062","100.99M","14.43%"
"2021년 02월 17일","1.95790","1.72617","1.97239","1.63595","64.53M","13.43%"
"2021년 02월 16일","1.72607","1.76494","1.98181","1.59845","92.73M","-2.20%"
"2021년 02월 15일","1.76494","1.51787","1.91483","1.28970","133.32M","16.28%"
"2021년 02월 14일","1.51787","1.62688","1.69560","1.46675","65.51M","-6.68%"
"2021년 02월 13일","1.62650","1.45440","1.69565","1.42164","87.90M","11.81%"
"2021년 02월 12일","1.45463","1.43608","1.56738","1.30009","89.17M","1.26%"
