"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","4.12","4.63","4.63","3.74","2.80M","-10.98%"
"2021년 04월 17일","4.63","4.89","5.02","4.63","1.11M","-5.64%"
"2021년 04월 16일","4.90","4.70","4.90","4.59","1.65M","3.99%"
"2021년 04월 15일","4.71","4.51","4.80","4.51","1.30M","4.33%"
"2021년 04월 14일","4.52","4.64","4.74","4.43","1.64M","-2.04%"
"2021년 04월 13일","4.61","4.73","4.75","4.52","1.11M","-2.56%"
"2021년 04월 12일","4.73","5.02","5.02","4.69","1.13M","-5.66%"
"2021년 04월 11일","5.02","5.17","5.29","4.91","1.09M","-2.83%"
"2021년 04월 10일","5.17","4.77","5.35","4.75","1.96M","8.31%"
"2021년 04월 09일","4.77","4.68","4.77","4.62","1.12M","1.95%"
"2021년 04월 08일","4.68","4.09","4.75","4.09","1.33M","14.73%"
"2021년 04월 07일","4.08","4.63","4.63","4.08","2.23M","-11.85%"
"2021년 04월 06일","4.62","4.72","4.81","4.39","1.60M","-1.94%"
"2021년 04월 05일","4.72","4.48","5.04","4.18","3.05M","5.77%"
"2021년 04월 04일","4.46","3.37","4.46","3.37","1.69M","31.96%"
"2021년 04월 03일","3.38","3.73","3.77","3.38","959.96K","-9.38%"
"2021년 04월 02일","3.73","3.67","3.73","3.61","640.99K","1.56%"
"2021년 04월 01일","3.67","3.50","3.68","3.50","791.26K","4.98%"
"2021년 03월 31일","3.50","3.64","3.64","3.40","905.82K","-4.02%"
"2021년 03월 30일","3.64","3.30","3.64","3.30","957.78K","10.58%"
"2021년 03월 29일","3.30","3.09","3.30","3.09","690.03K","6.80%"
"2021년 03월 28일","3.09","3.16","3.26","3.09","881.35K","-2.35%"
"2021년 03월 27일","3.16","3.04","3.16","3.04","710.08K","3.91%"
"2021년 03월 26일","3.04","2.77","3.04","2.77","796.48K","9.72%"
"2021년 03월 25일","2.77","2.87","2.91","2.71","1.20M","-4.08%"
"2021년 03월 24일","2.89","3.26","3.43","2.89","1.46M","-11.48%"
"2021년 03월 23일","3.26","3.39","3.44","3.26","1.08M","-3.76%"
"2021년 03월 22일","3.39","3.83","3.88","3.39","1.29M","-11.35%"
"2021년 03월 21일","3.83","3.56","3.87","3.48","1.33M","8.03%"
"2021년 03월 20일","3.54","3.99","4.03","3.54","1.39M","-11.40%"
"2021년 03월 19일","4.00","3.36","4.00","3.35","1.75M","19.04%"
"2021년 03월 18일","3.36","3.22","3.41","3.22","1.04M","4.58%"
"2021년 03월 17일","3.21","3.16","3.21","2.99","808.16K","1.74%"
"2021년 03월 16일","3.16","2.89","3.17","2.85","1.27M","9.64%"
"2021년 03월 15일","2.88","3.04","3.19","2.88","1.11M","-5.04%"
"2021년 03월 14일","3.03","3.04","3.17","2.93","1.74M","-0.37%"
"2021년 03월 13일","3.04","3.28","3.28","3.04","1.60M","-7.26%"
"2021년 03월 12일","3.28","3.43","3.47","3.15","1.51M","-3.99%"
"2021년 03월 11일","3.42","3.15","3.70","3.15","1.61M","9.08%"
"2021년 03월 10일","3.13","2.99","3.23","2.85","1.30M","4.68%"
"2021년 03월 09일","2.99","2.86","3.06","2.86","1.17M","4.80%"
"2021년 03월 08일","2.86","2.59","2.86","2.55","1.07M","10.43%"
"2021년 03월 07일","2.59","2.38","2.65","2.37","852.12K","8.66%"
"2021년 03월 06일","2.38","2.38","2.38","2.31","438.91K","0.00%"
"2021년 03월 05일","2.38","2.43","2.43","2.29","618.73K","-2.58%"
"2021년 03월 04일","2.44","2.61","2.70","2.42","1.04M","-6.67%"
"2021년 03월 03일","2.61","2.23","2.69","2.23","1.13M","16.98%"
"2021년 03월 02일","2.23","2.25","2.35","2.16","635.15K","-0.55%"
"2021년 03월 01일","2.25","2.00","2.25","2.00","702.77K","13.10%"
"2021년 02월 28일","1.99","2.22","2.23","1.86","766.31K","-10.65%"
"2021년 02월 27일","2.22","2.23","2.28","2.22","605.47K","-0.54%"
"2021년 02월 26일","2.23","2.28","2.34","2.05","769.24K","-1.84%"
"2021년 02월 25일","2.28","2.30","2.71","2.28","916.56K","-1.03%"
"2021년 02월 24일","2.30","2.29","2.51","2.24","830.72K","0.61%"
"2021년 02월 23일","2.29","2.83","2.83","2.02","1.31M","-19.34%"
"2021년 02월 22일","2.83","3.10","3.10","2.83","1.16M","-8.67%"
"2021년 02월 21일","3.10","3.01","3.32","2.93","848.90K","3.17%"
"2021년 02월 20일","3.01","3.60","3.60","3.01","981.55K","-16.46%"
"2021년 02월 19일","3.60","3.12","3.60","2.99","1.51M","14.97%"
"2021년 02월 18일","3.13","2.48","3.13","2.48","1.29M","26.38%"
"2021년 02월 17일","2.48","2.23","2.48","2.18","681.61K","11.33%"
"2021년 02월 16일","2.23","2.20","2.36","2.18","815.91K","1.16%"
"2021년 02월 15일","2.20","2.31","2.31","2.09","1.70M","-4.66%"
"2021년 02월 14일","2.31","2.71","2.71","2.31","1.17M","-14.22%"
"2021년 02월 13일","2.69","2.82","2.82","2.63","548.73K","-4.78%"
"2021년 02월 12일","2.83","2.62","2.90","2.62","678.68K","7.82%"
"2021년 02월 11일","2.62","2.36","2.86","2.36","1.21M","10.41%"
"2021년 02월 10일","2.37","2.42","2.44","2.23","725.80K","-2.49%"
"2021년 02월 09일","2.43","2.21","2.43","2.21","616.68K","10.30%"
