"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","5.6958","6.4801","6.6253","4.9739","2.37M","-12.10%"
"2021년 04월 17일","6.4802","6.9785","7.0024","6.3970","1.62M","-7.14%"
"2021년 04월 16일","6.9785","6.5195","7.2540","6.2500","2.76M","7.04%"
"2021년 04월 15일","6.5195","6.1825","6.5259","6.1302","1.14M","5.53%"
"2021년 04월 14일","6.1779","6.4281","6.4569","5.8566","1.22M","-3.94%"
"2021년 04월 13일","6.4313","6.4666","6.7083","6.0066","2.30M","-0.55%"
"2021년 04월 12일","6.4666","6.8002","6.8313","6.2976","1.04M","-4.91%"
"2021년 04월 11일","6.8002","7.2460","7.2460","6.5402","1.13M","-6.15%"
"2021년 04월 10일","7.2460","7.0852","7.5180","6.7979","1.82M","2.42%"
"2021년 04월 09일","7.0747","6.8374","7.1894","6.5902","2.62M","3.47%"
"2021년 04월 08일","6.8374","6.1777","6.8499","5.8477","1.96M","10.68%"
"2021년 04월 07일","6.1777","6.1699","6.8799","5.4035","3.27M","0.13%"
"2021년 04월 06일","6.1699","6.2451","6.3983","5.7704","1.11M","-1.20%"
"2021년 04월 05일","6.2451","6.3137","6.3718","5.8282","1.30M","-1.09%"
"2021년 04월 04일","6.3137","5.7626","6.5264","5.7626","1.94M","9.56%"
"2021년 04월 03일","5.7626","5.9866","6.6982","5.6515","3.42M","-3.74%"
"2021년 04월 02일","5.9866","5.9251","6.0359","5.6745","1.07M","1.04%"
"2021년 04월 01일","5.9251","6.2547","6.2882","5.7946","1.90M","-5.27%"
"2021년 03월 31일","6.2547","5.9129","6.2599","5.5543","1.88M","5.78%"
"2021년 03월 30일","5.9128","5.4559","6.1761","5.3507","3.12M","8.37%"
"2021년 03월 29일","5.4559","4.8718","5.5243","4.6893","2.26M","11.99%"
"2021년 03월 28일","4.8718","4.5193","5.6326","4.4686","4.44M","7.80%"
"2021년 03월 27일","4.5193","4.4799","4.5375","4.2193","1.37M","0.88%"
"2021년 03월 26일","4.4799","3.8993","4.4879","3.8753","2.11M","14.89%"
"2021년 03월 25일","3.8993","4.2577","4.3778","3.8351","2.17M","-8.42%"
"2021년 03월 24일","4.2577","4.9949","5.1402","4.0756","4.38M","-14.76%"
"2021년 03월 23일","4.9949","4.0310","5.1943","3.9521","8.95M","23.91%"
"2021년 03월 22일","4.0310","3.9175","4.5611","3.7587","3.35M","2.90%"
"2021년 03월 21일","3.9175","3.9577","4.0882","3.5902","2.40M","-1.02%"
"2021년 03월 20일","3.9577","3.7860","4.6112","3.7253","3.30M","4.54%"
"2021년 03월 19일","3.7860","3.7458","3.8969","3.6002","948.88K","1.07%"
"2021년 03월 18일","3.7458","3.9097","3.9964","3.6321","2.11M","-4.19%"
"2021년 03월 17일","3.9096","3.3599","4.0191","3.2358","3.86M","16.36%"
"2021년 03월 16일","3.3599","3.2555","3.3800","3.0600","1.19M","3.21%"
"2021년 03월 15일","3.2555","3.4172","3.4742","3.1054","1.61M","-5.11%"
"2021년 03월 14일","3.4309","3.3108","3.6341","3.2095","2.84M","3.56%"
"2021년 03월 13일","3.3128","3.1501","3.6589","2.9989","2.20M","5.17%"
"2021년 03월 12일","3.1501","3.2362","3.2898","3.0453","1.10M","-2.66%"
"2021년 03월 11일","3.2362","3.2272","3.3255","3.0985","1.14M","0.28%"
"2021년 03월 10일","3.2272","3.3834","3.3920","3.1251","1.17M","-4.67%"
"2021년 03월 09일","3.3854","3.2459","3.4171","3.1800","1.42M","4.30%"
"2021년 03월 08일","3.2459","3.2524","3.2818","3.0833","784.48K","-0.20%"
"2021년 03월 07일","3.2524","3.2155","3.2524","3.1336","695.35K","1.15%"
"2021년 03월 06일","3.2155","3.0877","3.2625","3.0005","1.00M","4.01%"
"2021년 03월 05일","3.0915","3.1177","3.1177","2.8719","883.07K","-0.84%"
"2021년 03월 04일","3.1177","3.2425","3.3213","2.9266","1.06M","-3.85%"
"2021년 03월 03일","3.2425","3.1677","3.2899","3.0946","1.57M","2.36%"
"2021년 03월 02일","3.1677","3.0967","3.6828","2.9639","2.96M","2.29%"
