"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","0.035421","0.039933","0.040150","0.031364","20.46M","-11.30%"
"2021년 04월 17일","0.039933","0.038068","0.041939","0.038068","22.08M","4.65%"
"2021년 04월 16일","0.038157","0.038342","0.039180","0.035524","21.61M","-0.46%"
"2021년 04월 15일","0.038333","0.037246","0.039564","0.036073","22.35M","2.92%"
"2021년 04월 14일","0.037246","0.037926","0.039589","0.035032","23.81M","-1.80%"
"2021년 04월 13일","0.037926","0.038844","0.039868","0.037038","22.07M","-2.36%"
"2021년 04월 12일","0.038844","0.042280","0.042652","0.038354","21.43M","-8.13%"
"2021년 04월 11일","0.042280","0.038937","0.043360","0.037216","21.85M","8.58%"
"2021년 04월 10일","0.038937","0.039048","0.041511","0.037983","20.33M","-0.28%"
"2021년 04월 09일","0.039048","0.037913","0.039735","0.037596","21.41M","2.99%"
"2021년 04월 08일","0.037913","0.034564","0.038909","0.033432","24.37M","9.40%"
"2021년 04월 07일","0.034656","0.040425","0.040778","0.031800","28.49M","-14.07%"
"2021년 04월 06일","0.040333","0.046166","0.046176","0.039328","24.63M","-12.62%"
"2021년 04월 05일","0.046159","0.048771","0.048771","0.044313","24.50M","-5.17%"
"2021년 04월 04일","0.048678","0.045549","0.050445","0.044407","23.81M","6.40%"
"2021년 04월 03일","0.045751","0.053217","0.053402","0.045062","21.38M","-13.89%"
"2021년 04월 02일","0.053131","0.046796","0.053927","0.046696","21.08M","13.54%"
"2021년 04월 01일","0.046796","0.045802","0.047881","0.043580","23.42M","2.17%"
"2021년 03월 31일","0.045800","0.045184","0.046435","0.042265","22.55M","1.36%"
"2021년 03월 30일","0.045184","0.042214","0.046448","0.041855","16.15M","7.04%"
"2021년 03월 29일","0.042213","0.040627","0.042347","0.040407","14.11M","4.14%"
"2021년 03월 28일","0.040535","0.043299","0.043309","0.040025","15.05M","-6.41%"
"2021년 03월 27일","0.043310","0.037498","0.043317","0.036650","20.65M","15.50%"
"2021년 03월 26일","0.037498","0.034026","0.037922","0.033747","19.43M","10.20%"
"2021년 03월 25일","0.034026","0.034523","0.036014","0.032628","20.53M","-1.44%"
"2021년 03월 24일","0.034523","0.038053","0.041552","0.034436","20.72M","-9.34%"
"2021년 03월 23일","0.038080","0.039468","0.040531","0.034766","21.96M","-3.52%"
"2021년 03월 22일","0.039468","0.045528","0.047096","0.038813","21.46M","-13.31%"
"2021년 03월 21일","0.045528","0.042095","0.045664","0.042009","21.47M","8.15%"
"2021년 03월 20일","0.042095","0.045817","0.053586","0.041405","24.51M","-8.30%"
"2021년 03월 19일","0.045904","0.041245","0.046129","0.039230","18.60M","11.29%"
"2021년 03월 18일","0.041245","0.040579","0.043080","0.037804","16.58M","1.64%"
"2021년 03월 17일","0.040579","0.043231","0.045692","0.035372","24.36M","-6.49%"
"2021년 03월 16일","0.043393","0.049666","0.053319","0.038964","20.03M","-13.12%"
