"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","1.04211","1.19155","1.23779","0.91614","-","-12.59%"
"2021년 04월 17일","1.19215","1.28479","1.28479","1.17816","-","-7.29%"
"2021년 04월 16일","1.28589","1.26977","1.29833","1.12983","-","1.27%"
"2021년 04월 15일","1.26977","1.16614","1.26977","1.15363","-","8.89%"
"2021년 04월 14일","1.16614","1.24143","1.29765","1.10822","-","-6.06%"
"2021년 04월 13일","1.24143","1.25269","1.25808","1.14636","-","-0.90%"
"2021년 04월 12일","1.25269","1.30601","1.35223","1.20495","-","-4.08%"
"2021년 04월 11일","1.30601","1.41417","1.42075","1.20642","-","-7.65%"
"2021년 04월 10일","1.41417","1.24550","1.43519","1.17500","-","14.46%"
"2021년 04월 09일","1.23547","1.03225","1.31943","1.00924","-","19.69%"
"2021년 04월 08일","1.03225","0.90660","1.05848","0.87869","-","13.86%"
"2021년 04월 07일","0.90660","0.98434","1.10745","0.80476","-","-7.90%"
"2021년 04월 06일","0.98434","1.04484","1.04885","0.92677","-","-5.79%"
"2021년 04월 05일","1.04484","1.11415","1.12347","1.01322","-","-6.22%"
"2021년 04월 04일","1.11415","1.05961","1.12507","1.03931","-","4.70%"
"2021년 04월 03일","1.06414","1.19794","1.26181","1.03186","-","-11.17%"
"2021년 04월 02일","1.19794","1.15590","1.27912","1.07607","-","3.64%"
"2021년 04월 01일","1.15590","1.20723","1.25754","1.10866","-","-4.25%"
"2021년 03월 31일","1.20723","1.13353","1.23821","1.06085","-","6.50%"
"2021년 03월 30일","1.13353","0.93714","1.26552","0.91729","-","20.96%"
"2021년 03월 29일","0.93714","0.77663","1.00145","0.73416","-","20.67%"
"2021년 03월 28일","0.77663","0.72247","0.85289","0.71920","-","7.77%"
"2021년 03월 27일","0.72067","0.68839","0.72637","0.66261","-","4.81%"
"2021년 03월 26일","0.68757","0.61748","0.68757","0.61653","-","11.35%"
"2021년 03월 25일","0.61748","0.64125","0.67016","0.58827","-","-3.71%"
"2021년 03월 24일","0.64125","0.75844","0.76102","0.63586","-","-15.45%"
"2021년 03월 23일","0.75844","0.72400","0.84875","0.72323","-","4.76%"
"2021년 03월 22일","0.72400","0.55648","0.83391","0.54176","-","30.10%"
