"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","0.018729","0.021523","0.021638","0.016929","444.57M","-12.98%"
"2021년 04월 17일","0.021523","0.020248","0.021580","0.019879","546.15M","6.30%"
"2021년 04월 16일","0.020248","0.021980","0.022637","0.019552","589.89M","-7.88%"
"2021년 04월 15일","0.021980","0.020569","0.022515","0.020567","436.20M","6.86%"
"2021년 04월 14일","0.020569","0.022903","0.022916","0.019805","491.08M","-10.57%"
"2021년 04월 13일","0.023000","0.021509","0.023765","0.021196","613.57M","6.93%"
"2021년 04월 12일","0.021509","0.022419","0.022765","0.021041","320.70M","-4.06%"
"2021년 04월 11일","0.022419","0.023550","0.023639","0.020470","411.31M","-4.80%"
"2021년 04월 10일","0.023550","0.024635","0.025507","0.022268","412.17M","-4.37%"
"2021년 04월 09일","0.024625","0.024004","0.025134","0.023501","530.48M","2.59%"
"2021년 04월 08일","0.024004","0.020462","0.024166","0.019964","579.05M","17.31%"
"2021년 04월 07일","0.020462","0.025166","0.025166","0.018703","1.08B","-18.69%"
"2021년 04월 06일","0.025166","0.027539","0.027665","0.023236","797.53M","-8.62%"
"2021년 04월 05일","0.027539","0.028524","0.031323","0.026797","882.54M","-3.45%"
"2021년 04월 04일","0.028522","0.025418","0.029660","0.024774","1.20B","12.21%"
"2021년 04월 03일","0.025418","0.030967","0.032814","0.024838","854.19M","-17.92%"
"2021년 04월 02일","0.030967","0.026330","0.032200","0.026293","1.18B","17.61%"
"2021년 04월 01일","0.026330","0.025203","0.026858","0.024217","359.22M","4.47%"
"2021년 03월 31일","0.025203","0.025404","0.026480","0.022815","431.20M","-0.79%"
"2021년 03월 30일","0.025404","0.024092","0.026615","0.023911","347.72M","5.45%"
"2021년 03월 29일","0.024092","0.022577","0.024742","0.022296","417.27M","6.74%"
"2021년 03월 28일","0.022570","0.022415","0.022908","0.021500","280.90M","0.69%"
"2021년 03월 27일","0.022415","0.022915","0.022915","0.021074","290.21M","-2.18%"
"2021년 03월 26일","0.022915","0.019957","0.023787","0.019860","610.02M","14.82%"
"2021년 03월 25일","0.019957","0.020081","0.020621","0.018390","394.15M","-0.62%"
"2021년 03월 24일","0.020081","0.021633","0.023771","0.019199","600.58M","-7.17%"
"2021년 03월 23일","0.021633","0.023862","0.024660","0.019480","1.06B","-9.34%"
"2021년 03월 22일","0.023862","0.029397","0.029520","0.023334","722.89M","-18.83%"
"2021년 03월 21일","0.029397","0.026000","0.029839","0.024619","911.00M","13.07%"
"2021년 03월 20일","0.026000","0.023953","0.034222","0.023953","2.95B","8.55%"
"2021년 03월 19일","0.023953","0.020048","0.024455","0.019437","587.76M","19.48%"
"2021년 03월 18일","0.020048","0.020929","0.020935","0.019065","355.65M","-4.21%"
"2021년 03월 17일","0.020929","0.022142","0.022299","0.017795","804.07M","-5.48%"
"2021년 03월 16일","0.022142","0.019196","0.022142","0.017175","787.45M","15.35%"
"2021년 03월 15일","0.019196","0.018288","0.019398","0.016000","702.49M","4.74%"
"2021년 03월 14일","0.018327","0.017800","0.020347","0.017547","746.24M","2.61%"
"2021년 03월 13일","0.017861","0.016287","0.018617","0.015249","791.51M","9.66%"
"2021년 03월 12일","0.016287","0.016526","0.016552","0.015100","380.59M","-1.45%"
"2021년 03월 11일","0.016526","0.016704","0.016848","0.015430","485.90M","-1.07%"
"2021년 03월 10일","0.016704","0.017829","0.017829","0.015912","386.89M","-6.06%"
"2021년 03월 09일","0.017781","0.017004","0.017900","0.016392","570.03M","4.57%"
"2021년 03월 08일","0.017004","0.016072","0.017200","0.016060","512.87M","5.80%"
"2021년 03월 07일","0.016072","0.014846","0.016210","0.014667","440.35M","8.26%"
"2021년 03월 06일","0.014846","0.014826","0.015199","0.013763","299.37M","-0.12%"
"2021년 03월 05일","0.014864","0.014258","0.015153","0.013307","394.64M","4.25%"
"2021년 03월 04일","0.014258","0.014280","0.015075","0.013401","602.97M","-0.15%"
"2021년 03월 03일","0.014280","0.013074","0.014977","0.012740","621.19M","9.22%"
"2021년 03월 02일","0.013074","0.013552","0.013568","0.011910","475.56M","-3.53%"
"2021년 03월 01일","0.013552","0.012488","0.013589","0.012242","528.63M","8.52%"
"2021년 02월 28일","0.012488","0.014436","0.014436","0.011342","688.17M","-13.49%"
"2021년 02월 27일","0.014436","0.012654","0.016300","0.012541","1.18B","14.08%"
"2021년 02월 26일","0.012654","0.012521","0.013489","0.011587","925.40M","2.13%"
"2021년 02월 25일","0.012390","0.013470","0.016443","0.012390","1.50B","-8.02%"
"2021년 02월 24일","0.013470","0.012998","0.014233","0.011757","921.13M","4.13%"
"2021년 02월 23일","0.012936","0.017085","0.017194","0.009399","1.61B","-24.28%"
"2021년 02월 22일","0.017085","0.019801","0.019888","0.013890","1.74B","-13.55%"
