"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","0.56601","0.64607","0.64997","0.44900","94.05M","-12.39%"
"2021년 04월 17일","0.64605","0.66166","0.68275","0.63180","48.90M","-2.38%"
"2021년 04월 16일","0.66177","0.71747","0.71793","0.62937","48.96M","-7.81%"
"2021년 04월 15일","0.71783","0.65893","0.72352","0.64392","59.43M","8.94%"
"2021년 04월 14일","0.65893","0.70486","0.70500","0.62200","51.57M","-6.52%"
"2021년 04월 13일","0.70486","0.64326","0.70486","0.60940","61.43M","9.62%"
"2021년 04월 12일","0.64301","0.65998","0.66906","0.61476","58.94M","-2.48%"
"2021년 04월 11일","0.65935","0.59480","0.65935","0.55348","72.67M","10.85%"
"2021년 04월 10일","0.59480","0.59500","0.63442","0.57439","60.92M","0.01%"
"2021년 04월 09일","0.59472","0.58386","0.61105","0.56171","55.52M","1.86%"
"2021년 04월 08일","0.58386","0.53499","0.58682","0.53099","38.28M","9.13%"
"2021년 04월 07일","0.53499","0.60422","0.60551","0.49666","92.47M","-11.46%"
"2021년 04월 06일","0.60422","0.61179","0.62431","0.57338","84.70M","-1.24%"
"2021년 04월 05일","0.61179","0.62912","0.67502","0.60199","81.05M","-2.75%"
"2021년 04월 04일","0.62912","0.60090","0.63378","0.59125","50.52M","4.70%"
"2021년 04월 03일","0.60090","0.68503","0.69646","0.59835","129.57M","-12.28%"
"2021년 04월 02일","0.68503","0.53263","0.77784","0.51489","248.65M","28.58%"
"2021년 04월 01일","0.53275","0.56235","0.57073","0.52314","48.66M","-5.26%"
"2021년 03월 31일","0.56235","0.50829","0.56794","0.46104","73.48M","10.64%"
"2021년 03월 30일","0.50829","0.49331","0.54090","0.48058","48.70M","3.12%"
"2021년 03월 29일","0.49289","0.48552","0.49808","0.45973","39.54M","1.58%"
"2021년 03월 28일","0.48521","0.45621","0.50292","0.43995","68.65M","6.36%"
"2021년 03월 27일","0.45621","0.43928","0.46166","0.42566","55.33M","3.81%"
"2021년 03월 26일","0.43948","0.40958","0.44058","0.40694","45.01M","7.30%"
"2021년 03월 25일","0.40958","0.42907","0.44217","0.40058","70.62M","-4.60%"
"2021년 03월 24일","0.42934","0.46139","0.54344","0.41401","132.59M","-6.95%"
"2021년 03월 23일","0.46139","0.42517","0.46347","0.40318","76.58M","8.52%"
"2021년 03월 22일","0.42516","0.42933","0.50194","0.41368","114.54M","-0.97%"
"2021년 03월 21일","0.42933","0.41960","0.42963","0.40219","29.44M","2.33%"
"2021년 03월 20일","0.41956","0.43670","0.46592","0.41882","37.38M","-3.93%"
"2021년 03월 19일","0.43670","0.42820","0.46520","0.41313","48.77M","1.98%"
"2021년 03월 18일","0.42820","0.42411","0.45047","0.41566","42.77M","0.96%"
"2021년 03월 17일","0.42415","0.41634","0.42549","0.39058","30.67M","1.87%"
"2021년 03월 16일","0.41636","0.42854","0.43518","0.39602","38.72M","-2.84%"
"2021년 03월 15일","0.42854","0.45158","0.47509","0.41172","62.32M","-5.10%"
