"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","0.30950","0.34250","0.34250","0.29950","164.33M","-9.66%"
"2021년 04월 17일","0.34260","0.35110","0.35920","0.34260","101.69M","-1.89%"
"2021년 04월 16일","0.34920","0.37990","0.37990","0.34600","136.05M","-8.08%"
"2021년 04월 15일","0.37990","0.37490","0.38020","0.37010","107.86M","1.12%"
"2021년 04월 14일","0.37570","0.40970","0.40970","0.36900","190.95M","-8.48%"
"2021년 04월 13일","0.41050","0.35730","0.41050","0.33880","124.52M","15.24%"
"2021년 04월 12일","0.35620","0.34820","0.35940","0.33790","104.58M","2.30%"
"2021년 04월 11일","0.34820","0.33010","0.36310","0.33010","153.50M","5.58%"
"2021년 04월 10일","0.32980","0.33820","0.34050","0.32630","81.19M","-2.48%"
"2021년 04월 09일","0.33820","0.32830","0.35650","0.32830","119.07M","3.11%"
"2021년 04월 08일","0.32800","0.29940","0.32800","0.29940","76.10M","9.44%"
"2021년 04월 07일","0.29970","0.32580","0.32580","0.29970","91.58M","-8.07%"
"2021년 04월 06일","0.32600","0.31780","0.32730","0.31440","122.14M","2.61%"
"2021년 04월 05일","0.31770","0.32480","0.32480","0.30830","98.01M","-2.22%"
"2021년 04월 04일","0.32490","0.31130","0.32490","0.31130","60.16M","4.34%"
"2021년 04월 03일","0.31140","0.35270","0.35270","0.31140","83.93M","-11.61%"
"2021년 04월 02일","0.35230","0.34500","0.35230","0.33730","69.60M","2.00%"
"2021년 04월 01일","0.34540","0.36130","0.36130","0.33860","82.72M","-4.27%"
"2021년 03월 31일","0.36080","0.38600","0.38600","0.35600","103.53M","-6.65%"
"2021년 03월 30일","0.38650","0.37060","0.39130","0.36670","135.77M","4.23%"
"2021년 03월 29일","0.37080","0.33810","0.40550","0.33810","233.99M","9.67%"
"2021년 03월 28일","0.33810","0.33810","0.33930","0.33400","48.03M","-0.09%"
"2021년 03월 27일","0.33840","0.34630","0.34630","0.33150","67.80M","-1.77%"
"2021년 03월 26일","0.34450","0.30180","0.34450","0.30180","65.59M","14.07%"
"2021년 03월 25일","0.30200","0.29870","0.30700","0.28830","69.01M","1.10%"
"2021년 03월 24일","0.29870","0.31980","0.33380","0.29650","82.66M","-6.77%"
"2021년 03월 23일","0.32040","0.31430","0.32700","0.31250","81.46M","2.01%"
"2021년 03월 22일","0.31410","0.34160","0.34690","0.31410","102.19M","-8.08%"
"2021년 03월 21일","0.34170","0.31680","0.34170","0.31460","95.93M","8.10%"
"2021년 03월 20일","0.31610","0.34460","0.34580","0.31610","78.98M","-8.32%"
"2021년 03월 19일","0.34480","0.34410","0.35110","0.33570","91.01M","0.06%"
"2021년 03월 18일","0.34460","0.36020","0.36020","0.33950","119.83M","-4.36%"
"2021년 03월 17일","0.36030","0.34250","0.36070","0.31100","290.77M","5.23%"
"2021년 03월 16일","0.34240","0.40020","0.40020","0.32940","220.74M","-14.61%"
"2021년 03월 15일","0.40100","0.36340","0.44630","0.36340","345.93M","10.01%"
"2021년 03월 14일","0.36450","0.27620","0.36450","0.27620","447.15M","31.73%"
"2021년 03월 13일","0.27670","0.26990","0.27670","0.26060","136.96M","2.44%"
"2021년 03월 12일","0.27010","0.26890","0.27240","0.25230","204.39M","0.67%"
"2021년 03월 11일","0.26830","0.22070","0.26900","0.21770","345.44M","20.26%"
"2021년 03월 10일","0.22310","0.20960","0.22310","0.19280","256.82M","6.34%"
"2021년 03월 09일","0.20980","0.17400","0.20980","0.17400","260.68M","20.37%"
"2021년 03월 08일","0.17430","0.15220","0.17480","0.14880","208.43M","14.52%"
"2021년 03월 07일","0.15220","0.14490","0.15400","0.14490","105.41M","5.04%"
"2021년 03월 06일","0.14490","0.14860","0.14860","0.14230","118.83M","-2.62%"
"2021년 03월 05일","0.14880","0.15900","0.15900","0.14530","158.74M","-6.47%"
"2021년 03월 04일","0.15910","0.12800","0.16620","0.12800","426.18M","24.20%"
"2021년 03월 03일","0.12810","0.12280","0.12930","0.12230","88.26M","4.49%"
"2021년 03월 02일","0.12260","0.12490","0.12490","0.11820","77.37M","-2.00%"
"2021년 03월 01일","0.12510","0.11420","0.12510","0.11420","254.04M","9.54%"
"2021년 02월 28일","0.11420","0.11870","0.11930","0.10660","90.46M","-3.95%"
"2021년 02월 27일","0.11890","0.11810","0.12200","0.11810","62.75M","0.68%"
"2021년 02월 26일","0.11810","0.11630","0.12190","0.11420","124.83M","1.90%"
