"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","9.92254","11.05987","11.57032","8.79416","-","-10.28%"
"2021년 04월 17일","11.05987","11.71361","11.71361","10.66583","-","-5.58%"
"2021년 04월 16일","11.71361","10.91634","12.12551","10.11532","-","7.30%"
"2021년 04월 15일","10.91634","10.65874","10.93425","9.97837","-","2.42%"
"2021년 04월 14일","10.65874","10.44829","11.93665","9.81855","-","2.01%"
"2021년 04월 13일","10.44824","10.94683","10.94683","10.11431","-","-4.55%"
"2021년 04월 12일","10.94683","10.70290","12.44590","9.74365","-","2.28%"
"2021년 04월 11일","10.70290","11.53316","11.91671","9.41919","-","-7.20%"
"2021년 04월 10일","11.53316","12.40729","13.00491","10.73931","-","-7.05%"
"2021년 04월 09일","12.40729","9.41035","16.14977","9.17258","-","31.85%"
"2021년 04월 08일","9.41035","8.28131","9.93307","7.66931","-","13.63%"
"2021년 04월 07일","8.28131","9.47863","11.43369","6.26423","-","-12.63%"
"2021년 04월 06일","9.47863","9.91072","10.02493","8.78090","-","-4.36%"
"2021년 04월 05일","9.91072","10.95784","10.99038","9.52677","-","-9.56%"
"2021년 04월 04일","10.95784","10.44581","11.81792","10.20679","-","4.90%"
"2021년 04월 03일","10.44581","12.48185","13.52643","10.13597","-","-16.31%"
"2021년 04월 02일","12.48185","8.76839","17.10681","8.15881","-","42.35%"
"2021년 04월 01일","8.76839","8.98781","9.28190","8.47443","-","-2.44%"
"2021년 03월 31일","8.98781","8.55010","10.18007","8.51749","-","5.07%"
"2021년 03월 30일","8.55451","8.08723","8.82179","7.90182","-","5.78%"
"2021년 03월 29일","8.08723","7.53791","8.10930","7.31143","-","7.29%"
"2021년 03월 28일","7.53791","7.27170","8.83941","7.22741","-","3.66%"
"2021년 03월 27일","7.27170","7.14770","7.29384","6.97498","-","1.73%"
"2021년 03월 26일","7.14770","6.80050","7.31644","6.74463","-","5.11%"
"2021년 03월 25일","6.80050","7.14223","7.30513","6.38568","-","-4.78%"
"2021년 03월 24일","7.14223","7.58993","7.86490","6.91325","-","-5.90%"
"2021년 03월 23일","7.58993","7.37932","8.42702","6.58227","-","2.85%"
"2021년 03월 22일","7.37932","7.58314","8.87128","7.21982","-","-2.69%"
"2021년 03월 21일","7.58314","6.91029","7.91518","6.66681","-","9.74%"
"2021년 03월 20일","6.91029","7.29985","8.13652","6.65353","-","-5.34%"
"2021년 03월 19일","7.29985","6.89875","7.52345","6.71506","-","5.81%"
"2021년 03월 18일","6.89875","6.92928","6.98396","6.59776","-","-0.58%"
"2021년 03월 17일","6.93928","6.95992","6.96440","6.25158","-","-0.36%"
