"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","0.44630","0.51010","0.51010","0.40270","222.40K","-12.51%"
"2021년 04월 17일","0.51010","0.51400","0.53180","0.50230","90.59K","-0.76%"
"2021년 04월 16일","0.51400","0.55030","0.55520","0.47790","115.72K","-6.60%"
"2021년 04월 15일","0.55030","0.52980","0.56760","0.51830","66.84K","3.87%"
"2021년 04월 14일","0.52980","0.57280","0.57410","0.50400","97.11K","-7.51%"
"2021년 04월 13일","0.57280","0.53280","0.59780","0.53280","97.54K","7.51%"
"2021년 04월 12일","0.53280","0.54940","0.55110","0.51700","89.61K","-3.02%"
"2021년 04월 11일","0.54940","0.56470","0.56730","0.52210","68.18K","-2.71%"
"2021년 04월 10일","0.56470","0.58310","0.66200","0.55590","109.92K","-3.16%"
"2021년 04월 09일","0.58310","0.51250","0.62090","0.50200","202.27K","13.78%"
"2021년 04월 08일","0.51250","0.45180","0.51550","0.43980","88.09K","13.44%"
"2021년 04월 07일","0.45180","0.53990","0.54050","0.41350","184.97K","-16.30%"
"2021년 04월 06일","0.53980","0.55420","0.55700","0.50600","152.02K","-2.60%"
"2021년 04월 05일","0.55420","0.56030","0.56470","0.52190","127.51K","-1.09%"
"2021년 04월 04일","0.56030","0.53950","0.56760","0.52430","68.49K","3.86%"
"2021년 04월 03일","0.53950","0.58540","0.58880","0.51770","121.10K","-7.84%"
"2021년 04월 02일","0.58540","0.56770","0.58880","0.54470","125.98K","3.19%"
"2021년 04월 01일","0.56730","0.60440","0.60450","0.54950","104.73K","-6.14%"
"2021년 03월 31일","0.60440","0.59460","0.66000","0.58320","124.28K","1.65%"
"2021년 03월 30일","0.59460","0.51110","0.69000","0.48550","184.76K","16.34%"
"2021년 03월 29일","0.51110","0.43070","0.63100","0.41710","343.42K","18.67%"
"2021년 03월 28일","0.43070","0.41290","0.44640","0.40470","117.79K","4.31%"
"2021년 03월 27일","0.41290","0.40120","0.41520","0.38670","103.25K","2.92%"
"2021년 03월 26일","0.40120","0.36060","0.40160","0.36060","106.10K","11.26%"
"2021년 03월 25일","0.36060","0.38240","0.38450","0.34580","83.87K","-5.85%"
"2021년 03월 24일","0.38300","0.46110","0.47150","0.36920","138.19K","-16.94%"
