"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","2.08900","2.39100","2.41400","1.86800","37.73K","-12.63%"
"2021년 04월 17일","2.39100","2.51500","2.51900","2.30700","29.25K","-4.93%"
"2021년 04월 16일","2.51500","2.58100","2.59400","2.30000","26.93K","-2.56%"
"2021년 04월 15일","2.58100","2.47400","2.62700","2.44700","37.61K","4.32%"
"2021년 04월 14일","2.47400","2.74400","2.76900","2.40200","33.22K","-9.84%"
"2021년 04월 13일","2.74400","2.61900","2.76700","2.47900","40.94K","4.33%"
"2021년 04월 12일","2.63000","2.73400","2.78600","2.52400","31.80K","-3.80%"
"2021년 04월 11일","2.73400","2.92100","2.93500","2.50900","43.96K","-6.40%"
"2021년 04월 10일","2.92100","3.04700","3.41000","2.81300","41.59K","-4.20%"
"2021년 04월 09일","3.04900","2.70800","3.20000","2.57500","44.16K","12.59%"
"2021년 04월 08일","2.70800","2.51400","2.71500","2.21700","47.03K","8.28%"
"2021년 04월 07일","2.50100","2.30000","2.50100","1.97900","47.99K","8.74%"
"2021년 04월 06일","2.30000","2.48900","2.49700","2.13400","56.44K","-7.59%"
"2021년 04월 05일","2.48900","2.61200","2.80000","2.40600","53.20K","-4.71%"
"2021년 04월 04일","2.61200","2.43300","2.67700","2.38800","21.39K","7.36%"
"2021년 04월 03일","2.43300","2.76400","2.79100","2.36600","24.20K","-11.98%"
"2021년 04월 02일","2.76400","2.72300","2.81600","2.50000","31.23K","1.51%"
"2021년 04월 01일","2.72300","2.93700","3.00100","2.61900","29.58K","-7.13%"
"2021년 03월 31일","2.93200","2.98900","3.30900","2.62700","66.00K","-1.91%"
"2021년 03월 30일","2.98900","2.45600","3.68400","2.30200","172.49K","21.70%"
"2021년 03월 29일","2.45600","1.88000","2.67500","1.86300","120.34K","30.64%"
"2021년 03월 28일","1.88000","1.77600","1.98900","1.75100","80.34K","5.74%"
"2021년 03월 27일","1.77800","1.73000","1.79200","1.68800","49.24K","2.83%"
"2021년 03월 26일","1.72900","1.50400","1.78000","1.50400","63.44K","14.96%"
"2021년 03월 25일","1.50400","1.58700","1.67600","1.43500","72.12K","-5.23%"
"2021년 03월 24일","1.58700","1.83700","1.91600","1.56000","73.57K","-13.61%"
"2021년 03월 23일","1.83700","1.61600","1.83700","1.47400","137.33K","13.68%"
"2021년 03월 22일","1.61600","1.67500","1.83400","1.55000","92.98K","-3.52%"
"2021년 03월 21일","1.67500","1.46900","1.70800","1.45800","114.01K","14.02%"
