"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","1.08118","1.24251","1.25769","0.94214","-","-12.92%"
"2021년 04월 17일","1.24161","1.28786","1.37953","1.12213","-","7.11%"
"2021년 04월 16일","1.15920","1.29475","1.32502","1.07393","-","-10.47%"
"2021년 04월 15일","1.29475","1.20485","1.30400","1.18715","-","7.46%"
"2021년 04월 14일","1.20485","1.33164","1.33386","1.11753","-","-9.43%"
"2021년 04월 13일","1.33027","1.27442","1.41647","1.27442","-","4.47%"
"2021년 04월 12일","1.27335","1.35856","1.37929","1.25969","-","-6.27%"
"2021년 04월 11일","1.35856","1.37051","1.38241","1.28955","-","-0.85%"
"2021년 04월 10일","1.37022","1.59442","1.60752","1.29234","-","-14.10%"
"2021년 04월 09일","1.59506","1.26089","1.76505","1.18499","-","26.72%"
"2021년 04월 08일","1.25870","0.98154","1.27504","0.98154","-","28.13%"
"2021년 04월 07일","0.98236","1.25116","1.27455","0.91011","-","-21.48%"
"2021년 04월 06일","1.25116","1.38909","1.40988","1.15380","-","-9.72%"
"2021년 04월 05일","1.38582","1.61976","1.62405","1.35346","-","-14.38%"
"2021년 04월 04일","1.61852","1.44837","1.62711","1.39039","-","11.81%"
"2021년 04월 03일","1.44755","1.73762","1.83235","1.43939","-","-16.49%"
"2021년 04월 02일","1.73333","1.61794","1.82294","1.50089","-","7.32%"
"2021년 04월 01일","1.61509","1.52556","1.62109","1.41662","-","5.83%"
"2021년 03월 31일","1.52616","1.23059","1.72845","1.23059","-","24.02%"
"2021년 03월 30일","1.23059","1.17898","1.23059","1.09720","-","4.52%"
"2021년 03월 29일","1.17734","1.00977","1.38748","1.00836","-","16.66%"
"2021년 03월 28일","1.00920","0.96786","1.00978","0.92151","-","4.42%"
"2021년 03월 27일","0.96648","1.01623","1.02961","0.81788","-","-5.46%"
"2021년 03월 26일","1.02228","0.70560","1.07331","0.70560","-","44.71%"
"2021년 03월 25일","0.70643","0.71204","0.80327","0.66709","-","-1.04%"
"2021년 03월 24일","0.71384","0.78284","0.88719","0.69921","-","-9.11%"
"2021년 03월 23일","0.78540","0.86952","0.89663","0.75936","-","-11.38%"
"2021년 03월 22일","0.88624","0.79822","1.08892","0.77597","-","11.19%"
"2021년 03월 21일","0.79702","0.77513","0.80253","0.70826","-","2.87%"
"2021년 03월 20일","0.77481","0.77426","0.91793","0.73934","-","0.01%"
"2021년 03월 19일","0.77471","0.66427","0.82717","0.64820","-","17.03%"
"2021년 03월 18일","0.66196","0.66165","0.70699","0.64527","-","0.28%"
"2021년 03월 17일","0.66009","0.67892","0.69574","0.60728","-","-2.44%"
"2021년 03월 16일","0.67662","0.69705","0.70095","0.61038","-","-3.04%"
