"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","1.76086","2.03459","2.04417","1.52159","66.64M","-13.50%"
"2021년 04월 17일","2.03578","2.07787","2.20321","2.03120","25.49M","-1.96%"
"2021년 04월 16일","2.07639","2.20133","2.21167","1.97769","34.92M","-5.66%"
"2021년 04월 15일","2.20107","2.15889","2.24303","2.10277","27.87M","1.99%"
"2021년 04월 14일","2.15803","2.29575","2.34527","2.05728","42.86M","-6.12%"
"2021년 04월 13일","2.29872","2.12915","2.39643","2.09401","48.24M","7.96%"
"2021년 04월 12일","2.12915","2.12881","2.18336","2.03611","25.28M","0.02%"
"2021년 04월 11일","2.12881","2.17820","2.25352","2.02953","40.08M","-2.30%"
"2021년 04월 10일","2.17897","2.15783","2.36720","2.08446","73.16M","0.98%"
"2021년 04월 09일","2.15783","1.85346","2.35783","1.82797","103.62M","16.42%"
"2021년 04월 08일","1.85346","1.71027","1.86137","1.70563","24.51M","8.37%"
"2021년 04월 07일","1.71026","1.92319","1.94152","1.59607","51.96M","-11.06%"
"2021년 04월 06일","1.92288","1.80361","1.93941","1.74606","40.16M","6.62%"
"2021년 04월 05일","1.80341","1.83601","1.86340","1.73250","27.91M","-1.78%"
"2021년 04월 04일","1.83601","1.72530","1.85964","1.69719","27.95M","6.40%"
"2021년 04월 03일","1.72563","1.96121","1.96201","1.71635","33.51M","-12.03%"
"2021년 04월 02일","1.96159","1.96335","2.03303","1.88167","36.38M","-0.09%"
"2021년 04월 01일","1.96335","1.88147","2.07352","1.83878","59.04M","4.34%"
"2021년 03월 31일","1.88164","1.84561","1.99433","1.75874","78.71M","1.99%"
"2021년 03월 30일","1.84496","1.59566","1.92170","1.55564","89.09M","15.71%"
"2021년 03월 29일","1.59447","1.45412","1.60169","1.44964","37.17M","9.67%"
"2021년 03월 28일","1.45383","1.41491","1.48104","1.38654","27.84M","2.73%"
"2021년 03월 27일","1.41517","1.38797","1.43758","1.35213","26.96M","1.97%"
"2021년 03월 26일","1.38786","1.31080","1.39443","1.31021","18.40M","5.88%"
"2021년 03월 25일","1.31077","1.37164","1.39715","1.26492","43.19M","-4.38%"
"2021년 03월 24일","1.37084","1.49743","1.60164","1.34053","45.83M","-8.43%"
"2021년 03월 23일","1.49709","1.41786","1.52768","1.35373","37.23M","5.59%"
"2021년 03월 22일","1.41777","1.45764","1.56868","1.39992","37.89M","-2.74%"
"2021년 03월 21일","1.45764","1.49864","1.52359","1.41687","30.12M","-2.59%"
"2021년 03월 20일","1.49642","1.56006","1.62088","1.49083","32.45M","-4.07%"
"2021년 03월 19일","1.55992","1.51611","1.65002","1.45991","48.30M","2.88%"
"2021년 03월 18일","1.51619","1.44461","1.74194","1.41853","106.41M","4.97%"
"2021년 03월 17일","1.44434","1.42834","1.44514","1.33772","30.35M","1.22%"
"2021년 03월 16일","1.42696","1.32817","1.44147","1.27935","31.07M","7.61%"
"2021년 03월 15일","1.32606","1.32390","1.37208","1.25591","25.37M","0.06%"
"2021년 03월 14일","1.32533","1.39231","1.39718","1.31495","18.81M","-4.81%"
"2021년 03월 13일","1.39231","1.33959","1.41881","1.28957","20.91M","3.96%"
"2021년 03월 12일","1.33928","1.37584","1.38430","1.29641","22.09M","-2.53%"
"2021년 03월 11일","1.37401","1.39342","1.40310","1.32982","20.85M","-1.40%"
"2021년 03월 10일","1.39345","1.47447","1.48431","1.35953","29.76M","-5.45%"
"2021년 03월 09일","1.47374","1.42068","1.47475","1.39289","28.02M","3.74%"
"2021년 03월 08일","1.42067","1.41650","1.46910","1.36570","30.85M","0.21%"
"2021년 03월 07일","1.41774","1.37124","1.42436","1.35547","27.44M","3.43%"
"2021년 03월 06일","1.37067","1.34048","1.40588","1.31603","23.93M","2.24%"
"2021년 03월 05일","1.34059","1.37224","1.39176","1.28886","32.70M","-2.26%"
"2021년 03월 04일","1.37165","1.46481","1.49659","1.35634","31.56M","-6.36%"
"2021년 03월 03일","1.46481","1.35899","1.52609","1.33703","40.13M","7.77%"
"2021년 03월 02일","1.35915","1.35722","1.42827","1.28632","42.35M","0.14%"
"2021년 03월 01일","1.35727","1.20924","1.37851","1.20317","36.31M","12.31%"
"2021년 02월 28일","1.20849","1.33199","1.34358","1.13545","41.46M","-9.29%"
"2021년 02월 27일","1.33222","1.31903","1.39761","1.29483","32.57M","1.04%"
"2021년 02월 26일","1.31852","1.39202","1.41476","1.24691","62.18M","-5.32%"
"2021년 02월 25일","1.39267","1.52466","1.58395","1.38067","41.92M","-8.66%"
"2021년 02월 24일","1.52466","1.58162","1.66587","1.42452","88.10M","-3.63%"
"2021년 02월 23일","1.58213","1.55840","1.87536","1.20273","186.06M","1.52%"
"2021년 02월 22일","1.55850","1.72513","1.91021","1.32036","139.56M","-9.64%"
"2021년 02월 21일","1.72480","1.53170","1.75565","1.49673","51.99M","12.64%"
"2021년 02월 20일","1.53128","1.55794","1.69040","1.47696","59.85M","-1.71%"
"2021년 02월 19일","1.55792","1.60914","1.63132","1.50995","34.61M","-3.11%"
"2021년 02월 18일","1.60787","1.56212","1.63130","1.51691","33.99M","2.85%"
"2021년 02월 17일","1.56328","1.58454","1.59870","1.42139","52.39M","-1.34%"
"2021년 02월 16일","1.58454","1.61513","1.70253","1.50819","45.31M","-1.90%"
"2021년 02월 15일","1.61520","1.79777","1.81609","1.43608","69.35M","-10.16%"
"2021년 02월 14일","1.79781","1.88773","2.00667","1.68713","84.17M","-4.74%"
