"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","2.03445","2.35606","2.38345","1.66164","20.08M","-13.77%"
"2021년 04월 17일","2.35923","2.34174","2.59803","2.31933","19.48M","0.75%"
"2021년 04월 16일","2.34174","2.34288","2.39819","2.16785","16.98M","-0.18%"
"2021년 04월 15일","2.34590","2.28381","2.43905","2.23629","9.78M","2.72%"
"2021년 04월 14일","2.28381","2.45544","2.49612","2.14174","14.10M","-6.99%"
"2021년 04월 13일","2.45544","2.45070","2.51754","2.35611","9.69M","0.19%"
"2021년 04월 12일","2.45076","2.41371","2.60346","2.32103","15.30M","1.54%"
"2021년 04월 11일","2.41371","2.47062","2.47893","2.33485","7.25M","-2.31%"
"2021년 04월 10일","2.47086","2.55797","2.57993","2.36275","10.37M","-3.41%"
"2021년 04월 09일","2.55797","2.61345","2.71264","2.50602","16.41M","-2.13%"
"2021년 04월 08일","2.61357","2.35635","2.74674","2.28884","24.14M","10.61%"
"2021년 04월 07일","2.36292","2.57090","2.57684","2.05889","25.95M","-8.09%"
"2021년 04월 06일","2.57083","2.81903","2.84721","2.39441","20.50M","-8.86%"
"2021년 04월 05일","2.82065","2.90934","3.06590","2.80244","18.89M","-2.99%"
"2021년 04월 04일","2.90774","2.80835","2.99699","2.76689","16.35M","3.49%"
"2021년 04월 03일","2.80964","2.98859","3.15630","2.73921","22.13M","-6.36%"
"2021년 04월 02일","3.00042","3.01144","3.32722","2.95140","32.42M","-0.36%"
"2021년 04월 01일","3.01140","2.81687","3.72728","2.77388","77.05M","6.75%"
"2021년 03월 31일","2.82087","2.96606","3.11772","2.58045","51.72M","-4.90%"
"2021년 03월 30일","2.96606","2.73769","3.28426","2.66763","60.25M","8.47%"
"2021년 03월 29일","2.73455","2.70795","3.02616","2.58464","66.45M","1.19%"
"2021년 03월 28일","2.70232","3.16917","3.81543","2.68849","162.02M","-14.73%"
"2021년 03월 27일","3.16917","1.57479","3.25875","1.57023","192.77M","101.24%"
"2021년 03월 26일","1.57479","1.43287","1.61749","1.34101","47.66M","10.01%"
"2021년 03월 25일","1.43147","1.44581","1.73826","1.29851","85.34M","-1.07%"
"2021년 03월 24일","1.44699","1.76503","1.96933","1.37515","82.18M","-18.02%"
"2021년 03월 23일","1.76503","0.90989","1.98334","0.82482","151.37M","93.98%"
"2021년 03월 22일","0.90990","0.92158","1.00803","0.90551","18.12M","-1.27%"
"2021년 03월 21일","0.92158","0.89410","0.92353","0.85410","9.11M","3.07%"
"2021년 03월 20일","0.89410","0.94362","1.03428","0.89265","14.94M","-5.25%"
"2021년 03월 19일","0.94362","0.92449","1.03591","0.90442","19.17M","2.12%"
"2021년 03월 18일","0.92400","0.93942","0.98506","0.87324","14.16M","-1.64%"
"2021년 03월 17일","0.93942","0.92533","0.96156","0.82304","14.31M","1.52%"
"2021년 03월 16일","0.92533","0.87516","0.98490","0.87238","23.50M","5.73%"
"2021년 03월 15일","0.87516","0.84490","0.98266","0.84265","27.68M","3.56%"
"2021년 03월 14일","0.84505","0.76844","0.88932","0.74112","23.10M","9.94%"
"2021년 03월 13일","0.76864","0.76589","0.80908","0.71833","13.46M","0.36%"
"2021년 03월 12일","0.76589","0.69322","0.80859","0.68897","21.32M","10.48%"
"2021년 03월 11일","0.69322","0.69689","0.70448","0.65174","5.82M","-0.52%"
"2021년 03월 10일","0.69684","0.73562","0.73846","0.66994","6.89M","-5.27%"
"2021년 03월 09일","0.73562","0.68978","0.74457","0.68032","10.88M","6.63%"
"2021년 03월 08일","0.68991","0.69396","0.69595","0.65578","4.79M","-0.58%"
"2021년 03월 07일","0.69396","0.68278","0.69726","0.67109","4.42M","1.64%"
"2021년 03월 06일","0.68278","0.65386","0.69742","0.64137","10.03M","4.42%"
"2021년 03월 05일","0.65386","0.66720","0.66720","0.61330","5.29M","-2.00%"
"2021년 03월 04일","0.66720","0.69221","0.69861","0.63485","12.27M","-3.61%"
"2021년 03월 03일","0.69221","0.64567","0.70372","0.63409","7.79M","7.21%"
"2021년 03월 02일","0.64567","0.67072","0.67259","0.60522","8.11M","-3.66%"
"2021년 03월 01일","0.67021","0.63920","0.67175","0.61790","10.87M","4.85%"
"2021년 02월 28일","0.63920","0.63566","0.72072","0.61012","30.58M","0.56%"
"2021년 02월 27일","0.63566","0.58314","0.67776","0.57645","10.84M","9.22%"
"2021년 02월 26일","0.58201","0.56788","0.60366","0.53520","7.44M","2.49%"
"2021년 02월 25일","0.56788","0.59474","0.66368","0.56788","11.54M","-4.52%"
"2021년 02월 24일","0.59474","0.55865","0.65638","0.52331","14.84M","6.46%"
"2021년 02월 23일","0.55865","0.73321","0.73986","0.45386","27.12M","-23.81%"
"2021년 02월 22일","0.73321","0.84307","0.84644","0.62666","15.12M","-13.03%"
"2021년 02월 21일","0.84307","0.79533","0.91674","0.77254","15.00M","5.82%"
"2021년 02월 20일","0.79668","0.84286","0.90052","0.75194","15.90M","-5.48%"
"2021년 02월 19일","0.84286","0.80340","0.88705","0.73992","14.50M","4.95%"
"2021년 02월 18일","0.80309","0.78102","0.82157","0.76051","7.51M","2.86%"
"2021년 02월 17일","0.78079","0.78830","0.81408","0.71321","11.13M","-0.95%"
"2021년 02월 16일","0.78830","0.82745","0.84016","0.75359","8.82M","-4.73%"
