"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","2.90286","3.37530","3.39964","2.60128","-","-14.00%"
"2021년 04월 17일","3.37530","3.36910","3.66667","3.28882","-","0.21%"
"2021년 04월 16일","3.36810","3.59899","3.59899","3.17029","-","-6.42%"
"2021년 04월 15일","3.59899","3.39207","3.64155","3.29681","-","6.10%"
"2021년 04월 14일","3.39207","3.69607","3.72935","3.15641","-","-8.22%"
"2021년 04월 13일","3.69607","3.58084","3.82619","3.42449","-","3.22%"
"2021년 04월 12일","3.58084","3.73874","3.74773","3.48837","-","-4.22%"
"2021년 04월 11일","3.73874","3.89653","3.94058","3.49107","-","-4.05%"
"2021년 04월 10일","3.89653","4.27368","4.29070","3.70783","-","-9.31%"
"2021년 04월 09일","4.29651","4.72981","4.73837","4.09170","-","-9.16%"
"2021년 04월 08일","4.72981","3.82550","4.72981","3.46847","-","23.64%"
"2021년 04월 07일","3.82550","2.56671","3.91268","2.54783","-","49.04%"
"2021년 04월 06일","2.56671","2.66077","2.67022","2.41954","-","-3.54%"
"2021년 04월 05일","2.66077","2.62085","2.69865","2.45148","-","1.52%"
"2021년 04월 04일","2.62085","2.47576","2.63388","2.44061","-","5.92%"
"2021년 04월 03일","2.47434","2.72406","2.82622","2.46864","-","-9.22%"
"2021년 04월 02일","2.72566","2.66588","2.77909","2.54464","-","2.24%"
"2021년 04월 01일","2.66588","2.68959","2.81991","2.60502","-","-0.88%"
"2021년 03월 31일","2.68959","2.76176","2.79681","2.49281","-","-2.61%"
"2021년 03월 30일","2.76176","2.53749","2.99054","2.48560","-","8.84%"
"2021년 03월 29일","2.53749","2.13330","2.61095","2.04783","-","18.95%"
"2021년 03월 28일","2.13330","2.16042","2.38082","2.06802","-","-1.07%"
"2021년 03월 27일","2.15642","1.88394","2.19718","1.85519","-","14.46%"
"2021년 03월 26일","1.88394","1.69666","1.91851","1.69326","-","11.04%"
"2021년 03월 25일","1.69666","1.81342","1.83281","1.63554","-","-6.44%"
"2021년 03월 24일","1.81342","2.15959","2.16730","1.80585","-","-16.03%"
"2021년 03월 23일","2.15959","1.79036","2.24750","1.70660","-","20.62%"
"2021년 03월 22일","1.79036","1.72878","1.97863","1.72384","-","3.56%"
"2021년 03월 21일","1.72878","1.69088","1.73773","1.63494","-","2.19%"
"2021년 03월 20일","1.69182","1.76060","2.00893","1.69182","-","-3.96%"
"2021년 03월 19일","1.76163","1.80115","1.84165","1.72284","-","-2.19%"
"2021년 03월 18일","1.80115","1.51560","1.88384","1.51560","-","18.84%"
"2021년 03월 17일","1.51560","1.47895","1.52731","1.38571","-","2.48%"
"2021년 03월 16일","1.47895","1.44810","1.47927","1.36437","-","2.13%"
"2021년 03월 15일","1.44810","1.45514","1.50755","1.32743","-","-0.48%"
"2021년 03월 14일","1.45514","1.51469","1.51469","1.44351","-","-3.85%"
"2021년 03월 13일","1.51348","1.46418","1.51840","1.40203","-","3.43%"
"2021년 03월 12일","1.46334","1.46617","1.50086","1.40156","-","-0.19%"
"2021년 03월 11일","1.46617","1.48823","1.49098","1.40676","-","-1.48%"
"2021년 03월 10일","1.48823","1.54945","1.56934","1.44498","-","-3.95%"
"2021년 03월 09일","1.54945","1.50445","1.54945","1.46394","-","2.99%"
"2021년 03월 08일","1.50445","1.51585","1.52386","1.43887","-","-0.75%"
"2021년 03월 07일","1.51585","1.53226","1.53601","1.45459","-","-0.71%"
"2021년 03월 06일","1.52662","1.38184","1.55561","1.37981","-","10.80%"
"2021년 03월 05일","1.37788","1.36870","1.39300","1.27793","-","0.67%"
"2021년 03월 04일","1.36870","1.39687","1.45403","1.29426","-","-2.02%"
"2021년 03월 03일","1.39687","1.26453","1.42602","1.24759","-","10.47%"
"2021년 03월 02일","1.26453","1.28161","1.30887","1.20104","-","-1.33%"
"2021년 03월 01일","1.28161","1.20869","1.30039","1.20468","-","6.03%"
"2021년 02월 28일","1.20869","1.31238","1.35518","1.11663","-","-7.70%"
"2021년 02월 27일","1.30947","1.24132","1.35021","1.22567","-","5.69%"
"2021년 02월 26일","1.23900","1.24355","1.28994","1.13961","-","-0.37%"
"2021년 02월 25일","1.24355","1.20715","1.45641","1.20715","-","3.01%"
"2021년 02월 24일","1.20715","1.19257","1.29867","1.10795","-","1.22%"
"2021년 02월 23일","1.19257","1.56672","1.56942","1.01298","-","-23.88%"
"2021년 02월 22일","1.56672","1.63511","1.85438","1.30244","-","-4.18%"
"2021년 02월 21일","1.63511","1.43456","1.83123","1.40521","-","13.98%"
"2021년 02월 20일","1.43456","1.46008","1.62016","1.37106","-","-1.37%"
"2021년 02월 19일","1.45449","1.37513","1.48021","1.29082","-","5.77%"
"2021년 02월 18일","1.37513","1.27931","1.39656","1.27931","-","7.49%"
