"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","5.4648","6.4581","6.4581","4.7529","8.00M","-15.38%"
"2021년 04월 17일","6.4582","6.5942","6.8870","6.4582","4.31M","-1.54%"
"2021년 04월 16일","6.5593","6.9171","6.9171","6.4642","3.71M","-4.65%"
"2021년 04월 15일","6.8789","6.5543","7.0490","6.4191","4.84M","5.56%"
"2021년 04월 14일","6.5166","6.4959","6.6198","6.2140","3.38M","0.39%"
"2021년 04월 13일","6.4915","6.6346","6.7153","6.3056","2.71M","-1.25%"
"2021년 04월 12일","6.5735","7.0023","7.0023","6.5125","2.60M","-5.97%"
"2021년 04월 11일","6.9910","7.0233","7.2243","6.6425","2.64M","-0.26%"
"2021년 04월 10일","7.0094","7.0154","7.2608","6.8534","3.12M","0.07%"
"2021년 04월 09일","7.0046","7.2858","7.3236","7.0046","2.89M","-3.73%"
"2021년 04월 08일","7.2760","6.5850","7.7113","6.5850","6.03M","11.84%"
"2021년 04월 07일","6.5059","7.3826","7.3826","6.3966","5.52M","-11.62%"
"2021년 04월 06일","7.3613","6.9214","7.8731","6.8729","6.50M","6.54%"
"2021년 04월 05일","6.9095","6.7639","7.3708","6.5482","5.76M","2.35%"
"2021년 04월 04일","6.7507","6.1502","6.7560","6.1502","3.23M","9.58%"
"2021년 04월 03일","6.1608","6.9647","7.0598","6.1608","4.31M","-11.05%"
"2021년 04월 02일","6.9262","7.1497","7.1497","6.7305","4.49M","-2.24%"
"2021년 04월 01일","7.0848","5.9447","7.0848","5.8772","9.85M","19.45%"
"2021년 03월 31일","5.9314","6.5522","6.5522","5.9004","5.22M","-9.08%"
"2021년 03월 30일","6.5234","5.9235","6.5234","5.9235","5.53M","10.24%"
"2021년 03월 29일","5.9177","5.5785","6.1139","5.5785","4.64M","6.40%"
"2021년 03월 28일","5.5617","5.9173","5.9573","5.4500","4.29M","-5.34%"
"2021년 03월 27일","5.8755","5.1449","6.0600","5.1018","7.60M","14.20%"
"2021년 03월 26일","5.1447","4.6240","5.1447","4.6240","3.02M","11.60%"
"2021년 03월 25일","4.6099","4.6029","4.7594","4.4177","4.15M","-0.53%"
"2021년 03월 24일","4.6343","5.1472","5.5192","4.6343","5.11M","-10.16%"
"2021년 03월 23일","5.1586","5.2766","5.5103","5.0445","6.27M","-2.04%"
"2021년 03월 22일","5.2661","5.9600","6.0259","5.2661","4.73M","-11.38%"
"2021년 03월 21일","5.9423","5.6899","5.9597","5.4640","4.19M","4.28%"
"2021년 03월 20일","5.6982","6.1668","6.2300","5.6982","4.32M","-7.82%"
"2021년 03월 19일","6.1817","5.8601","6.2606","5.8238","5.74M","5.53%"
"2021년 03월 18일","5.8575","6.2307","6.4391","5.8566","6.34M","-6.02%"
"2021년 03월 17일","6.2324","6.2381","6.9074","6.0997","10.94M","-0.03%"
"2021년 03월 16일","6.2342","5.4178","6.5010","5.4178","12.03M","14.39%"
"2021년 03월 15일","5.4500","5.5081","6.0924","5.2623","8.36M","-1.15%"
"2021년 03월 14일","5.5136","6.2957","6.2957","5.5136","7.04M","-12.29%"
"2021년 03월 13일","6.2865","5.8272","6.2865","5.6331","12.94M","7.65%"
