날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,0.065401,0.065826,0.069518,0.053932,-,-0.60%
2021년 04월 17일,0.065794,0.068695,0.07003,0.047628,-,-4.27%
2021년 04월 16일,0.068727,0.069384,0.07412,0.060845,-,-0.95%
2021년 04월 15일,0.069384,0.069289,0.074259,0.060518,-,0.19%
2021년 04월 14일,0.069252,0.073429,0.076469,0.066353,-,-5.54%
2021년 04월 13일,0.073312,0.07925,0.08373,0.070916,-,-7.28%
2021년 04월 12일,0.079067,0.074712,0.083696,0.07423,-,5.83%
2021년 04월 11일,0.074714,0.074067,0.079044,0.068044,-,0.88%
2021년 04월 10일,0.07406,0.076104,0.084809,0.072686,-,-2.70%
2021년 04월 09일,0.076114,0.07683,0.077598,0.074356,-,-0.90%
2021년 04월 08일,0.076802,0.058009,0.08411,0.057701,-,32.41%
2021년 04월 07일,0.058004,0.080535,0.081078,0.039107,-,-27.98%
2021년 04월 06일,0.080539,0.08846,0.090296,0.069135,-,-8.82%
2021년 04월 05일,0.088328,0.109258,0.115935,0.087656,-,-19.02%
2021년 04월 04일,0.109077,0.100211,0.12547,0.091515,-,8.78%
2021년 04월 03일,0.100269,0.097087,0.108183,0.083242,-,3.22%
2021년 04월 02일,0.097141,0.061517,0.107877,0.053637,-,58.20%
2021년 04월 01일,0.061405,0.061239,0.061701,0.052942,-,0.77%
2021년 03월 31일,0.060935,0.067353,0.068061,0.049945,-,-9.53%
2021년 03월 30일,0.067353,0.062565,0.07254,0.05495,-,7.87%
2021년 03월 29일,0.062441,0.054645,0.063225,0.042023,-,14.28%
2021년 03월 28일,0.054639,0.053185,0.058845,0.051605,-,2.63%
2021년 03월 27일,0.053238,0.053451,0.054004,0.052023,-,-0.40%
2021년 03월 26일,0.053451,0.049931,0.053451,0.047878,-,7.13%
2021년 03월 25일,0.049894,0.032332,0.050791,0.030634,-,54.11%
2021년 03월 24일,0.032376,0.050679,0.057168,0.031572,-,-36.26%
2021년 03월 23일,0.050789,0.060382,0.063547,0.050464,-,-15.90%
2021년 03월 22일,0.060394,0.04486,0.085185,0.044584,-,34.92%
2021년 03월 21일,0.044764,0.050748,0.050999,0.043245,-,-11.69%
2021년 03월 20일,0.050688,0.041365,0.058802,0.04123,-,22.46%
2021년 03월 19일,0.041393,0.03709,0.044883,0.034422,-,11.48%
