날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,2.30809,2.53516,2.54106,1.97529,3.95M,-8.96%
2021년 04월 17일,2.53516,2.50512,2.84842,2.50512,4.95M,1.20%
2021년 04월 16일,2.50512,2.41527,2.55426,2.22106,2.82M,3.72%
2021년 04월 15일,2.41527,2.36005,2.45128,2.35173,1.55M,2.08%
2021년 04월 14일,2.36605,2.50866,2.56096,2.26965,1.90M,-5.68%
2021년 04월 13일,2.50866,2.53628,2.61067,2.40448,2.43M,-1.09%
2021년 04월 12일,2.53628,2.44651,2.94409,2.3834,5.97M,3.67%
2021년 04월 11일,2.44651,2.38606,2.47951,2.29635,1.87M,2.53%
2021년 04월 10일,2.38606,2.4212,2.57036,2.33427,2.16M,-1.45%
2021년 04월 09일,2.4212,2.5129,2.53244,2.38701,1.99M,-3.65%
2021년 04월 08일,2.5129,2.40918,2.6388,2.34151,2.79M,4.31%
2021년 04월 07일,2.40918,2.51658,2.52918,2.02956,3.47M,-4.27%
2021년 04월 06일,2.51658,2.42391,2.67285,2.26007,3.76M,3.82%
2021년 04월 05일,2.42391,2.23589,2.597,2.04889,3.76M,8.41%
2021년 04월 04일,2.23589,1.98786,2.28967,1.93967,1.99M,12.48%
2021년 04월 03일,1.98786,2.09429,2.29983,1.98386,2.13M,-5.08%
2021년 04월 02일,2.09429,2.06578,2.24993,1.95491,2.97M,1.38%
2021년 04월 01일,2.06578,1.89844,2.09253,1.84974,1.95M,8.81%
2021년 03월 31일,1.89844,1.96989,1.9755,1.76979,1.90M,-3.63%
2021년 03월 30일,1.96989,1.84079,1.97469,1.78304,3.05M,7.01%
2021년 03월 29일,1.84079,1.67478,1.85268,1.62969,1.93M,9.91%
2021년 03월 28일,1.67478,1.62155,1.76484,1.61936,2.26M,3.28%
2021년 03월 27일,1.62155,1.49363,1.6515,1.46024,1.42M,8.56%
2021년 03월 26일,1.49363,1.39775,1.50984,1.39775,903.41K,6.86%
2021년 03월 25일,1.39775,1.49961,1.53271,1.36465,1.71M,-6.79%
2021년 03월 24일,1.49961,1.58361,1.75789,1.45815,1.79M,-5.30%
2021년 03월 23일,1.58361,1.61255,1.67809,1.51189,1.65M,-1.79%
