날짜,시가*,고가,저가,종가**,거래량,시가총액
18-Apr-21,?232.24,?233.66,?204.54,?216.05,"?1,929,940","?39,812,725,479"
17-Apr-21,?228.92,?237.67,?213.17,?232.39,"?2,126,186","?42,823,818,591"
16-Apr-21,?241.86,?243.62,?198.58,?229.06,"?2,374,657","?42,209,921,951"
15-Apr-21,?240.52,?242.83,?237.37,?241.76,"?583,335","?44,549,842,288"
14-Apr-21,?256.81,?269.00,?213.69,?240.41,"?6,772,553","?44,300,994,589"
13-Apr-21,?246.04,?263.69,?232.72,?257.12,"?2,975,927","?47,380,849,342"
12-Apr-21,?258.54,?262.22,?246.06,?246.08,"?642,077","?45,347,073,670"
11-Apr-21,?280.88,?282.98,?256.96,?258.56,"?3,145,838","?47,646,377,090"
10-Apr-21,?259.15,?295.18,?258.16,?280.87,"?3,438,613","?51,757,849,925"
09-Apr-21,?225.82,?342.63,?224.36,?259.14,"?3,502,324","?47,753,032,436"
08-Apr-21,?231.88,?250.39,?221.67,?225.79,"?3,327,768","?41,607,708,511"
07-Apr-21,?335.60,?335.60,?199.15,?232.31,"?9,554,118","?42,808,871,199"
06-Apr-21,?363.35,?374.80,?306.03,?335.36,"?42,136,050,376","?61,798,450,881"
05-Apr-21,?417.01,?430.69,?340.53,?360.38,"?39,832,867,558","?66,408,944,943"
04-Apr-21,?374.38,?435.78,?374.38,?414.20,"?75,967,384,290","?76,326,918,541"
03-Apr-21,?457.35,?457.35,?353.16,?375.42,"?65,456,537,077","?69,180,151,202"
02-Apr-21,?348.14,?502.88,?348.14,?458.35,"?270,512,250,408","?84,462,731,170"
01-Apr-21,?321.17,?363.75,?308.25,?349.04,"?57,513,838,674","?64,319,603,726"
31-Mar-21,?316.35,?322.04,?281.44,?320.39,"?41,048,068,531","?59,039,096,306"
30-Mar-21,?287.00,?368.42,?279.23,?314.45,"?162,120,912,528","?57,945,550,441"
29-Mar-21,?262.34,?306.85,?251.85,?287.05,"?56,701,160,128","?52,896,663,620"
28-Mar-21,?257.48,?264.24,?247.68,?264.19,"?18,372,013,358","?48,683,947,562"
27-Mar-21,?243.35,?265.12,?239.64,?257.46,"?44,637,414,175","?47,444,034,853"
26-Mar-21,?227.46,?245.42,?223.30,?242.43,"?19,283,984,020","?44,674,243,790"
25-Mar-21,?242.49,?247.12,?212.19,?227.46,"?27,044,759,468","?41,914,723,427"
24-Mar-21,?266.27,?273.82,?239.43,?244.37,"?26,695,459,567","?45,030,703,021"
23-Mar-21,?296.46,?296.46,?237.30,?268.67,"?57,284,668,620","?49,509,608,801"
22-Mar-21,?238.52,?328.90,?220.04,?291.83,"?224,436,896,268","?53,776,230,157"
21-Mar-21,?191.30,?241.47,?186.47,?236.51,"?37,161,372,700","?43,583,623,387"
20-Mar-21,?222.72,?255.35,?183.57,?192.21,"?43,069,946,799","?35,419,638,062"
19-Mar-21,?183.96,?229.17,?173.36,?220.81,"?86,255,550,540","?40,689,422,411"
18-Mar-21,?180.64,?188.69,?165.67,?184.74,"?31,298,371,506","?34,042,163,817"
17-Mar-21,?162.58,?195.95,?142.27,?180.64,"?60,570,189,879","?33,286,612,639"
16-Mar-21,?164.02,?173.38,?153.84,?162.53,"?36,627,165","?29,950,090,734"
15-Mar-21,?157.90,?172.16,?134.81,?164.02,"?20,137,223","?30,224,533,319"
14-Mar-21,?161.78,?179.25,?136.58,?159.75,"?27,522,635,295","?29,438,433,274"
13-Mar-21,?128.53,?179.29,?127.83,?161.78,"?56,380,176,232","?29,811,204,003"
12-Mar-21,?148.83,?158.68,?121.48,?128.54,"?169,175","?23,685,914,888"
11-Mar-21,?121.85,?169.05,?114.23,?147.86,"?93,419,890,727","?27,247,051,418"
10-Mar-21,?130.26,?134.04,?105.07,?121.84,"?5,250,144","?22,452,515,645"
09-Mar-21,?101.82,?132.66,?100.68,?130.36,"?3,067,386,747","?24,021,775,536"
08-Mar-21,?107.15,?112.63,?93.91,?101.82,"?579,449,324","?18,761,990,712"
07-Mar-21,?109.56,?109.92,?95.90,?107.98,"?7,787,403,588","?19,897,538,545"
06-Mar-21,?94.18,?112.23,?91.21,?109.67,"?27,673,025,501","?20,209,074,245"
05-Mar-21,?89.65,?106.19,?83.75,?93.70,"?362,842,200","?17,267,169,042"
04-Mar-21,?90.83,?97.28,?84.98,?89.64,"?465,781,620","?16,517,597,559"
03-Mar-21,?78.90,?94.39,?75.67,?90.65,"?765,498,433","?16,703,720,761"
02-Mar-21,?80.76,?85.49,?74.67,?78.90,"?193,746,466","?14,539,557,644"
01-Mar-21,?72.68,?85.89,?72.67,?80.74,"?289,480,691","?14,877,791,557"
28-Feb-21,?82.23,?82.23,?67.42,?72.68,"?438,040,317","?13,393,426,305"
27-Feb-21,?85.44,?90.39,?67.86,?82.23,"?473,053,210","?15,152,337,512"
26-Feb-21,?76.62,?95.47,?71.81,?85.18,"?5,631,546,106","?15,697,349,891"
25-Feb-21,?72.52,?90.58,?69.87,?76.85,"?233,894,325","?14,162,175,360"
24-Feb-21,?72.82,?78.94,?66.41,?72.45,"?240,334,555","?13,350,641,237"
23-Feb-21,?92.54,?92.54,?56.50,?72.47,"?14,909,458,378","?13,353,567,379"
22-Feb-21,?94.47,?108.63,?76.29,?91.54,"?22,531,468,545","?16,868,046,661"
21-Feb-21,?89.45,?101.73,?85.79,?94.46,"?16,017,776","?17,406,527,060"
20-Feb-21,?93.24,?95.26,?84.60,?89.14,"?12,186,577,144","?16,426,902,282"
19-Feb-21,?80.74,?103.35,?80.62,?93.24,"?2,411,357,777","?17,181,686,245"
18-Feb-21,?80.82,?95.78,?72.94,?80.75,"?2,857,295","?14,880,940,257"
17-Feb-21,?65.19,?91.53,?63.64,?80.59,"?69,715,080,370","?14,851,217,669"
16-Feb-21,?64.02,?65.85,?61.49,?65.28,"?4,130,505,696","?12,029,591,424"
15-Feb-21,?67.84,?70.66,?58.08,?64.82,"?7,271,857,528","?11,944,013,779"
14-Feb-21,?71.79,?72.40,?64.12,?67.67,"?8,226,011,042","?12,469,385,900"
13-Feb-21,?64.28,?75.39,?63.20,?71.81,"?40,795,976,437","?13,232,025,411"
12-Feb-21,?62.80,?64.54,?59.27,?64.36,"?9,028,375,340","?11,860,568,670"
11-Feb-21,?57.89,?62.87,?57.53,?62.87,"?5,077,054,360","?11,586,158,714"
10-Feb-21,?56.93,?58.84,?55.03,?58.06,"?3,870,413,375","?10,698,297,659"
09-Feb-21,?54.79,?57.24,?53.96,?57.02,"?3,683,774,415","?10,506,735,464"
08-Feb-21,?54.74,?55.35,?53.03,?54.64,"?1,848,181,930","?10,067,927,052"
07-Feb-21,?55.85,?55.85,?53.03,?54.74,"?1,378,241,761","?10,088,052,400"
06-Feb-21,?58.06,?58.06,?54.26,?55.77,"?1,991,842,071","?10,276,146,282"
05-Feb-21,?55.68,?58.12,?54.41,?58.06,"?5,466,616,897","?10,698,468,038"
04-Feb-21,?53.62,?60.53,?50.88,?55.68,"?10,845,022,360","?10,260,812,136"
