날짜,시가*,고가,저가,종가**,거래량,시가총액
18-Apr-21,?131.89,?132.70,?114.52,?120.91,"?137,591","?67,418,536,582"
17-Apr-21,?120.10,?133.73,?111.21,?131.97,"?3,891,204","?73,585,276,153"
16-Apr-21,?126.31,?126.87,?117.46,?120.24,"?791,486","?67,044,193,734"
15-Apr-21,?116.06,?169.77,?116.00,?126.26,"?2,026,529","?70,398,308,194"
14-Apr-21,?147.93,?172.06,?114.06,?115.99,"?6,771,076","?64,675,385,316"
13-Apr-21,?140.85,?148.75,?140.80,?148.15,"?2,125,969","?82,606,391,516"
12-Apr-21,?169.77,?174.59,?102.59,?140.94,"?3,850,500","?78,587,038,856"
11-Apr-21,?133.29,?174.50,?131.50,?169.78,"?1,413,984","?94,663,683,835"
10-Apr-21,?134.40,?167.98,?130.33,?133.28,"?126,011","?74,313,562,098"
09-Apr-21,?134.56,?157.35,?133.37,?134.38,"?907,800","?74,926,169,677"
08-Apr-21,?121.82,?134.59,?121.45,?134.53,"?3,811,224","?75,013,648,776"
07-Apr-21,?179.33,?179.33,?119.61,?122.10,"?5,671,663","?68,078,113,150"
06-Apr-21,?193.15,?200.37,?164.50,?179.20,"?79,345,664,682","?99,919,489,631"
05-Apr-21,?229.83,?234.78,?186.18,?193.15,"?94,179,063,214","?107,694,629,752"
04-Apr-21,?196.30,?240.69,?191.36,?231.80,"?93,921,118,140","?129,246,157,869"
03-Apr-21,?234.78,?245.58,?189.40,?197.28,"?88,244,673,372","?109,998,136,048"
02-Apr-21,?226.06,?275.74,?219.21,?234.78,"?190,554,365,839","?130,905,891,593"
01-Apr-21,?198.53,?235.90,?186.93,?226.06,"?159,193,437,118","?126,046,602,279"
31-Mar-21,?189.79,?202.58,?177.17,?199.53,"?88,197,488,382","?111,251,355,214"
30-Mar-21,?179.09,?193.46,?174.06,?190.76,"?71,436,381,190","?106,364,496,120"
29-Mar-21,?186.57,?186.57,?173.39,?179.09,"?48,454,524,383","?99,858,139,768"
28-Mar-21,?168.80,?193.46,?161.92,?188.53,"?56,466,629,202","?105,119,143,120"
27-Mar-21,?162.88,?170.78,?157.95,?168.80,"?45,084,901,393","?94,116,670,189"
26-Mar-21,?157.08,?163.70,?148.72,?161.90,"?42,611,884,202","?90,269,695,167"
25-Mar-21,?154.10,?160.98,?143.17,?157.08,"?37,802,764,363","?87,583,493,257"
24-Mar-21,?157.36,?183.94,?149.32,?154.10,"?94,480,516,792","?85,919,969,196"
23-Mar-21,?172.20,?173.86,?138.31,?157.35,"?47,564,496,074","?87,734,745,249"
22-Mar-21,?177.61,?185.77,?161.92,?170.25,"?60,779,810,942","?94,926,864,961"
21-Mar-21,?168.79,?193.37,?160.85,?178.59,"?75,935,247,685","?99,576,309,046"
20-Mar-21,?201.28,?201.28,?165.79,?170.75,"?100,693,331,729","?95,203,996,232"
19-Mar-21,?196.77,?204.97,?187.34,?200.30,"?93,382,869,923","?111,684,956,228"
18-Mar-21,?214.52,?217.54,?189.32,?196.76,"?94,512,888,385","?109,710,231,377"
17-Mar-21,?213.90,?227.34,?156.04,?212.58,"?225,738,577,319","?118,528,898,184"
16-Mar-21,?208.67,?270.60,?166.65,?214.88,"?411,649,060,720","?119,810,621,591"
15-Mar-21,?173.64,?217.51,?156.97,?209.67,"?318,260,683,932","?116,908,820,067"
14-Mar-21,?166.73,?193.18,?148.10,?172.66,"?172,467,341,846","?96,268,640,517"
13-Mar-21,?126.50,?237.31,?126.50,?160.87,"?728,470,569,929","?89,694,801,171"
12-Mar-21,?68.14,?144.15,?65.49,?126.50,"?770,798,969,774","?70,533,556,630"
11-Mar-21,?60.48,?72.10,?57.82,?67.42,"?70,527,288,003","?37,593,293,299"
10-Mar-21,?63.68,?63.68,?54.60,?60.38,"?36,483,139,604","?33,666,980,135"
09-Mar-21,?55.18,?78.23,?53.17,?63.48,"?270,813,024,965","?35,396,165,904"
08-Mar-21,?41.20,?90.48,?39.55,?54.89,"?416,177,717,980","?30,605,293,733"
07-Mar-21,?38.13,?41.40,?36.85,?41.00,"?10,913,362,733","?22,862,022,264"
06-Mar-21,?37.74,?39.51,?33.98,?38.13,"?16,414,020,569","?21,260,578,519"
05-Mar-21,?35.37,?44.30,?33.23,?37.54,"?61,743,642,597","?20,931,202,986"
04-Mar-21,?32.44,?45.77,?30.64,?35.17,"?102,373,664,598","?19,610,783,833"
03-Mar-21,?25.05,?34.25,?24.76,?32.63,"?53,349,448,834","?18,195,158,154"
02-Mar-21,?25.52,?25.62,?23.61,?25.05,"?4,896,771,772","?13,969,799,196"
01-Mar-21,?23.97,?25.77,?22.37,?25.77,"?6,437,013,689","?14,368,394,959"
28-Feb-21,?27.34,?27.54,?22.00,?23.88,"?7,904,754,465","?13,312,405,194"
27-Feb-21,?26.05,?30.81,?25.26,?27.24,"?19,397,125,307","?15,191,047,884"
26-Feb-21,?23.09,?26.24,?22.60,?25.76,"?16,974,692,849","?14,360,555,677"
25-Feb-21,?23.35,?25.77,?22.02,?22.90,"?13,188,505,567","?12,766,087,985"
24-Feb-21,?22.78,?24.68,?20.49,?23.25,"?15,110,690,443","?12,962,862,861"
23-Feb-21,?29.54,?31.36,?17.45,?22.38,"?19,919,186,101","?12,479,229,274"
22-Feb-21,?34.57,?34.73,?25.04,?29.54,"?23,129,218,532","?16,471,225,389"
21-Feb-21,?30.73,?34.77,?29.73,?34.77,"?14,361,390,385","?19,386,081,239"
20-Feb-21,?32.24,?33.24,?29.53,?30.53,"?13,652,743,957","?17,023,534,460"
19-Feb-21,?30.40,?35.45,?27.04,?31.74,"?19,911,352,771","?17,695,112,873"
18-Feb-21,?25.40,?33.21,?25.40,?30.30,"?40,706,833,549","?16,892,508,594"
17-Feb-21,?22.14,?26.78,?21.02,?25.41,"?32,301,623,359","?14,165,311,065"
16-Feb-21,?20.02,?24.87,?19.85,?22.04,"?27,711,133,257","?12,289,804,304"
15-Feb-21,?20.59,?20.70,?17.37,?19.92,"?4,807,935,241","?11,108,335,405"
14-Feb-21,?21.30,?21.50,?19.38,?20.69,"?6,051,597,582","?11,535,384,664"
13-Feb-21,?20.59,?21.60,?19.18,?21.40,"?9,184,687,004","?11,930,944,473"
12-Feb-21,?19.50,?20.59,?18.78,?20.49,"?6,344,535,078","?11,423,546,645"
