날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,3.6221,4.2703,4.2703,3.1512,3.73M,-14.84%
2021년 04월 17일,4.2534,4.2767,4.5436,4.1227,3.40M,-0.54%
2021년 04월 16일,4.2767,4.7109,4.7195,4.1052,2.88M,-9.22%
2021년 04월 15일,4.7109,4.5839,4.7815,4.4133,1.94M,3.20%
2021년 04월 14일,4.5647,4.8546,4.8575,4.1907,2.69M,-5.97%
2021년 04월 13일,4.8546,4.882,4.9068,4.646,1.94M,-0.56%
2021년 04월 12일,4.882,4.6878,5.5582,4.6422,7.70M,4.14%
2021년 04월 11일,4.6878,4.9104,4.9222,4.505,1.60M,-4.53%
2021년 04월 10일,4.9104,5.3025,5.3025,4.756,1.88M,-7.39%
2021년 04월 09일,5.3025,5.1526,5.3814,4.9406,2.90M,2.91%
2021년 04월 08일,5.1526,4.3786,5.2693,4.3293,5.88M,17.68%
2021년 04월 07일,4.3786,5.2149,5.3463,4.01,7.28M,-16.04%
2021년 04월 06일,5.2149,5.6098,5.7462,4.9419,6.03M,-7.04%
2021년 04월 05일,5.6098,6.8819,6.8819,5.5731,7.04M,-18.05%
2021년 04월 04일,6.8455,6.7305,6.9228,5.8558,18.03M,1.71%
2021년 04월 03일,6.7305,5.1243,6.7989,5.0612,15.92M,31.34%
2021년 04월 02일,5.1243,5.5472,5.5472,5.0385,9.32M,-7.62%
2021년 04월 01일,5.5472,5.9613,6.3719,5.5378,11.36M,-6.95%
2021년 03월 31일,5.9613,6.691,6.9517,5.78,17.33M,-10.91%
2021년 03월 30일,6.691,6.1121,8.666,5.25,95.28M,11.53%
2021년 03월 29일,5.9995,1.889,10.0888,1.8821,154.82M,217.57%
2021년 03월 28일,1.8892,1.772,2.2079,1.72,6.81M,6.61%
2021년 03월 27일,1.772,1.7103,1.792,1.6355,1.62M,3.61%
2021년 03월 26일,1.7103,1.5483,1.7606,1.5337,2.25M,10.46%
2021년 03월 25일,1.5483,1.641,1.6742,1.4708,2.60M,-5.65%
2021년 03월 24일,1.641,1.957,2.076,1.5965,4.00M,-16.15%
2021년 03월 23일,1.957,1.7384,2.1401,1.7026,11.78M,12.57%
2021년 03월 22일,1.7384,1.5498,1.9619,1.5139,9.61M,12.17%
2021년 03월 21일,1.5498,1.4549,1.5641,1.426,2.83M,6.52%
2021년 03월 20일,1.4549,1.538,1.6927,1.4549,6.17M,-5.40%
2021년 03월 19일,1.538,1.4149,1.5887,1.3846,3.44M,8.70%
2021년 03월 18일,1.4149,1.425,1.4821,1.3864,1.91M,-0.71%
2021년 03월 17일,1.425,1.5325,1.5387,1.3099,3.13M,-6.62%
