날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,0.37507,0.43795,0.44013,0.33438,-,-14.36%
2021년 04월 17일,0.43795,0.44022,0.45488,0.43071,-,-0.58%
2021년 04월 16일,0.44049,0.481,0.481,0.41999,-,-8.49%
2021년 04월 15일,0.48134,0.46404,0.48531,0.45047,-,4.06%
2021년 04월 14일,0.46256,0.49936,0.50605,0.43055,-,-7.08%
2021년 04월 13일,0.49778,0.51499,0.52714,0.47763,-,-3.23%
2021년 04월 12일,0.51437,0.52197,0.52655,0.48778,-,-1.22%
2021년 04월 11일,0.52072,0.54336,0.54742,0.47501,-,-4.27%
2021년 04월 10일,0.54396,0.52586,0.57535,0.51877,-,2.98%
2021년 04월 09일,0.5282,0.47645,0.54833,0.46424,-,11.54%
2021년 04월 08일,0.47356,0.39228,0.47397,0.38358,-,20.79%
2021년 04월 07일,0.39206,0.49942,0.49942,0.3632,-,-21.50%
2021년 04월 06일,0.49942,0.55033,0.55477,0.45747,-,-9.22%
2021년 04월 05일,0.55015,0.62179,0.63076,0.54575,-,-11.55%
2021년 04월 04일,0.62202,0.58899,0.63066,0.5806,-,5.67%
2021년 04월 03일,0.58865,0.63149,0.71879,0.58267,-,-6.66%
2021년 04월 02일,0.63068,0.61088,0.64265,0.58473,-,3.37%
2021년 04월 01일,0.6101,0.63161,0.63237,0.58687,-,-2.92%
2021년 03월 31일,0.62845,0.66853,0.66853,0.5872,-,-5.99%
2021년 03월 30일,0.66853,0.66484,0.68015,0.63032,-,0.85%
2021년 03월 29일,0.66292,0.59431,0.72489,0.59431,-,11.61%
2021년 03월 28일,0.59398,0.56764,0.63925,0.56628,-,4.80%
2021년 03월 27일,0.56676,0.54675,0.57416,0.53057,-,3.66%
2021년 03월 26일,0.54675,0.50693,0.54753,0.50693,-,8.02%
2021년 03월 25일,0.50617,0.53037,0.54343,0.4777,-,-4.80%
2021년 03월 24일,0.53171,0.61211,0.61211,0.51554,-,-13.19%
2021년 03월 23일,0.61247,0.51922,0.61257,0.51244,-,17.53%
2021년 03월 22일,0.52113,0.52411,0.61143,0.50367,-,-0.02%
2021년 03월 21일,0.52122,0.51598,0.54363,0.48043,-,0.85%
2021년 03월 20일,0.51683,0.54939,0.6328,0.51134,-,-6.08%
2021년 03월 19일,0.55029,0.52043,0.55184,0.51351,-,5.44%
2021년 03월 18일,0.5219,0.5472,0.54796,0.51408,-,-4.40%
2021년 03월 17일,0.54591,0.59088,0.59257,0.479,-,-7.45%
2021년 03월 16일,0.58987,0.5131,0.58987,0.46421,-,15.09%
2021년 03월 15일,0.51256,0.49763,0.55178,0.45452,-,3.12%
2021년 03월 14일,0.49705,0.47889,0.53574,0.44011,-,3.67%
2021년 03월 13일,0.47947,0.46304,0.4831,0.43134,-,3.35%
2021년 03월 12일,0.46392,0.48609,0.48695,0.43302,-,-4.34%
2021년 03월 11일,0.48496,0.43855,0.49624,0.42035,-,13.76%
2021년 03월 10일,0.42629,0.44995,0.45072,0.40887,-,-5.21%
2021년 03월 09일,0.44973,0.43209,0.4526,0.41758,-,4.17%
2021년 03월 08일,0.43171,0.42555,0.43727,0.39688,-,1.43%
2021년 03월 07일,0.42561,0.41911,0.42773,0.40192,-,1.60%
2021년 03월 06일,0.41891,0.42627,0.43,0.38422,-,-1.74%
2021년 03월 05일,0.42633,0.44756,0.46245,0.4056,-,-4.82%
2021년 03월 04일,0.44792,0.38229,0.46574,0.37285,-,17.26%
2021년 03월 03일,0.382,0.35157,0.39247,0.34355,-,8.83%
2021년 03월 02일,0.35102,0.33746,0.36103,0.31887,-,4.12%
2021년 03월 01일,0.33713,0.31845,0.38829,0.31521,-,5.94%
