날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 18일,0.120043,0.139108,0.139108,0.110977,2.57M,-13.92%
2021년 04월 17일,0.139455,0.135617,0.144577,0.127355,2.43M,2.83%
2021년 04월 16일,0.135617,0.15637,0.15637,0.1324,1.70M,-13.37%
2021년 04월 15일,0.156552,0.147632,0.158276,0.146282,1.25M,5.69%
2021년 04월 14일,0.148129,0.163685,0.163685,0.141072,1.48M,-10.66%
2021년 04월 13일,0.1658,0.173806,0.173806,0.1585,1.06M,-4.61%
2021년 04월 12일,0.173806,0.166997,0.173806,0.163712,1.06M,4.08%
2021년 04월 11일,0.166997,0.173203,0.173203,0.157425,1.28M,-3.58%
2021년 04월 10일,0.173203,0.19208,0.19208,0.168489,762.13K,-9.83%
2021년 04월 09일,0.19208,0.190468,0.194688,0.1764,2.54M,1.13%
2021년 04월 08일,0.189925,0.147761,0.189925,0.147761,2.94M,26.43%
2021년 04월 07일,0.150223,0.195748,0.195748,0.143403,4.23M,-23.26%
2021년 04월 06일,0.195748,0.198759,0.211891,0.175218,2.47M,-0.39%
2021년 04월 05일,0.196506,0.251998,0.251998,0.191,1.11M,-22.02%
2021년 04월 04일,0.251998,0.224737,0.251998,0.224737,1.47M,12.18%
2021년 04월 03일,0.224644,0.237302,0.237302,0.22119,3.04M,-5.71%
2021년 04월 02일,0.23826,0.213,0.314999,0.213,9.12M,5.89%
2021년 04월 01일,0.225,0.106649,0.225,0.106649,8.14M,111.30%
2021년 03월 31일,0.106486,0.093603,0.111797,0.093603,1.96M,13.76%
2021년 03월 30일,0.093603,0.087243,0.094667,0.087243,1.43M,7.29%
2021년 03월 29일,0.087243,0.082371,0.087399,0.082332,1.04M,5.88%
2021년 03월 28일,0.082398,0.084482,0.084482,0.080345,886.22K,-2.47%
2021년 03월 27일,0.084482,0.083048,0.084482,0.080721,1.07M,1.73%
2021년 03월 26일,0.083048,0.079562,0.083048,0.078255,804.00K,4.38%
2021년 03월 25일,0.079562,0.076067,0.079562,0.076048,1.02M,4.59%
2021년 03월 24일,0.076067,0.083951,0.083951,0.076067,1.23M,-9.52%
2021년 03월 23일,0.084067,0.085908,0.086519,0.083375,1.20M,-2.24%
2021년 03월 22일,0.085994,0.092406,0.097038,0.084664,2.30M,-6.99%
2021년 03월 21일,0.092461,0.086684,0.093094,0.085799,2.64M,6.66%
2021년 03월 20일,0.086684,0.09,0.096793,0.086684,2.71M,-3.68%
2021년 03월 19일,0.09,0.074001,0.091611,0.074001,3.84M,16.53%
2021년 03월 18일,0.077233,0.047774,0.087,0.047623,9.60M,61.66%
2021년 03월 17일,0.047774,0.04631,0.049096,0.043383,3.54M,3.21%
2021년 03월 16일,0.046286,0.043435,0.046286,0.042825,1.49M,8.30%
2021년 03월 15일,0.042738,0.044104,0.044873,0.040196,1.61M,-3.33%
2021년 03월 14일,0.044211,0.043391,0.045892,0.042708,2.21M,1.89%
2021년 03월 13일,0.043391,0.036364,0.04669,0.036364,2.94M,19.32%
2021년 03월 12일,0.036364,0.033387,0.036364,0.032147,2.36M,8.92%
2021년 03월 11일,0.033387,0.032217,0.033387,0.030231,2.62M,3.63%
2021년 03월 10일,0.032217,0.034432,0.034432,0.03,3.75M,-6.43%
2021년 03월 09일,0.034432,0.019814,0.034432,0.019814,8.13M,73.65%
2021년 03월 08일,0.019828,0.019077,0.019917,0.018817,2.13M,3.90%
2021년 03월 07일,0.019084,0.018102,0.019121,0.01793,1.95M,5.42%
2021년 03월 06일,0.018102,0.018464,0.018743,0.017637,1.41M,-1.96%
2021년 03월 05일,0.018464,0.018712,0.018712,0.017616,2.31M,-1.33%
2021년 03월 04일,0.018712,0.019583,0.022743,0.018132,2.86M,-4.45%
2021년 03월 03일,0.019583,0.013879,0.019583,0.013298,3.47M,41.87%
2021년 03월 02일,0.013803,0.014566,0.014566,0.013551,2.71M,-4.94%
2021년 03월 01일,0.01452,0.012945,0.01452,0.012945,2.96M,12.17%
2021년 02월 28일,0.012945,0.015289,0.015491,0.012945,3.24M,-15.33%
2021년 02월 27일,0.015289,0.012812,0.015563,0.012812,2.46M,19.33%
2021년 02월 26일,0.012812,0.013539,0.013539,0.012812,2.97M,-5.37%
2021년 02월 25일,0.013539,0.012214,0.014144,0.01221,3.70M,11.38%
2021년 02월 24일,0.012156,0.01204,0.012298,0.01167,3.13M,0.96%
2021년 02월 23일,0.01204,0.012444,0.013456,0.012009,3.77M,-3.25%
2021년 02월 22일,0.012444,0.013394,0.013841,0.012444,3.84M,-7.87%
2021년 02월 21일,0.013507,0.013961,0.014518,0.013165,2.71M,-2.98%
2021년 02월 20일,0.013922,0.01438,0.014407,0.013748,3.89M,-2.59%
2021년 02월 19일,0.014292,0.015568,0.015568,0.013082,5.49M,-8.16%
2021년 02월 18일,0.015562,0.009446,0.020965,0.009446,14.00M,64.75%
2021년 02월 17일,0.009446,0.006676,0.009446,0.006611,5.86M,41.24%
2021년 02월 16일,0.006688,0.00655,0.006911,0.006471,1.97M,2.11%
2021년 02월 15일,0.00655,0.006709,0.006731,0.006081,4.17M,-2.37%
2021년 02월 14일,0.006709,0.006837,0.007281,0.006643,4.85M,-1.94%
2021년 02월 13일,0.006842,0.006259,0.007231,0.006259,5.19M,9.37%
2021년 02월 12일,0.006256,0.006052,0.006725,0.006043,4.21M,3.37%
2021년 02월 11일,0.006052,0.005827,0.006055,0.005754,4.66M,3.58%
2021년 02월 10일,0.005843,0.005641,0.005843,0.005373,4.97M,3.58%
2021년 02월 09일,0.005641,0.00534,0.005641,0.005223,6.82M,5.64%
2021년 02월 08일,0.00534,0.005449,0.005449,0.00508,3.94M,-2.00%
2021년 02월 07일,0.005449,0.005124,0.005449,0.005082,4.53M,6.43%
