지 역,2011년 01월,2011년 02월,2011년 03월,2011년 04월,2011년 05월,2011년 06월,2011년 07월,2011년 08월,2011년 09월,2011년 10월,2011년 11월,2011년 12월,2012년 01월,2012년 02월,2012년 03월,2012년 04월,2012년 05월,2012년 06월,2012년 07월,2012년 08월,2012년 09월,2012년 10월,2012년 11월,2012년 12월,2013년 01월,2013년 02월,2013년 03월,2013년 04월,2013년 05월,2013년 06월,2013년 07월,2013년 08월,2013년 09월,2013년 10월,2013년 11월,2013년 12월,2014년 01월,2014년 02월,2014년 03월,2014년 04월,2014년 05월,2014년 06월,2014년 07월,2014년 08월,2014년 09월,2014년 10월,2014년 11월,2014년 12월,2015년 01월,2015년 02월,2015년 03월,2015년 04월,2015년 05월,2015년 06월,2015년 07월,2015년 08월,2015년 09월,2015년 10월,2015년 11월,2015년 12월,2016년 01월,2016년 02월,2016년 03월,2016년 04월,2016년 05월,2016년 06월,2016년 07월,2016년 08월,2016년 09월,2016년 10월,2016년 11월,2016년 12월,2017년 01월,2017년 02월,2017년 03월,2017년 04월,2017년 05월,2017년 06월,2017년 07월,2017년 08월,2017년 09월,2017년 10월,2017년 11월,2017년 12월,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월
전국,286.9632784,271.539519,255.0690976,249.98057,255.8990664,258.8313213,274.0066495,272.8272503,269.8958174,268.487226,265.4731877,267.1733812,271.167534,263.9161443,263.0200684,264.8340861,271.1862262,257.057278,251.94221,254.5110374,270.4135364,277.6960066,274.0483383,270.7492747,274.6052187,278.3071952,284.5849347,289.205736,283.7636133,273.1937254,272.4347515,295.5388708,305.470213,298.0231744,294.6457366,308.2192709,316.4756854,314.3421402,299.7410225,290.6553503,292.3648746,299.0781781,310.75452,327.8913292,325.6586132,315.2353415,311.3876358,321.5589066,330.2671105,339.482234,341.669679,340.3253402,344.6026869,346.2330061,353.302568,341.6967681,353.7635118,357.2869503,354.825555,328.2956813,329.2589114,335.3158127,346.3830339,375.6802935,386.4624715,398.6234663,389.1027565,389.2843065,394.6708002,389.7439584,352.7351248,346.4679542,349.9864057,361.2229976,379.0170915,404.8162992,450.2623718,419.9884141,452.5878369,368.6844825,399.0648012,405.8735989,431.6504243,457.468138,482.9030911,439.7284518,403.2107027,368.5863933,374.1250582,390.4776029,442.5905728,527.5120377,443.0522525,364.2420981,340.7544568,336.0414785,326.5610162,316.6085072,332.6327326,361.2300674,409.960057,477.5456077,499.6221416,455.1919725,472.3748448,501.1952647,507.7157405,474.0589448,439.5563903,442.0797722,394.9561941,368.9362167,418.2539311,532.899323,516.4796784,473.1139176,447.5656688,452.677777,470.3636166,489.9418956,488.5727905
수도권,415.2951142,394.6944569,377.3595596,373.2235659,376.19103,378.0107315,395.5185334,379.9228242,374.8294135,382.9562656,386.4603407,397.741796,381.5287036,373.0009378,368.2937778,374.2805732,380.5283741,359.4390933,350.297062,346.9201515,365.3883871,379.8179341,379.8051698,379.3760685,378.9847515,382.2632547,379.0873312,381.7069287,373.0980302,366.6015583,352.849386,370.1539739,377.7575213,380.0606704,390.9329034,410.7250071,408.6215262,401.5076089,381.7515154,379.0366101,379.5757765,389.4286743,402.6907326,408.6163355,409.3276164,403.0393564,398.7390807,415.4710878,416.9313243,423.8378549,423.4103549,427.9805544,431.2079867,431.8345395,439.3196237,426.0563467,443.1317898,452.9483265,463.0545077,434.2303601,430.3060358,435.3889538,446.1574034,480.3961222,485.9999696,492.9999035,478.7065684,485.7280947,492.0247788,490.993426,460.835931,457.8688419,472.417021,483.1831935,494.0416554,526.4339198,571.3238705,525.3544536,565.5860816,473.6834874,523.0414606,538.33988,585.6760587,616.9224354,632.8414011,566.0933979,523.3248069,491.6924804,497.6476277,514.2782507,584.7395497,648.4878711,544.8065687,468.5172371,453.7974132,445.3079062,443.1921821,440.2467031,460.5460948,514.5302993,594.3005551,681.5405807,697.6868259,636.2081916,662.1733445,684.8230306,679.6900875,624.4871735,554.475359,539.9259013,500.3731962,488.0570929,561.7436197,679.7494145,699.4199401,667.3392197,632.0200082,615.9743871,690.6651091,719.1710748,691.6956976
지방,189.4979913,185.1023811,185.7997018,186.4299305,190.4358384,191.4727051,192.8248573,193.9675277,195.9806265,199.074682,198.2902332,193.7455246,200.5643288,200.3669863,197.8631489,198.8490928,200.8217876,199.0617634,196.7733243,198.2605104,204.0093555,207.5742954,206.5663526,202.6048492,207.8210552,206.3620925,209.5325732,214.673438,214.2101922,209.4273808,211.7503576,216.3532296,223.2530101,225.3935434,225.3274133,223.7665404,225.0198125,225.018946,227.2663144,225.1046165,226.4226929,227.9867258,230.5074935,235.060248,237.0983278,238.9193697,238.9783852,239.492844,239.7628608,240.2390439,242.6547354,244.0247508,246.6211379,246.6331639,250.0315273,244.1006674,250.3635932,253.6261218,250.7462455,241.38916,238.640093,240.6563188,239.7551877,244.1311889,243.9451384,252.205203,258.4143158,261.6672228,267.7395657,271.983378,265.4227524,260.0311329,257.4627596,256.740276,256.551642,258.1397077,263.566279,273.4118687,277.5532789,270.4377138,265.3794524,264.7280019,266.7222287,271.8373101,271.113494,276.4763179,270.5507154,257.2861815,260.5335202,261.5467126,257.3473693,272.1296831,284.9150882,271.5145455,264.2050794,259.2324652,254.2327082,248.2454866,250.1875187,253.6933976,259.9210016,268.551745,273.2388616,278.8857982,282.633542,298.296373,333.8479589,315.3377467,300.7589528,295.4107804,272.9756478,268.9294696,291.6753453,344.7475308,331.3931383,321.5473735,328.8698167,356.2353038,347.2060333,303.6653096,284.1927588
서울,612.7413114,585.383659,567.8195238,573.5813254,576.1645859,577.9112622,617.2517862,572.9409504,577.7986456,593.3983392,590.1909398,610.7076972,577.4089706,572.9810336,565.5713796,584.5131243,594.3982527,558.1505108,549.8633109,535.4579136,563.8003159,571.776293,574.2788204,576.0152697,577.7272809,578.8318709,564.1167736,568.2370074,554.3008189,546.5180187,509.103087,535.1507959,535.4871046,547.2340327,570.2332539,602.8528453,588.9702121,576.0934448,549.0557988,552.1184612,557.5407872,565.4413355,582.6787026,592.6209539,583.8455853,581.0863462,567.932333,589.4735087,585.0776906,589.9143396,592.2921322,601.836397,610.0087332,600.3009209,604.6754482,595.2486335,616.9852438,645.2252941,667.0904664,627.1644417,616.6793804,615.0098901,640.358603,684.5598664,689.3196229,678.1483603,657.7151535,688.2191329,692.2889519,689.4469866,650.1969064,666.6259241,695.2352263,712.4924061,717.4532202,754.5549164,788.1456694,725.1008201,766.6798286,703.7300786,797.3783905,807.4102926,866.1414937,865.0841887,848.8733899,764.4060037,741.5609319,743.9123061,747.8794808,758.4879592,861.3510191,877.6675163,866.7826132,820.7595668,826.7135297,810.6720368,814.8834205,841.6716512,888.1008209,981.4988833,1066.411059,1099.707046,1071.084532,1020.427076,1071.065612,1062.112316,1057.924199,1012.453875,901.9782905,934.4198548,912.4102589,949.5229517,1049.085296,1118.119514,1121.472792,1211.54119,1216.155061,1200.505903,1293.168092,1352.40852,1338.686878
부산,243.0821532,245.6131549,244.9874754,250.2579344,254.1396917,255.6118486,261.1738369,264.421486,264.3164221,264.3236627,265.7819678,261.2338287,261.7097785,265.6941576,257.0168883,259.3903168,256.5482908,259.759057,257.6931275,256.2117641,256.5768538,260.6968518,259.0673717,255.4375355,258.9160179,256.5278969,259.8898871,264.340686,262.2089643,258.6393409,260.7745038,265.2962651,264.5374999,268.9977011,270.3050029,268.6182914,273.8867221,268.7152585,274.6317594,269.3408174,270.1317311,271.1063184,277.1897868,279.7189925,281.107324,281.7884082,283.224461,290.4184361,289.403587,288.7669862,291.0102305,293.172551,295.2752541,294.9323446,303.6657644,302.3636224,307.1608518,310.8324689,315.1797485,304.6157832,304.4525695,307.1100104,308.4428923,315.1590315,324.438456,332.8180243,339.2860383,348.4716539,351.7883469,353.7163721,343.3306781,343.4163265,341.337859,344.7178699,344.2739259,355.7140646,358.5783321,364.2315652,355.7990302,353.3956461,352.1139633,349.0054669,356.2322491,368.3642208,370.4786302,365.61213,359.1765933,337.5862756,342.3980382,341.6626108,339.10695,344.3961078,371.5169456,353.5992126,350.9677777,344.5515282,349.3920422,344.769244,347.919773,345.0984629,353.5679485,362.5904109,361.7961783,369.8849052,377.5098826,405.2334706,455.4147027,412.252638,400.4489615,401.307044,381.3589699,380.4029364,399.6369431,475.4273685,442.2902936,440.8955262,454.8401643,470.1600567,408.8593335,349.7299843,376.7656063
대구,188.1422825,188.0578235,186.4205744,188.6739238,194.3293366,197.0713384,201.0122295,203.6851743,209.3699782,210.4070624,210.0601021,213.7893236,218.7287272,214.7279718,212.8711193,214.1776514,218.567057,219.9142148,218.5875406,223.1190007,227.2154155,227.8070323,231.062712,230.4507909,231.8406558,231.0841749,231.0351617,238.2731561,240.6392697,242.3189262,242.8858307,251.7044288,257.9813677,259.836807,267.7346664,265.068382,269.453178,266.4492415,270.3773515,268.9107306,271.6428609,279.2689913,282.9548193,287.7792062,289.3298091,297.2155175,302.5459691,305.4571004,307.9078521,310.8516383,315.3368866,318.4989986,324.2518235,331.4411298,333.7396171,330.2894216,342.4434231,336.4910134,325.4420563,311.4379185,315.7587366,321.9430238,317.0739525,309.6130643,304.4234187,312.2283429,315.2396705,328.0955003,340.4220944,336.4753496,333.1609388,327.3473424,314.4512843,317.3882901,324.1653437,320.9534499,335.2074477,353.5769696,371.9895026,353.661071,343.9601196,339.6375831,349.1569614,355.3901806,365.0212351,377.9037125,362.6732067,351.7477482,350.4583394,353.1605533,348.4055939,367.4491513,384.8938092,365.7694352,346.3069086,347.6922044,332.3181997,317.3375749,327.8437458,331.2217341,336.7357435,358.1731308,354.0072847,363.3033917,371.8758734,377.7597183,402.3344597,396.277542,383.5643518,375.5111336,351.9004272,350.3659345,368.9108907,404.0614009,422.3795361,418.0678596,429.5181184,440.2791864,436.0858827,388.2683752,361.8771452
인천,283.5860075,281.7890222,276.7422027,272.3626888,273.2610182,269.3483474,270.5302343,269.4920275,267.3300648,268.3604711,270.8712614,263.4787421,269.2398032,266.5883141,263.4454175,262.0056775,259.9436435,257.139161,253.1316059,253.9796122,255.9784455,256.9129009,260.3906371,256.5372976,257.4088098,256.8731567,259.5707812,259.5606181,259.9686034,259.742802,263.609722,264.319243,266.8151958,269.7805766,271.7734138,274.3376982,273.3542714,271.6099089,269.4031313,268.398328,270.3098004,274.2347314,278.3874594,277.5248862,279.0566937,282.215818,289.0214707,291.4702037,290.8576271,288.6137287,286.2788453,287.6003881,295.4765586,293.136181,300.2834217,302.0804673,308.3017473,317.4806285,322.151516,309.092383,307.3605349,307.9536336,303.5780783,311.3312291,312.2311844,320.0160169,325.3765755,325.2986236,328.5998716,338.4173768,340.7428881,339.5769472,328.5275895,328.6449602,326.9779296,328.9158376,329.3582925,340.3330566,346.4356094,353.3456773,352.4680321,347.8611323,347.5820318,340.7192778,346.7147695,348.2694978,347.9154293,337.1820892,342.6416359,344.7121345,345.6248822,355.8449134,371.949064,362.9458543,354.7401151,348.7978107,346.6286845,340.4209331,341.3887833,341.9856466,341.4132803,348.9805456,353.7191723,361.9986794,371.5482833,384.4447326,403.8931935,397.2301414,407.1581902,409.2362947,376.8533069,366.2023767,378.5570846,402.3636463,381.3105094,387.4830821,393.7665177,390.6981251,423.3614679,463.6250562,446.5210462
광주,151.7076106,153.8181774,158.5603476,162.264405,167.2156429,170.2514247,171.508658,172.5519176,174.6385428,174.2703554,176.8935743,174.9489227,180.5253181,180.3677303,177.2997439,179.1670516,181.3264931,180.1484279,179.1673135,181.2968852,188.7341675,186.9861152,188.1650205,185.1172469,188.2295742,189.1773019,189.0234942,188.7448382,189.2805095,188.4247257,193.7043352,195.6555761,193.8496246,200.4129508,200.696389,204.0350979,202.6009033,204.8493344,203.2853647,203.3529074,203.9192643,205.5975363,213.0700705,216.4473203,219.3877806,218.5863392,225.4401197,224.1315768,223.2341063,227.6815613,224.5536774,227.6848342,229.4687548,232.3881634,232.424192,237.6211718,245.5864481,243.1312632,246.844826,246.0750998,242.1867356,248.6699142,242.3794738,239.9660378,240.9057569,243.1210482,248.946898,249.6918262,252.3171992,258.7846952,256.9205343,259.5127433,260.0799619,253.4179701,254.8307096,257.0780219,258.5464315,264.2114339,265.1878406,265.1102607,271.2108453,269.7205619,277.7042264,279.6495543,277.6045534,280.5371132,275.3841477,276.1053578,278.6753897,283.1615386,281.1732884,292.797422,290.6325455,275.6953735,277.3804214,277.7149993,275.3264941,267.0335983,270.5254279,270.294658,271.0195571,287.8330541,286.7702249,295.875878,297.5451929,295.2171825,306.4844654,307.9178256,317.2418564,303.1590884,295.6021774,288.8582998,296.4657323,319.1214494,320.658578,328.5930011,338.0359863,373.7856833,383.1300703,344.3932545,306.1285603
대전,232.8490066,235.5859252,234.2642465,231.922287,247.5417384,246.0943511,240.5511852,235.3954343,237.4141701,245.9340706,241.6930861,243.6750519,246.6960797,243.9842411,238.2380564,231.1061932,236.9156018,230.3121355,226.6970771,227.6445137,235.7990369,242.6568653,241.5111218,242.58464,237.0519826,238.2204577,237.9813191,237.7548535,244.2208242,242.431451,237.9137902,243.6397785,248.3526808,253.3366902,253.4369006,256.2261097,253.1519709,247.4606342,248.6174747,247.2814538,248.3477457,247.6366499,246.2613516,249.6533986,250.1197179,256.3474109,254.6092997,256.1603181,258.0459123,255.5239432,246.278235,245.5111245,249.3663336,247.7900937,257.098145,256.8467747,253.5931517,259.5063361,263.498619,266.7872612,259.5987508,262.6000384,251.4794105,255.9206746,260.6978457,265.0252751,262.8555035,266.9048483,271.5355515,274.7837345,277.5899369,273.2273597,279.1419943,269.5541472,266.1939783,265.3409798,269.5992996,275.6301055,278.8278919,281.6042767,287.6330436,287.0152797,284.1989223,298.4298795,291.1724727,286.8592122,288.2705497,282.2095376,279.600495,285.2701394,290.3531966,322.2321176,325.4229597,318.2147856,306.1925391,294.6801327,291.6676072,283.6976747,287.0700405,297.1006498,302.5348299,311.8957914,323.0213594,327.9294102,335.2310094,339.8232048,351.1357763,350.6187534,340.862688,342.8416791,335.5741893,316.0797065,355.9013765,406.2612951,372.0376184,392.3102782,389.5731863,410.4609696,432.7432287,419.942285,417.8550422
울산,208.5536267,202.7194869,198.0464052,204.8985663,212.2525031,214.1624828,225.2277711,219.7890271,226.8616484,228.9337155,231.7092903,231.7317863,239.963184,243.6199035,240.3907275,243.0676936,246.8573655,243.3595429,247.2604259,246.4222145,245.3134436,252.3273279,245.7350694,253.6021217,247.7252273,243.831236,248.603847,254.8454407,245.7308765,245.6171272,247.6599246,251.1660275,259.3333502,258.4780424,259.3901897,255.2226324,258.8513385,262.1054143,264.1125597,263.6331415,267.7543164,267.6766427,268.222947,269.4838647,272.3551111,272.6484735,275.9261285,276.7474666,277.7232886,278.5508763,279.8975387,279.6063747,286.159557,285.9264562,290.8123782,290.0213167,299.7083894,301.383992,305.1080791,303.5218613,306.5061044,303.2578013,305.77098,309.9606408,299.4505674,307.5896177,310.3625815,310.6828385,323.8287968,330.1236682,323.2317631,317.2688572,311.2805924,317.1548026,313.7222021,304.634515,306.7260994,313.7442575,314.3086406,320.8344227,320.2299594,317.4768438,315.8529882,315.2011402,313.4342899,305.4926816,304.8068019,296.102674,288.1844787,290.8941366,295.5340074,284.9104351,294.1824706,297.7736529,285.0796029,289.8132691,286.4252499,279.1685848,283.2831432,285.5436129,292.0284583,308.0576035,308.3726387,318.2164156,322.4655754,339.4847793,331.4618298,328.7029462,329.2194365,329.6331448,317.9252471,306.5672251,333.9733366,377.9030942,360.3452459,338.0489559,351.8713351,386.0866838,378.2029836,329.7848894,311.5097875
