시점,전국,수도권,수도권,수도권,수도권,비수도권,비수도권,비수도권,비수도권,비수도권,비수도권,비수도권,비수도권,비수도권,비수도권,비수도권,비수도권,비수도권,비수도권,비수도권
날짜,소계,소계,서울특별시,인천광역시,경기도,소계,부산광역시,대구광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
2011. 07,128.8,122.7,126.6,109.6,123.3,136.2,136.9,133.1,140.7,135.8,139.6,-,149.7,136.4,140.2,138.8,132.3,128.2,132.2,-
2011. 08,133.7,128.4,132,116.4,129,140,140.6,139.7,145.4,135.1,142.6,-,151.4,139.5,140.5,139.8,140.1,134,137.7,-
2011. 09,129.2,124.1,124.8,116.3,125.3,135.3,134.9,136.4,135.2,126.7,141.6,-,145.8,136.3,138.5,132,138.3,133.7,130.3,-
2011. 10,119,111.1,111.2,108.2,111.7,128.6,126.2,130.8,133.3,117.6,135.6,-,133.2,130,134.4,129.6,130.5,130.9,120.7,-
2011. 11,110.2,101.5,101.7,98,102.1,120.9,118.2,124.2,125,101.5,124.3,-,126.1,122.2,129.9,121.4,126.4,130,112.3,-
2011. 12,106.6,99.4,100.6,96,99.4,115.3,109.4,121.5,117.9,96.6,120.9,-,121.3,117.6,124.5,119.2,122.6,125.8,106.8,-
2012. 01,111.2,106,107.8,101.5,105.9,117.3,111.3,124.6,123.4,98.8,124.3,-,124.3,121.6,125,118.4,120.2,121.9,111.4,-
2012. 02,117,111.3,112.4,108.6,111.3,123.8,117.7,130.3,128.8,104.3,134.6,-,133.5,128.9,134.1,118.1,125.7,129.3,117.7,-
2012. 03,113.7,107.1,106.5,107.4,107.4,121.9,117.2,127.2,127.7,98.4,135,-,127.1,128.3,129.8,115.6,125,127.4,115.4,-
2012. 04,112.8,106.6,105.9,105.7,107.1,120.5,113.8,125.8,127.4,94.8,141.5,-,124.5,128.5,130.9,113.6,124.3,129.4,109.4,-
2012. 05,111.7,106.4,106.7,102.3,107.1,118.3,111.9,125.7,122.6,99.1,129,-,120.4,126.3,131,106.8,122,129.5,108.4,-
2012. 06,100.4,94.2,93.7,91.8,95,108.1,100.7,117.1,114.2,94.5,111.1,-,111.8,114.3,121.4,100.4,107.4,118.7,100.4,-
2012. 07,102.5,97.8,97.9,92.7,98.7,108.3,101.6,118.1,118.7,91.4,110.6,-,114.7,115.7,116.6,99.3,105,118.4,102,-
2012. 08,107.3,103.2,104.5,95.8,104,112.1,103.1,124.3,121.2,99.6,113.3,-,119,118.8,123.7,102.2,107.7,124.8,104.6,-
2012. 09,111.5,108.3,108.8,102.9,109.2,115.4,108.1,127.7,116.8,107.8,114.3,-,123.7,119.8,128.9,100.1,115.8,126.5,108.3,-
2012. 10,113.9,110.6,112.3,103.8,111,118,110.8,132.7,118.4,113.3,122.4,-,125.8,123.4,131.5,100.6,110.2,128.3,110,-
