date,hloan,ir,cpi,fed,inc,exp,apt,savings,kospi,hccsi,bond,m2
2011-07-01,666961.6,3.25,94.98200000000001,0.25,3897608.967,60048.46666666667,274.00664949753417,42005.299999999996,2133.21,128.8,4.19,1705451.5
2011-08-01,672207.1,3.25,95.62,0.25,3897608.967,60048.46666666667,272.82725031941527,42005.299999999996,1880.11,133.7,3.87,1719437.8
2011-09-01,673546.5,3.25,95.529,0.25,3897608.967,60048.46666666667,269.8958174482787,42005.299999999996,1769.65,129.2,3.93,1729531.1
2011-10-01,679967.1,3.25,95.34700000000001,0.25,3883351.086,61810.700000000004,268.4872259560416,44872.86666666667,1909.03,119,3.86,1742645.4
2011-11-01,684084.8,3.25,95.43799999999999,0.25,3883351.086,61810.700000000004,265.4731876901195,44872.86666666667,1847.51,110.2,3.77,1753296.4
2011-12-01,690016.6,3.25,95.802,0.25,3883351.086,61810.700000000004,267.17338117308685,44872.86666666667,1825.74,106.6,3.77,1756597.4
2012-01-01,686694.7000000001,3.25,96.184,0.25,4123524.106,61431.13333333333,271.16753396804404,36283.1,1955.79,111.2,3.76,1757058.7
2012-02-01,688140.7999999999,3.25,96.54899999999999,0.25,4123524.106,61431.13333333333,263.9161443178335,36283.1,2030.25,117,3.81,1762988.4
2012-03-01,688409.8,3.25,96.57600000000001,0.25,4123524.106,61431.13333333333,263.02006839698987,36283.1,2014.04,113.7,3.94,1773172.9
2012-04-01,691468.2000000001,3.25,96.56700000000001,0.25,3942286.458,59593.43333333333,264.83408606164653,43586.23333333333,1981.99,112.8,3.81,1777114.7
2012-05-01,695192.6,3.25,96.74,0.25,3942286.458,59593.43333333333,271.186226248137,43586.23333333333,1843.47,111.7,3.69,1784220.5
2012-06-01,699627.4,3.25,96.603,0.25,3942286.458,59593.43333333333,257.0572780055039,43586.23333333333,1854.01,100.4,3.63,1796981.5
2012-07-01,702678.7000000001,3.0,96.385,0.25,4141859.354,61206.166666666664,251.94220995853308,42545.6,1881.99,102.5,3.15,1807289.2
2012-08-01,706333.2000000001,3.0,96.831,0.25,4141859.354,61206.166666666664,254.51103736678863,42545.6,1905.12,107.3,3.02,1817134.9
2012-09-01,706631.6000000001,3.0,97.523,0.25,4141859.354,61206.166666666664,270.41353643334287,42545.6,1996.21,111.5,3.0,1819290.1
2012-10-01,711078.1000000001,2.75,97.34100000000001,0.25,4092551.367,63044.23333333334,277.6960066270366,44520.6,1912.06,113.9,2.96,1822420.9
2012-11-01,716713.4,2.75,96.995,0.25,4092551.367,63044.23333333334,274.0483383462442,44520.6,1932.9,108.2,3.02,1830280.3
2012-12-01,722761.7000000001,2.75,97.16799999999999,0.25,4092551.367,63044.23333333334,270.7492747033667,44520.6,1997.05,105.2,3.15,1835556.7
2013-01-01,721152.4,2.75,97.751,0.25,4192557.869,61952.23333333334,274.6052186508389,37467.03333333333,1961.94,112.3,3.1,1841128.1
2013-02-01,721081.6,2.75,98.07799999999999,0.25,4192557.869,61952.23333333334,278.30719516812627,37467.03333333333,2026.49,119.5,2.94,1857135.0
2013-03-01,722291.0,2.75,97.98700000000001,0.25,4192557.869,61952.23333333334,284.5849347042993,37467.03333333333,2004.89,116.8,2.8,1862405.5
2013-04-01,725927.6,2.75,97.851,0.25,4040630.388,60411.43333333333,289.2057359981714,44915.73333333334,1963.95,118.1,2.78,1867726.3
